,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,8,Leno,3,1,49,18,3.995,False,1,1,7.9,3.995
1,17,Tierney,3,2,53,18,3.721,False,1,1,4.8,3.721
2,298,Maguire,1,2,54,18,3.787,False,1,1,3.9,3.787
3,347,Stevens,49,2,51,18,3.614,False,1,1,1.1,3.614
4,556,Dias,43,2,57,18,4.415,False,1,1,7.2,4.415
5,272,De Bruyne,43,3,117,18,6.336,True,2,1,19.5,12.672
6,287,Torres,43,3,69,18,4.019,False,1,1,1.5,4.019
7,306,Rashford,1,3,95,18,5.16,False,1,1,10.4,5.16
8,344,McGoldrick,49,4,52,18,3.284,False,1,1,1.3,3.284
9,506,Wilson,4,4,65,18,4.2189999999999985,False,1,1,14.4,4.2189999999999985
10,514,Watkins,7,4,61,18,4.137,False,1,1,8.0,4.137
11,483,Ramsdale,49,1,47,18,3.759,False,0,0,2.0,0.0
12,11,Bellerín,3,2,51,18,3.732,False,0,0,6.2,0.0
13,302,Fernandes,1,3,112,18,5.438,False,0,0,49.8,0.0
14,474,Neto,39,3,60,18,3.614,False,0,0,15.5,0.0
