Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,46,1.476,50,2.141,48,1.794,48,1.691,49,1.343,49,2.123,50,2.301,50,2.069
M,Aubameyang,11.3,11.3,Arsenal,83,4.485,81,5.153,78,4.83,77,4.493,78,4.195,78,4.836,75,5.149,73,4.803
D,Cédric,4.6,4.6,Arsenal,8,0.27,9,0.4,15,0.589,15,0.552,18,0.521,17,0.769,22,1.056,22,0.954
F,Lacazette,8.1,8.1,Arsenal,65,3.248,61,3.492,63,3.544,60,3.221,60,3.01,63,3.485,60,3.655,63,3.715
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,89,3.531,88,3.972,88,3.663,87,3.582,87,3.256,86,3.925,86,3.984,86,3.769
M,Xhaka,5.2,5.2,Arsenal,83,2.279,80,2.447,77,2.282,78,2.23,76,2.052,77,2.358,76,2.461,75,2.323
D,Marí,4.4,4.4,Arsenal,23,0.718,25,1.043,24,0.864,24,0.815,26,0.69,27,1.144,28,1.248,26,1.042
D,Bellerín,5.1,5.1,Arsenal,87,2.806,84,3.748,81,3.134,81,2.948,79,2.222,78,3.525,76,3.649,78,3.36
G,Martínez,5.3,4.9,Aston Villa,89,7.223,88,3.874,87,3.772,88,3.497,87,3.819,88,3.088,87,3.049,88,3.984
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,1,0.03,1,0.045,2,0.095,1,0.043
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,33,2.062,30,1.274,27,0.974,0,0,28,0.534,31,1.039,31,0.794,29,0.769
D,Holding,4.5,4.5,Arsenal,80,2.601,74,3.289,78,3,76,2.758,77,2.157,74,3.339,74,3.53,72,3.084
D,Tierney,5.2,5.2,Arsenal,84,2.924,84,4.028,80,3.342,79,3.111,78,2.381,79,3.855,73,3.744,72,3.329
M,Pépé,7.6,7.6,Arsenal,26,1.282,31,1.748,27,1.486,33,1.72,32,1.555,30,1.651,34,2.024,33,1.904
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,49,1.812,47,1.809,48,1.782,49,1.721,47,1.716,48,1.81,44,1.647,41,1.334
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Nketiah,5.4,5.4,Arsenal,4,0.221,5,0.306,6,0.361,5,0.289,6,0.331,5,0.297,6,0.386,5,0.314
M,Smith Rowe,4.3,4.3,Arsenal,47,1.928,44,2.063,46,2.077,43,1.867,43,1.753,46,2.108,46,2.266,47,2.229
M,Saka,5.2,5.2,Arsenal,76,3.512,74,4.036,76,3.986,71,3.565,70,3.244,70,3.728,71,4.118,68,3.794
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,4,0.204,6,0.355,5,0.288,7,0.385,7,0.36,7,0.404,6,0.378,7,0.423
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0,1,0.043,2,0.086,0,0,1,0.043,0,0,1,0.035,1,0.045
D,El Mohamady,4.3,4.3,Aston Villa,83,6.259,82,3.739,80,3.648,48,1.796,30,1.416,12,0.285,13,0.279,12,0.603
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,4,0.265,8,0.315,12,0.469,9,0.29,6,0.241,4,0.083,3,0.057,6,0.257
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
