rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.9,0.2,93.71
2,2,Barcelona,Spanish Primera Division,3.29,0.47,92.29
3,3,Bayern Munich,German Bundesliga,3.25,0.61,90.29
4,4,Chelsea,Barclays Premier League,2.28,0.2,89.35
5,6,Liverpool,Barclays Premier League,2.54,0.4,87.84
6,5,Manchester United,Barclays Premier League,2.43,0.35,87.83
7,7,Real Madrid,Spanish Primera Division,2.5,0.39,87.82
8,9,RB Leipzig,German Bundesliga,2.38,0.43,85.81
9,8,Internazionale,Italy Serie A,2.53,0.52,85.57
10,14,Atalanta,Italy Serie A,2.45,0.57,83.61
11,16,Paris Saint-Germain,French Ligue 1,2.53,0.63,83.36
12,11,Atletico Madrid,Spanish Primera Division,2.14,0.42,83.22
13,13,Juventus,Italy Serie A,2.44,0.59,83.21
14,12,Arsenal,Barclays Premier League,2.27,0.5,83.13
15,10,Real Sociedad,Spanish Primera Division,2.18,0.46,82.77
16,17,Ajax,Dutch Eredivisie,2.84,0.88,82.39
17,15,Borussia Dortmund,German Bundesliga,2.53,0.69,82.24
18,20,Tottenham Hotspur,Barclays Premier League,2.21,0.57,80.81
19,18,Sevilla FC,Spanish Primera Division,2.06,0.48,80.81
20,19,VfL Wolfsburg,German Bundesliga,2.12,0.53,80.41
21,22,Villarreal,Spanish Primera Division,2.11,0.57,79.33
22,21,Leicester City,Barclays Premier League,2.07,0.55,79.29
23,29,Brighton and Hove Albion,Barclays Premier League,1.98,0.55,77.96
24,24,AS Roma,Italy Serie A,2.17,0.67,77.87
25,31,Napoli,Italy Serie A,2.16,0.68,77.78
26,23,Eintracht Frankfurt,German Bundesliga,2.35,0.81,77.58
27,26,West Ham United,Barclays Premier League,2.13,0.67,77.45
28,28,FC Salzburg,Austrian T-Mobile Bundesliga,2.73,1.08,77.27
29,32,Real Betis,Spanish Primera Division,2.05,0.63,77.11
30,25,Lyon,French Ligue 1,2.15,0.7,77.08
31,34,AC Milan,Italy Serie A,2.16,0.72,76.77
32,27,Bayer Leverkusen,German Bundesliga,2.21,0.77,76.41
33,37,AS Monaco,French Ligue 1,2.11,0.71,76.23
34,33,Athletic Bilbao,Spanish Primera Division,1.89,0.56,76.2
35,35,Benfica,Portuguese Liga,2.07,0.7,75.81
36,30,Lille,French Ligue 1,1.7,0.46,75.62
37,40,Borussia Monchengladbach,German Bundesliga,2.14,0.76,75.58
38,36,FC Porto,Portuguese Liga,2.1,0.77,74.6
39,41,Zenit St Petersburg,Russian Premier Liga,2.22,0.88,74.08
40,39,Aston Villa,Barclays Premier League,1.91,0.69,73.41
41,43,Lazio,Italy Serie A,2.1,0.83,73.27
42,42,Flamengo,Brasileiro Série A,2.09,0.83,73.13
43,44,Wolverhampton,Barclays Premier League,1.77,0.61,73.01
44,38,TSG Hoffenheim,German Bundesliga,2.21,0.95,72.43
45,45,Celta Vigo,Spanish Primera Division,1.92,0.74,72.38
46,46,Club Brugge,Belgian Jupiler League,1.94,0.77,72.01
47,47,Everton,Barclays Premier League,1.89,0.76,71.52
48,50,Leeds United,Barclays Premier League,2.06,0.88,71.46
49,51,1. FC Union Berlin,German Bundesliga,1.85,0.74,71.13
50,48,Shakhtar Donetsk,UEFA Europa League,2.17,0.99,70.89
51,49,Fulham,Barclays Premier League,1.7,0.64,70.82
52,54,Olympiacos,Greek Super League,1.9,0.8,70.51
53,52,VfB Stuttgart,German Bundesliga,2.09,0.96,70.11
54,53,Southampton,Barclays Premier League,1.86,0.79,70.1
55,56,Eibar,Spanish Primera Division,1.73,0.71,69.53
56,58,Osasuna,Spanish Primera Division,1.65,0.67,69.2
57,55,Sporting CP,Portuguese Liga,1.61,0.64,69.15
58,59,Getafe,Spanish Primera Division,1.54,0.61,68.34
59,60,PSV,Dutch Eredivisie,2.15,1.11,67.96
60,70,Mainz,German Bundesliga,1.92,0.93,67.91
61,64,Hertha Berlin,German Bundesliga,1.8,0.83,67.82
62,57,Rangers,Scottish Premiership,1.86,0.89,67.71
63,62,Burnley,Barclays Premier League,1.7,0.77,67.57
64,63,Valencia,Spanish Primera Division,1.79,0.86,67.03
65,61,Young Boys,Swiss Raiffeisen Super League,2.04,1.06,66.95
66,68,Slavia Prague,UEFA Europa League,1.89,0.95,66.89
67,67,Dinamo Zagreb,UEFA Europa League,1.95,1.0,66.73
68,69,SC Freiburg,German Bundesliga,1.87,0.94,66.69
69,77,Spartak Moscow,Russian Premier Liga,1.88,0.98,65.82
70,72,Udinese,Italy Serie A,1.64,0.8,65.75
71,71,River Plate,Argentina Primera Division,1.74,0.88,65.48
72,65,Levante,Spanish Primera Division,1.83,0.96,65.46
73,66,Granada,Spanish Primera Division,1.62,0.8,65.2
74,78,Stade Rennes,French Ligue 1,1.53,0.74,65.0
75,79,SD Huesca,Spanish Primera Division,1.71,0.88,64.98
76,86,Norwich City,English League Championship,1.74,0.93,64.43
77,83,Alavés,Spanish Primera Division,1.63,0.84,64.4
78,73,Besiktas,Turkish Turkcell Super Lig,1.93,1.1,64.25
79,80,Strasbourg,French Ligue 1,1.66,0.89,63.72
80,81,Lens,French Ligue 1,1.75,0.96,63.66
81,82,AZ,Dutch Eredivisie,2.03,1.21,63.52
82,85,Internacional,Brasileiro Série A,1.57,0.83,63.35
83,76,Fiorentina,Italy Serie A,1.74,0.97,63.25
84,98,Watford,English League Championship,1.64,0.93,62.52
85,84,Sassuolo,Italy Serie A,1.94,1.18,62.49
86,95,Brentford,English League Championship,1.7,0.98,62.32
87,91,CSKA Moscow,Russian Premier Liga,1.67,0.96,62.25
88,74,Braga,Portuguese Liga,1.72,1.0,62.24
89,87,Newcastle,Barclays Premier League,1.61,0.91,62.23
90,94,Werder Bremen,German Bundesliga,1.67,0.97,62.02
91,96,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
92,97,Bodo/Glimt,Norwegian Tippeligaen,2.33,1.55,61.76
93,92,Dynamo Kiev,UEFA Europa League,1.77,1.07,61.74
94,90,Verona,Italy Serie A,1.6,0.92,61.69
95,88,FC Krasnodar,Russian Premier Liga,1.87,1.16,61.52
96,75,Galatasaray,Turkish Turkcell Super Lig,1.86,1.15,61.43
97,99,Real Valladolid,Spanish Primera Division,1.56,0.9,61.35
98,107,Torino,Italy Serie A,1.72,1.04,61.29
99,116,Kawasaki Frontale,Japanese J League,1.86,1.16,61.25
100,100,Atletico Mineiro,Brasileiro Série A,1.64,0.97,61.23
101,106,FC Cologne,German Bundesliga,1.71,1.03,61.16
102,93,LASK Linz,Austrian T-Mobile Bundesliga,1.74,1.06,61.08
103,102,Crystal Palace,Barclays Premier League,1.61,0.96,60.87
104,103,PAOK Salonika,Greek Super League,1.47,0.85,60.57
105,104,Bragantino,Brasileiro Série A,1.5,0.88,60.56
106,108,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
107,89,Marseille,French Ligue 1,1.49,0.88,60.22
108,109,Cadiz,Spanish Primera Division,1.56,0.95,60.14
109,111,Bologna,Italy Serie A,1.76,1.13,59.99
110,101,Feyenoord,Dutch Eredivisie,1.86,1.22,59.85
111,117,Lokomotiv Moscow,Russian Premier Liga,1.54,0.95,59.81
112,110,Monterrey,Mexican Primera Division Torneo Clausura,1.59,0.99,59.77
113,113,Sampdoria,Italy Serie A,1.61,1.02,59.42
114,140,FC Midtjylland,Danish SAS-Ligaen,1.61,1.02,59.4
115,115,Club América,Mexican Primera Division Torneo Clausura,1.47,0.9,59.27
116,114,Palmeiras,Brasileiro Série A,1.42,0.86,59.26
117,112,FC Augsburg,German Bundesliga,1.6,1.04,58.86
118,122,Celtic,Scottish Premiership,1.68,1.12,58.61
119,105,St Etienne,French Ligue 1,1.46,0.92,58.6
120,129,Montpellier,French Ligue 1,1.76,1.19,58.55
121,144,Sochi,Russian Premier Liga,1.55,1.01,58.5
122,121,São Paulo,Brasileiro Série A,1.47,0.93,58.49
123,124,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
124,125,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
125,126,Sheffield United,Barclays Premier League,1.52,0.99,58.3
126,123,Rapid Vienna,Austrian T-Mobile Bundesliga,1.76,1.21,58.18
127,128,Angers,French Ligue 1,1.35,0.83,58.16
128,120,Arminia Bielefeld,German Bundesliga,1.59,1.07,57.9
129,154,Nice,French Ligue 1,1.58,1.07,57.52
130,130,AEK Athens,Greek Super League,1.52,1.02,57.39
131,152,Espanyol,Spanish Segunda Division,1.49,1.0,57.32
132,119,Metz,French Ligue 1,1.42,0.93,57.31
133,118,Spezia,Italy Serie A,1.65,1.15,57.25
134,138,Fenerbahce,Turkish Turkcell Super Lig,1.66,1.16,57.1
135,133,West Bromwich Albion,Barclays Premier League,1.55,1.06,57.07
136,134,Grêmio,Brasileiro Série A,1.5,1.02,57.02
137,145,Molde,Norwegian Tippeligaen,2.05,1.52,56.98
138,127,Bordeaux,French Ligue 1,1.43,0.96,56.95
139,131,Brest,French Ligue 1,1.64,1.16,56.9
