,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1832.0,1882.63,1913.61,1919.02,-100.43,384133,25904,1758,170,7.3%
1,FplSimpson,1884.0,1918.36,1960.41,1950.23,-86.39,157887,6399,2,1,10.8%
2,FplStatsdan,1809.0,1845.06,1878.46,1866.63,-81.62,528109,75751,10760,7101,12.4%
3,FF_Trout,1883.0,1918.4,1939.04,1937.61,-75.81,160690,6395,175,18,14.5%
4,dilksybab,1928.0,1993.4,1987.46,1951.96,-76.06,58069,115,1,1,14.4%
5,theFPLkiwi,1772.0,1859.69,1914.18,1894.36,-144.92,810808,51098,1700,1728,1.4%
6,jameso_12,1795.0,1794.82,1866.57,1835.95,-65.14,628310,231484,18631,28739,18.4%
7,api_kakayou,1967.0,1890.42,1884.47,1873.59,57.53,18764,19840,7711,5059,81.2%
8,usafpl,1795.0,1787.53,1824.32,1797.12,-35.17,627992,263789,90837,108288,31.5%
9,CazzaFPL,1961.0,1926.27,1969.65,1935.37,-9.99,22896,4423,1,19,44.8%
10,PlanetosFPL,1878.0,1904.67,1937.63,1916.2,-68.66,178010,11937,184,216,17.3%
11,analytic_fpl,1901.0,1873.44,1887.03,1877.56,-5.3,111226,33364,6906,4182,47%
12,rogue_wee,1858.0,1886.88,1899.51,1873.78,-55.54,254664,22562,3978,5031,22%
13,mtthwmn,1889.0,1910.28,1939.23,1929.36,-64.48,143194,9080,175,34,18.7%
14,cmusson32,1822.0,1872.0,1889.58,1900.68,-92.6,442697,34819,6239,863,9.1%
15,FPLstudent2,1897.0,1968.94,1920.45,1945.0,-74.06,121106,477,823,2,15%
16,peterhandleson,1713.0,1775.39,1803.0,1795.29,-105.42,1373385,321143,165244,113128,6.3%
17,chrishp,1931.0,1925.21,1897.3,1890.79,0.23,54130,4689,4379,2104,50.3%
18,plfantasy,1913.0,1855.88,1826.64,1810.03,55.91,85637,57352,85479,72631,80.4%
19,FPLmeta,1905.0,1897.9,1920.46,1913.73,-32.81,100883,15339,822,246,32.7%
20,FplAuto,1867.0,1906.82,1896.03,1860.79,-47.26,219033,10821,4678,9500,25.5%
21,NourEldin_z3r0,1964.0,1936.69,1884.58,1870.38,40.88,20941,2687,7710,6073,73%
22,UkendtPerson45,1904.0,1967.57,1929.78,1915.25,-59.66,104475,524,466,237,20.4%
23,MikkelTokvam,1923.0,1964.4,1919.97,1905.46,-32.97,66081,629,843,480,32.5%
24,Klaudioz,1901.0,1808.84,1761.34,1748.19,102.23,112561,175615,391841,345443,94.1%
25,FantasianPL,1763.0,1867.1,1838.18,1827.72,-107.63,887320,40465,59628,40134,5.9%
26,rama96ab,1866.0,1906.47,1903.24,1891.47,-61.07,222491,10963,3214,2063,19.8%
27,FPL_LFE,1941.0,1880.13,1827.88,1806.43,77.0,41721,28088,83085,82248,88.2%
28,_jtreble,1930.0,1933.61,1904.29,1877.01,-1.13,55750,3159,3042,4303,49.6%
29,DanielSaetre,1922.0,1893.94,1909.46,1891.36,-3.17,68213,17206,2256,2094,48.4%
30,FBinary01,1964.0,1872.03,1859.87,1842.94,79.22,20764,34801,25811,20901,88.9%
31,FPL_Data,1801.0,1854.21,1843.8,1850.55,-75.23,585065,60007,50798,15407,14.8%
32,FPL_ElStatto,1835.0,1782.36,1819.36,1803.01,6.16,368998,287849,104747,91623,53.6%
33,FplSigurd,1930.0,1976.8,1959.36,1939.63,-55.0,55550,301,2,3,22.1%
34,JoeBopara,1807.0,1857.06,1883.39,1855.58,-85.35,542283,55239,8194,12015,11.2%
35,dLincolnlawyer,1914.0,1955.13,1916.42,1908.56,-38.87,82871,1051,1272,357,29.6%
36,FPL_Statoholic,1932.0,1835.68,1891.67,1896.1,29.8,52575,96813,5756,1287,66.6%
37,FplAmateur,1944.0,1854.87,1819.76,1807.23,90.53,37569,58840,103503,79975,91.3%
38,wolacola,1944.0,1949.39,1939.39,1939.21,-25.33,38261,1410,172,3,37%
39,Hashtag_MEGA,1853.0,1913.05,1939.15,1939.34,-104.74,276523,8177,175,3,6.3%
40,dav_fifa,1888.0,1765.36,1744.53,1729.19,115.26,147636,376556,530035,484530,96.3%
41,MaulanaRiandi,1971.0,1954.55,1892.78,1869.12,39.83,16489,1069,5479,6367,72.3%
42,Rak464,1884.0,1833.88,1875.01,1856.93,1.41,159626,101773,12842,11170,51%
43,ArneBarsnes,2001.0,1932.32,1927.65,1913.55,49.85,5481,3266,519,267,77.6%
44,FPL_PapaSmurf,1866.0,1778.88,1789.55,1782.89,55.29,223538,305354,222080,153531,80.1%
45,gezza96,1973.0,1933.46,1879.8,1865.44,54.22,15629,3184,9931,7708,79.7%
46,Raghy78d,2005.0,1954.41,1947.64,1920.78,37.55,4712,1075,43,95,71.3%
47,pdhFPL,1865.0,1956.03,1929.34,1943.37,-104.43,225535,1020,473,3,6.4%
48,NeilRankinZA,1849.0,1792.39,1782.73,1793.53,32.7,296209,241745,259853,118309,68.5%
49,EuanThompson,2036.0,2013.27,1973.35,1962.99,26.67,1236,15,1,1,65.2%
50,FPLrookie1,1872.0,1893.38,1871.47,1841.28,-22.96,200486,17854,14992,22824,38%
51,FplBudget,1953.0,1847.92,1858.76,1853.62,72.62,29366,70605,27078,13718,86.9%
52,FF_Vader,1925.0,1893.6,1923.08,1892.7,-5.17,63403,17583,690,1883,47.1%
53,alasdairtweets,1991.0,1938.34,1933.24,1910.15,37.19,8246,2471,260,345,71.1%
54,fpl_analytic,1832.0,1790.79,1824.77,1819.09,-6.85,385907,249743,89491,54736,46.6%
55,stephendeyoung,1818.0,1797.75,1784.05,1767.73,8.34,469776,217885,248977,227605,55%
56,James_Ingram15,1867.0,1920.36,1927.2,1913.79,-80.27,218119,5851,534,246,12.8%
57,FPL_Kid,1921.0,1880.78,1844.82,1844.68,37.98,70200,27402,48949,19515,71.5%
58,fpl_jan,2051.0,2027.51,1942.82,1912.02,64.94,597,8,114,284,84.5%
59,FPL_Mezzala,1958.0,1993.56,1948.38,1934.8,-26.93,25104,115,42,19,36%
60,morstats,1881.0,1864.43,1804.76,1788.3,36.07,167427,43918,157336,135786,70.5%
61,FplOpinion,1881.0,1868.35,1899.97,1897.38,-34.86,168765,39077,3798,1201,31.7%
62,_NeilFPL,1952.0,1932.82,1916.33,1906.14,7.08,30087,3208,1272,439,54.4%
63,UnderstandingF8,1825.0,1732.85,1734.76,1714.96,70.78,428091,588187,642359,618196,86.4%
64,EejRoberts,1859.0,1910.77,1912.3,1903.39,-76.59,250124,9022,1915,688,14.2%
65,FPL_Gents,1891.0,1854.42,1891.82,1870.15,-8.36,139051,59773,5719,6104,45.6%
66,FPLHaggis,1882.0,1890.29,1861.05,1843.33,-9.12,165683,19916,24674,20694,45.3%
67,Jumpthewave,1929.0,1929.46,1894.94,1872.14,4.04,57567,3738,4956,5535,52.4%
68,DarraghNoonan,1964.0,1959.27,1921.15,1908.34,8.28,20520,792,776,361,55%
69,FPL_Chase,1949.0,1930.98,1941.48,1923.43,-9.81,32707,3500,133,62,44.9%
70,jonwalker88,1815.0,1891.05,1929.32,1927.97,-128.51,486039,19506,473,52,2.7%
71,TomDavies_17,1974.0,1938.5,1904.71,1894.59,35.18,15015,2442,2988,1710,69.8%
72,FodWeTrust,1840.0,1841.29,1900.7,1885.34,-63.39,341922,84099,3595,2767,19%
73,FplPass,1966.0,1884.0,1809.7,1805.29,107.37,19468,24781,134915,85392,95%
74,prparsons,1917.0,1918.27,1891.36,1866.08,-1.11,77184,6412,5836,7348,49.6%
75,FplJeb,1814.0,1807.23,1918.36,1895.88,-88.18,495061,181832,970,1288,10.2%
76,JosesBusDrivers,1775.0,1895.77,1923.86,1927.94,-168.14,784816,16517,659,52,0.4%
77,hidethecactus,1959.0,1883.82,1841.58,1829.69,81.22,24662,24930,53496,37085,89.5%
78,tweetsofagooner,1765.0,1752.14,1811.8,1813.3,-55.16,870281,455812,126849,65037,22.1%
79,FplRafiki,1942.0,1835.11,1811.18,1806.04,98.14,40644,98185,128587,83109,93.2%
80,FPL_Audit,1978.0,1887.37,1898.67,1870.26,65.79,13067,22214,4085,6095,84.9%
81,DaveCZfpl,1795.0,1786.52,1848.92,1843.05,-58.9,629486,268790,41201,20853,20.6%
82,PaulGiurculet,2044.0,1910.8,1835.45,1820.76,162.78,845,9018,65032,52033,99.6%
83,k_rybaczuk,1823.0,1809.84,1852.72,1813.58,-29.56,437284,172744,36094,64747,34.8%
84,CoalportGlen,2011.0,1998.36,1941.34,1914.35,33.92,3712,56,139,244,69.2%
