Pos,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,53,3.453,0,0,71,2.916,65,2.574
M,Aubameyang,11.3,11.3,Arsenal,72,9.969,0,0,61,4.516,61,4.306
D,Cédric,4.6,4.6,Arsenal,5,0.378,0,0,5,0.208,7,0.282
F,Lacazette,8.4,8.4,Arsenal,65,7.578,0,0,57,3.556,58,3.467
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,45,3.776,0,0,12,0.524,44,1.899
M,Xhaka,5.2,5.2,Arsenal,54,3.024,0,0,69,2.153,69,2.116
D,Marí,4.4,4.4,Arsenal,24,1.706,0,0,18,0.706,19,0.722
D,Bellerín,5.0,5.0,Arsenal,36,2.732,0,0,36,1.518,35,1.423
G,Martínez,5.4,5.4,Aston Villa,89,6.867,87,3.654,88,3.151,87,3.23
D,Chambers,4.5,4.5,Arsenal,46,3.564,0,0,50,2.161,47,1.958
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,0,0,77,1.413,73,2.087,73,1.924
D,Holding,4.3,4.2,Arsenal,64,4.56,0,0,65,2.579,50,1.927
D,Tierney,5.2,5.2,Arsenal,81,6.529,0,0,79,3.578,75,3.264
M,Pépé,7.6,7.6,Arsenal,49,5.431,0,0,51,2.968,46,2.585
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,37,1.292,38,1.272,40,1.834,40,1.561
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,11,1.251,0,0,9,0.536,9,0.518
M,Smith Rowe,4.2,4.2,Arsenal,44,4.013,0,0,26,1.245,49,2.221
M,Saka,5.1,5.1,Arsenal,64,5.633,0,0,67,3.08,68,3.019
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,66,6.859,0,0,48,2.689,54,2.9
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,1,0.076,1,0.041,0,0,1,0.037
D,El Mohamady,4.2,4.2,Aston Villa,11,0.706,13,0.522,12,0.312,14,0.405
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,1,0.033,1,0.022,3,0.076
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,1,0.037,1,0.025,2,0.055
M,Grealish,7.5,7.5,Aston Villa,41,3.191,65,3.387,80,3.293,79,3.202
M,McGinn,5.5,5.5,Aston Villa,85,5.584,82,2.842,78,2.373,79,2.399
D,Hause,4.4,4.4,Aston Villa,5,0.295,10,0.365,12,0.288,15,0.403
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,87,4.876,83,2.961,84,1.849,81,2.048
D,Targett,5.0,5.0,Aston Villa,80,4.928,78,3.027,77,1.864,76,2.079
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,16,1.011,13,0.435,15,0.462,15,0.464
M,El Ghazi,5.2,5.2,Aston Villa,79,8.147,64,3.686,45,2.138,44,2.048
D,Konsa,4.7,4.7,Aston Villa,86,4.901,83,2.946,85,1.869,84,2.116
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,13,1.312,11,0.592,13,0.602,16,0.718
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,13,1.234,12,0.591,13,0.561,13,0.549
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,78,4.37,72,2.264,72,2,70,1.969
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,7,0.126,32,0.782,49,1.292,62,2.141
M,Stephens,4.2,4.2,Burnley,0,0,2,0.068,3,0.095,3,0.106
G,Button,3.9,3.9,West Brom,1,0.035,2,0.07,1,0.037,1,0.036
M,Groß,5.8,5.8,Brighton,73,3.336,70,3.166,70,2.552,68,2.746
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,9,0.322,7,0.245,8,0.257,7,0.234
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,53,2.316,52,2.007,52,1.308,53,1.66
D,Dunk,4.9,4.9,Brighton,83,3.471,70,2.53,73,1.672,72,2.095
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,6,0.224,13,0.463,17,0.796
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,86,3.448,83,2.894,84,1.939,81,2.334
D,Veltman,4.4,4.4,Brighton,79,3.492,77,2.971,75,1.866,74,2.308
F,Maupay,5.9,5.9,Brighton,72,3.758,71,3.731,70,2.873,68,3.173
M,Trossard,5.7,5.7,Brighton,72,3.324,71,3.195,69,2.526,69,2.785
G,Ryan,4.1,4.1,Arsenal,24,1.984,0,0,17,0.732,26,1.103
M,Jahanbakhsh,5.4,5.4,Brighton,20,0.884,20,0.871,21,0.78,21,0.843
M,Izquierdo,5.5,5.5,Brighton,1,0.046,1,0.045,1,0.039,2,0.084
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,79,3.056,79,2.655,75,1.678,74,2.062
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,84,2.552,77,2.329,76,2.017,73,2.071
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,15,0.748,12,0.593,12,0.499,12,0.539
M,Alzate,4.2,4.2,Brighton,3,0.109,3,0.107,3,0.098,2,0.068
M,Mac Allister,5.3,5.3,Brighton,41,1.755,37,1.548,36,1.284,35,1.354
D,Tarkowski,5.3,5.3,Burnley,87,2.613,82,2.581,83,1.598,82,3.309
D,Bardsley,4.4,4.4,Burnley,0,0,0,0,0,0,1,0.039
D,Pieters,4.3,4.3,Burnley,17,0.521,18,0.578,23,0.469,25,1.018
M,Cork,5.0,5.0,Burnley,48,1.498,48,1.551,51,1.489,52,1.747
D,Long,4.3,4.3,Burnley,0,0,0,0,0,0,0,0
F,Rodriguez,5.7,5.7,Burnley,21,0.939,23,1.103,23,0.945,24,1.171
F,Barnes,6.0,6.0,Burnley,46,2.248,48,2.565,48,2.095,48,2.637
D,Mee,4.8,4.8,Burnley,87,2.636,85,2.673,84,1.609,81,3.293
M,Westwood,5.3,5.3,Burnley,81,2.535,79,2.589,78,2.244,77,2.679
M,Gudmundsson,5.4,5.4,Burnley,56,2.175,57,2.333,54,1.907,55,2.374
F,Wood,6.4,6.4,Burnley,75,4.062,72,4.313,74,3.503,79,4.825
D,Lowton,4.4,4.4,Burnley,84,2.618,82,2.699,82,1.657,81,3.42
F,Vydra,4.8,4.8,Burnley,41,2.084,56,3.022,57,2.499,56,3.103
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,88,3.531,88,3.628,88,3.211,87,3.945
D,Taylor,4.4,4.4,Burnley,77,2.378,79,2.536,75,1.494,75,3.108
M,Brownhill,4.9,4.9,Burnley,76,2.588,73,2.62,73,2.28,71,2.713
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,0,0,0,0,0,0
M,McNeil,5.7,5.7,Burnley,84,2.996,80,3.041,80,2.595,79,3.183
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,59,4.481,0,0,68,3.087,59,2.75
F,Giroud,6.7,6.7,Chelsea,5,0.567,0,0,4,0.252,5,0.331
D,Alonso,5.7,5.7,Chelsea,40,3.603,0,0,17,0.914,22,1.224
M,Jorginho,4.7,4.7,Chelsea,33,2.448,0,0,58,2.238,29,1.188
M,Barkley,5.8,5.8,Aston Villa,50,4.634,39,1.973,37,1.567,39,1.624
M,Kovacic,5.3,5.3,Chelsea,19,0.908,0,0,47,1.683,57,2.072
F,Batshuayi,5.7,5.7,Crystal Palace,3,0.311,4,0.203,3,0.141,4,0.169
D,Rüdiger,4.7,4.7,Chelsea,69,4.804,0,0,74,3.098,69,2.931
D,Zouma,5.3,5.3,Chelsea,45,3.314,0,0,47,2.059,44,1.966
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,0,0,2,0.087,0,0
M,Kanté,4.9,4.9,Chelsea,49,3.068,0,0,34,1.141,40,1.362
M,Ziyech,7.9,7.9,Chelsea,33,2.927,0,0,29,1.405,34,1.71
M,Loftus-Cheek,5.9,5.9,Fulham,66,2.967,63,2.509,64,2.21,60,2.746
D,Christensen,4.7,4.7,Chelsea,61,4.16,0,0,70,2.867,64,2.654
F,Werner,9.2,9.2,Chelsea,68,7.045,0,0,64,3.657,62,3.762
F,Abraham,7.1,7.1,Chelsea,12,1.37,0,0,12,0.741,13,0.843
M,Pulisic,8.3,8.3,Chelsea,56,5.486,0,0,49,2.639,55,3.104
M,Mount,7.3,7.3,Chelsea,65,5.932,0,0,64,3.218,64,3.38
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,16,1.452,0,0,17,0.833,15,0.765
D,James,5.1,5.1,Chelsea,56,4.839,0,0,59,3.042,59,3.132
M,Gilmour,4.3,4.3,Chelsea,2,0.138,0,0,2,0.072,3,0.11
D,Cahill,4.5,4.5,Crystal Palace,52,3.736,38,1.246,40,1.127,38,0.666
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,2,0.045,3,0.081,3,0.052
G,Guaita,4.8,4.8,Crystal Palace,88,7.169,86,3.359,87,3.222,86,2.978
D,Tomkins,4.4,4.4,Crystal Palace,6,0.163,45,1.086,58,1.592,57,0.923
M,McArthur,5.2,5.2,Crystal Palace,0,0,0,0,0,0,0,0
M,McCarthy,4.3,4.3,Crystal Palace,27,1.764,30,0.958,27,0.833,31,0.884
F,Benteke,5.5,5.5,Crystal Palace,65,6.52,63,3.08,64,2.852,64,2.467
M,Kouyaté,4.8,4.8,Crystal Palace,78,4.819,68,2.097,64,1.899,65,1.772
D,Ward,4.3,4.3,Crystal Palace,76,5.21,74,2.308,70,1.867,71,1.137
D,Kelly,4.1,4.1,Crystal Palace,0,0,0,0,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,0,0,1,0.047,0,0
M,Townsend,5.5,5.5,Crystal Palace,42,3.833,43,1.895,46,1.875,43,1.563
M,Milivojevic,5.6,5.6,Crystal Palace,80,5.648,77,2.648,76,2.454,75,2.145
D,van Aanholt,5.4,5.4,Crystal Palace,59,4.942,56,2.157,57,1.857,56,1.163
F,Ayew,5.6,5.6,Crystal Palace,52,4.567,49,2.109,52,2.053,51,1.82
M,Zaha,7.2,7.2,Crystal Palace,83,7.864,80,3.666,82,3.401,81,2.898
M,Schlupp,5.3,5.3,Crystal Palace,38,3.146,42,1.688,41,1.548,39,1.33
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,54,3.605,53,1.722,55,1.698,54,1.54
D,Ferguson,3.8,3.8,Crystal Palace,2,0.049,19,0.43,32,0.85,25,0.405
D,Mitchell,3.8,3.8,Crystal Palace,49,3.319,67,2.058,68,1.784,68,1.068
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0
M,Walcott,5.8,5.8,Southampton,63,5.148,58,2.759,56,2.614,58,2.36
M,Delph,4.8,4.8,Everton,20,1.22,20,0.695,24,0.782,17,0.475
M,Sigurdsson,6.9,6.9,Everton,71,6.705,69,4.218,70,3.791,68,2.509
G,Lössl,4.3,4.3,Everton,0,0,0,0,0,0,0,0
D,Coleman,4.9,4.9,Everton,68,4.676,63,3.53,66,3.21,66,1.325
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0,0,0
M,Bernard,5.7,5.7,Everton,15,1.235,15,0.762,17,0.783,14,0.49
D,Digne,6.1,6.1,Everton,81,5.937,79,4.715,80,4.115,80,1.696
D,Keane,5.0,5.0,Everton,60,3.88,60,3.116,61,2.77,60,1.164
G,Pickford,4.8,4.8,Everton,87,6.819,86,4.178,87,3.95,86,3.034
M,André Gomes,5.3,5.3,Everton,53,3.21,53,1.943,52,1.754,45,1.227
M,Iwobi,5.9,5.9,Everton,43,3.356,40,1.905,42,1.821,39,1.303
D,Kenny,4.3,4.3,Everton,0,0,0,0,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,20,1.26,21,1.069,23,1.022,26,0.495
M,Davies,5.2,5.2,Everton,32,2.085,32,1.248,29,1.042,26,0.757
F,Calvert-Lewin,7.5,7.5,Everton,79,7.985,77,4.993,79,4.493,78,2.982
D,Holgate,4.8,4.8,Everton,72,4.314,74,3.691,74,3.2,74,1.298
F,Richarlison,7.8,7.8,Everton,77,7.173,74,4.355,76,3.94,75,2.676
G,Virgínia,4.3,4.3,Everton,0,0,0,0,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0,0,0,0,0
G,Fabri,3.9,3.9,Fulham,0,0,0,0,0,0,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
M,Cairney,5.2,5.2,Fulham,0,0,0,0,0,0,0,0
D,Ream,4.2,4.2,Fulham,0,0,0,0,0,0,1,0.037
M,Knockaert,5.0,5.0,Fulham,0,0,0,0,0,0,0,0
D,Hector,4.1,4.1,Fulham,0,0,0,0,0,0,0,0
D,Christie,4.2,4.2,Fulham,0,0,0,0,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,61,2.733,62,2.469,61,2.145,60,2.725
D,Bryan,4.5,4.5,Fulham,2,0.085,3,0.101,3,0.072,3,0.13
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,30,1.835,34,1.786,31,1.36,33,2.027
D,Mawson,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
M,Cavaleiro,5.3,5.3,Fulham,63,3.38,63,2.941,62,2.417,60,3.288
M,Onomah,4.6,4.6,Fulham,9,0.372,11,0.411,11,0.375,11,0.454
M,Seri,4.6,4.6,Fulham,0,0,0,0,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0,0,0,0,0
M,Anguissa,4.4,4.4,Fulham,55,1.944,56,1.792,54,1.579,55,1.944
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
M,Hernández,5.7,5.7,Leeds,11,0.467,11,0.499,8,0.368,10,0.508
G,Casilla,4.1,4.1,Leeds,0,0,0,0,0,0,0,0
D,Cooper,4.3,4.3,Leeds,66,1.672,62,2.113,60,1.859,63,2.594
D,Douglas,3.8,3.8,Leeds,0,0,0,0,0,0,0,0
D,Ayling,4.4,4.4,Leeds,78,2.021,76,2.634,76,2.405,76,3.207
M,Klich,5.2,5.2,Leeds,49,1.79,43,1.693,41,1.632,41,1.831
M,Forshaw,4.8,4.8,Leeds,0,0,0,0,0,0,0,0
D,Dallas,5.3,5.3,Leeds,88,2.487,85,3.198,86,2.97,84,3.862
D,Alioski,4.3,4.3,Leeds,71,1.996,70,2.611,70,2.413,70,3.215
F,Bamford,6.4,6.4,Leeds,79,4.467,76,4.594,78,4.858,77,5.472
M,Harrison,5.4,5.4,Leeds,74,3.079,72,3.239,71,3.207,72,3.669
M,Phillips,4.9,4.9,Leeds,23,0.431,59,1.514,80,2.476,76,2.677
M,Costa,5.0,5.0,Leeds,0,0,20,0.925,15,0.7,8,0.414
M,Roberts,4.6,4.6,Leeds,59,2.207,59,2.361,58,2.342,59,2.652
M,Grot,4.7,4.7,Leeds,0,0,0,0,0,0,0,0
G,Miazek,4.0,4.0,Leeds,0,0,0,0,0,0,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,33,1.342,27,1.17,21,0.925,20,0.976
M,Shackleton,4.8,4.8,Leeds,4,0.138,5,0.178,7,0.25,5,0.193
D,Struijk,4.0,4.0,Leeds,31,0.818,32,1.124,31,0.994,31,1.308
M,Stevens,4.3,4.3,Leeds,0,0,0,0,0,0,0,0
G,Meslier,4.7,4.7,Leeds,88,3.295,87,3.643,88,3.488,87,3.806
D,Davis,3.8,3.8,Leeds,2,0.051,1,0.033,1,0.03,1,0.039
D,Casey,3.8,3.8,Leeds,1,0.026,0,0,0,0,1,0.04
D,Morgan,4.4,4.4,Leicester,0,0,0,0,0,0,0,0
G,Schmeichel,5.4,5.4,Leicester,88,7.523,0,0,88,3.346,86,3.447
D,Fuchs,4.5,4.5,Leicester,0,0,0,0,0,0,0,0
D,Evans,5.6,5.6,Leicester,85,6.586,0,0,80,2.188,80,2.597
M,Silva,4.4,4.4,Leicester,0,0,0,0,0,0,0,0
M,Albrighton,5.2,5.2,Leicester,31,2.604,0,0,39,1.333,37,1.412
M,James,4.3,4.3,Leicester,0,0,0,0,0,0,0,0
G,Ward,4.3,4.3,Leicester,0,0,0,0,1,0.038,0,0
F,Vardy,10.3,10.3,Leicester,82,10.446,0,0,84,3.776,83,4.639
M,Praet,5.2,5.2,Leicester,18,1.48,0,0,26,0.903,22,0.839
D,Pereira,5.9,5.9,Leicester,38,3.307,0,0,40,1.228,38,1.403
D,Amartey,3.9,3.9,Leicester,9,0.7,0,0,15,0.429,16,0.532
M,Tielemans,6.4,6.4,Leicester,83,6.673,0,0,81,2.612,84,3.033
M,Pérez,6.0,6.0,Leicester,46,4.326,0,0,52,1.945,45,1.928
M,Gray,5.1,5.1,Leicester,0,0,0,0,0,0,0,0
M,Maddison,7.3,7.3,Leicester,79,8.19,0,0,76,2.965,70,3.288
D,Chilwell,5.9,5.9,Chelsea,61,4.959,0,0,61,2.974,60,2.998
F,Iheanacho,6.3,6.0,Leicester,79,9.051,0,0,86,3.599,79,4.099
M,Choudhury,4.6,4.6,Leicester,4,0.266,0,0,3,0.089,6,0.188
M,Barnes,6.6,6.6,Leicester,0,0,0,0,0,0,0,0
M,Ndidi,4.8,4.8,Leicester,83,5.248,0,0,83,2.234,79,2.331
D,Benkovic,4.3,4.3,Leicester,0,0,0,0,0,0,0,0
D,Söyüncü,5.3,5.3,Leicester,84,6.128,0,0,80,2.078,81,2.477
D,Justin,4.8,4.8,Leicester,0,0,0,0,0,0,0,0
D,Thomas,4.1,4.1,Leicester,24,2.033,0,0,18,0.55,25,0.905
M,Milner,5.3,5.3,Liverpool,46,4.015,46,2.158,45,2.016,45,2.152
D,Tsimikas,4.9,4.9,Liverpool,2,0.176,5,0.253,6,0.289,5,0.267
M,Wijnaldum,5.3,5.3,Liverpool,56,4.441,57,2.366,59,2.353,50,2.128
M,Henderson,5.4,5.4,Liverpool,0,0,0,0,0,0,36,0.928
G,Adrián,4.2,4.2,Liverpool,0,0,0,0,0,0,1,0.046
D,Matip,5.4,5.4,Liverpool,0,0,0,0,0,0,0,0
M,Shaqiri,6.4,6.4,Liverpool,7,0.727,10,0.556,13,0.683,11,0.618
M,Chamberlain,6.3,6.3,Liverpool,4,0.337,3,0.133,5,0.214,4,0.179
F,Firmino,9.0,9.0,Liverpool,69,7.503,67,3.855,68,3.677,68,3.903
D,van Dijk,6.2,6.2,Liverpool,0,0,0,0,0,0,0,0
M,Mané,11.7,11.7,Liverpool,75,10.915,72,5.683,74,5.388,73,5.823
G,Alisson,5.9,5.9,Liverpool,88,7.651,87,4.006,88,3.994,87,4.191
M,Fabinho,5.4,5.4,Liverpool,75,4.692,72,2.376,72,2.307,65,2.229
M,Salah,12.7,12.4,Liverpool,79,13.199,77,6.988,79,6.602,78,7.139
D,Robertson,7.1,7.1,Liverpool,85,8.041,81,4.365,83,4.243,82,4.701
F,Origi,5.1,5.1,Liverpool,0,0,0,0,0,0,0,0
M,Harry Wilson,5.1,5.1,Liverpool,0,0,0,0,0,0,0,0
M,Minamino,6.0,6.0,Southampton,6,0.345,10,0.487,9,0.434,12,0.51
