,twitter,FPL,FPL_Rank,xG,xG_Rank,IO,IO_Rank,MD,MD_Rank,Luck,Luck_Rank
0,sertalpbilal,2315.0,303626.0,2382.8,32063.0,2397.6,8000.0,2406.7,492.0,-104.5,7.1%
1,FplSimpson,2380.0,122254.0,2433.8,7355.0,2439.0,411.0,2423.3,102.0,-75.8,14.4%
2,FplStatsdan,2310.0,322125.0,2362.8,50353.0,2371.6,24428.0,2346.1,19512.0,-73.2,15.3%
3,FF_Trout,2391.0,101728.0,2452.9,3531.0,2460.7,33.0,2454.8,2.0,-88.9,10.8%
4,dilksybab,2439.0,39670.0,2518.6,109.0,2474.5,7.0,2436.9,13.0,-61.5,19.7%
5,theFPLkiwi,2262.0,538242.0,2356.5,57545.0,2416.4,2648.0,2385.5,2507.0,-147.9,1.7%
6,jameso_12,2303.0,349880.0,2315.1,122764.0,2404.0,5662.0,2374.9,4924.0,-84.9,11.7%
7,api_kakayou,2425.0,53602.0,2383.4,31578.0,2401.4,6578.0,2376.4,4529.0,14.2,58.1%
8,usafpl,2308.0,329877.0,2306.0,141844.0,2328.2,85831.0,2289.1,104332.0,-21.0,38.2%
9,CazzaFPL,2493.0,9560.0,2471.9,1545.0,2457.8,53.0,2415.4,230.0,20.9,61.5%
10,PlanetosFPL,2391.0,101728.0,2425.0,9941.0,2471.3,10.0,2439.1,8.0,-77.9,13.8%
11,analytic_fpl,2436.0,42367.0,2385.6,29984.0,2411.7,3599.0,2393.4,1447.0,15.3,58.8%
12,wee_rogue,2396.0,93291.0,2422.0,10961.0,2452.9,91.0,2412.5,306.0,-56.9,21.2%
13,mtthwmn,2404.0,80763.0,2400.1,20734.0,2463.0,26.0,2443.8,5.0,-55.4,21.8%
14,cmusson32,2291.0,400213.0,2379.0,35161.0,2390.8,11085.0,2402.2,705.0,-123.4,4.1%
15,FPLstudent2,2404.0,80763.0,2476.5,1218.0,2433.7,680.0,2457.7,1.0,-75.8,14.5%
16,peterhandleson,2123.0,1501801.0,2180.9,621707.0,2223.2,490732.0,2221.5,352289.0,-103.2,7.5%
17,chrishp,2435.0,43382.0,2436.3,6753.0,2419.3,2174.0,2404.0,611.0,-8.6,44.7%
18,plfantasy,2422.0,57171.0,2399.6,21062.0,2372.8,23370.0,2356.1,12914.0,22.3,62.3%
19,FPLmeta,2457.0,25976.0,2423.0,10594.0,2437.0,504.0,2421.2,121.0,6.1,53.2%
20,FplAuto,2360.0,167094.0,2402.7,19340.0,2417.9,2377.0,2372.6,5619.0,-61.5,19.6%
21,NourEldin_z3r0,2472.0,17585.0,2444.1,5041.0,2373.1,23052.0,2357.9,11929.0,56.5,78.6%
22,UkendtPerson45,2414.0,66867.0,2482.0,901.0,2425.5,1350.0,2404.9,575.0,-47.3,25%
23,MikkelTokvam,2440.0,38784.0,2469.1,1764.0,2434.4,641.0,2407.1,474.0,-20.6,38.4%
24,Klaudioz,2356.0,177279.0,2276.4,218980.0,2253.0,340321.0,2228.1,320485.0,84.2,88.5%
25,FantasianPL,2245.0,631586.0,2358.7,55029.0,2358.4,37869.0,2342.8,22119.0,-131.1,3.3%
26,rama96ab,2389.0,105286.0,2441.8,5534.0,2436.7,519.0,2417.0,198.0,-66.6,17.7%
