,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,213,Meslier,2,1,45,8,3.803,False,1,1,3.803
1,110,Zouma,8,2,52,8,3.924,False,1,1,3.924
2,232,Chilwell,8,2,59,8,4.539,False,1,1,4.539
3,375,Walker-Peters,20,2,45,8,3.759,False,1,1,3.759
4,457,Doherty,6,2,58,8,3.978,False,1,1,3.978
5,69,Trossard,36,3,60,8,4.075,False,1,1,4.075
6,370,Ward-Prowse,20,3,58,8,4.421,False,1,1,4.421
7,390,Son,6,3,96,8,5.565,False,1,1,5.565
8,117,Werner,8,4,93,8,5.359,False,1,1,5.359
9,377,Adams,20,4,58,8,4.577,False,1,1,4.577
10,388,Kane,6,4,109,8,6.516,True,2,1,13.032
11,431,Fabianski,21,1,50,8,3.826,False,0,0,0.0
12,66,Webster,36,2,44,8,3.824,False,0,0,0.0
13,4,Aubameyang,3,3,117,8,5.917999999999998,False,0,0,0.0
14,203,Harrison,2,3,55,8,3.734,False,0,0,0.0
