,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,307,Ederson,43,1,54,4.1422,False,1,1,13.6,4.1422
1,165,Andersen,31,2,45,3.2537999999999996,False,1,1,3.1,3.2537999999999996
2,285,Alexander-Arnold,14,2,72,4.754,False,1,1,19.7,4.754
3,533,Martínez,1,2,45,3.1544,False,1,1,6.2,3.1544
4,13,Saka,3,3,80,4.9054,False,1,1,17.1,4.9054
5,19,Martinelli,3,3,68,4.2826,False,1,1,48.8,4.2826
6,111,Trossard,36,3,68,4.3408,False,1,1,18.2,4.3408
7,160,Zaha,31,3,76,4.935600000000001,False,1,1,22.9,4.935600000000001
8,297,Darwin,14,4,88,4.738600000000001,False,1,1,6.9,4.738600000000001
9,318,Haaland,43,4,122,6.8464,True,2,1,82.1,13.6928
10,427,Kane,6,4,115,5.4494,False,1,1,24.4,5.4494
11,254,Ward,13,1,41,3.0789999999999997,False,0,0,26.1,0.0
12,167,Guéhi,31,2,44,2.8896,False,0,0,3.6,0.0
13,558,Bueno,39,2,39,1.3782,False,0,0,1.5,0.0
14,365,Murphy,4,3,43,1.9546,False,0,0,4.3,0.0
