,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,307,Ederson,43,1,54,31,4.123,False,1,13.4,4.123
1,285,Alexander-Arnold,14,2,73,31,4.388,False,1,17.8,4.388
2,448,Perišić,6,2,53,31,4.3180000000000005,False,1,15.8,4.3180000000000005
3,733,Pedro Porro,6,2,48,31,4.97,False,1,0.7,4.97
4,13,Saka,3,3,86,31,5.454,False,1,40.9,5.454
5,283,Salah,14,3,128,31,6.091,False,1,26.3,6.091
6,301,De Bruyne,43,3,121,31,5.879,False,1,25.9,5.879
7,305,Grealish,43,3,70,31,5.019,False,1,6.8,5.019
8,428,Son,6,3,116,31,4.938,False,1,6.4,4.938
9,318,Haaland,43,4,122,31,7.581,True,2,77.4,15.162
10,427,Kane,6,4,117,31,7.0760000000000005,False,1,39.8,7.0760000000000005
