,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,327,De Gea,1,1,51,37,7.415,False,1,1,13.8,7.415
1,285,Alexander-Arnold,14,2,77,37,4.8469999999999995,False,1,1,28.6,4.8469999999999995
2,312,Dias,43,2,60,37,6.535,False,1,1,7.7,6.535
3,586,Estupiñán,36,2,49,37,6.518,False,1,1,18.4,6.518
4,116,Mac Allister,36,3,56,37,7.693,False,1,1,14.8,7.693
5,124,Mitoma,36,3,57,37,7.806999999999999,False,1,1,28.9,7.806999999999999
6,301,De Bruyne,43,3,122,37,9.267999999999999,False,1,1,26.5,9.267999999999999
7,333,Fernandes,1,3,95,37,9.297,False,1,1,9.5,9.297
8,335,Rashford,1,3,72,37,9.832,False,1,1,37.9,9.832
9,318,Haaland,43,4,124,37,11.673,True,2,1,83.4,23.346
10,356,Wilson,4,4,72,37,4.848,False,1,1,14.6,4.848
11,424,Caballero,20,1,38,37,0.0,False,0,0,0.8,0.0
12,295,N.Williams,17,2,38,37,0.0,False,0,0,12.7,0.0
13,439,Tanganga,6,2,38,37,0.096,False,0,0,2.5,0.0
14,237,Greenwood,2,4,40,37,1.72,False,0,0,10.7,0.0
