rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.23,0.48,91.89
2,2,Manchester City,Barclays Premier League,2.8,0.36,90.83
3,3,Arsenal,Barclays Premier League,2.45,0.39,87.23
4,4,Barcelona,Spanish Primera Division,2.49,0.45,86.61
5,6,Real Madrid,Spanish Primera Division,2.58,0.6,84.66
6,5,Paris Saint-Germain,French Ligue 1,2.66,0.68,83.98
7,7,Liverpool,Barclays Premier League,2.63,0.67,83.76
8,9,Newcastle,Barclays Premier League,2.12,0.45,82.2
9,8,Napoli,Italy Serie A,2.48,0.67,82.15
10,10,RB Leipzig,German Bundesliga,2.51,0.7,81.84
11,11,Chelsea,Barclays Premier League,2.08,0.48,81.12
12,12,FC Porto,Portuguese Liga,2.39,0.67,81.09
13,13,Manchester United,Barclays Premier League,2.3,0.63,80.81
14,14,Benfica,Portuguese Liga,2.39,0.73,79.84
15,15,Brighton and Hove Albion,Barclays Premier League,2.27,0.67,79.47
16,17,Ajax,Dutch Eredivisie,2.77,1.03,78.72
17,18,Tottenham Hotspur,Barclays Premier League,2.3,0.74,78.27
18,16,Internazionale,Italy Serie A,2.36,0.79,78.08
19,19,Atletico Madrid,Spanish Primera Division,2.03,0.61,77.41
20,21,Zenit St Petersburg,Russian Premier Liga,2.09,0.69,76.46
21,24,Borussia Dortmund,German Bundesliga,2.35,0.86,76.45
22,23,Real Sociedad,Spanish Primera Division,1.84,0.53,76.24
23,22,Marseille,French Ligue 1,2.06,0.69,76.03
24,25,Athletic Bilbao,Spanish Primera Division,1.8,0.55,75.04
25,26,AS Roma,Italy Serie A,1.91,0.63,74.9
26,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.09,0.78,74.29
27,28,Lille,French Ligue 1,1.93,0.68,74.07
28,31,Feyenoord,Dutch Eredivisie,2.14,0.84,73.77
29,37,VfL Wolfsburg,German Bundesliga,2.15,0.86,73.54
30,30,Aston Villa,Barclays Premier League,1.88,0.67,73.5
31,29,Bayer Leverkusen,German Bundesliga,2.1,0.83,73.26
32,35,Celtic,Scottish Premiership,2.39,1.05,73.15
33,32,Villarreal,Spanish Primera Division,1.83,0.66,72.91
34,34,Eintracht Frankfurt,German Bundesliga,2.09,0.85,72.75
35,36,West Ham United,Barclays Premier League,1.82,0.66,72.58
36,33,Juventus,Italy Serie A,2.0,0.8,72.3
37,20,AC Milan,Italy Serie A,2.19,0.95,72.19
38,39,Lens,French Ligue 1,1.83,0.69,72.14
39,41,AS Monaco,French Ligue 1,2.09,0.9,71.77
40,40,Lyon,French Ligue 1,1.99,0.83,71.42
41,42,Stade Rennes,French Ligue 1,1.95,0.81,71.38
42,43,Atalanta,Italy Serie A,2.16,0.96,71.32
43,44,Sporting CP,Portuguese Liga,1.94,0.8,71.31
44,45,Brentford,Barclays Premier League,2.0,0.85,71.18
45,48,Celta Vigo,Spanish Primera Division,1.71,0.64,71.17
46,52,Real Betis,Spanish Primera Division,1.67,0.62,71.06
47,47,SC Freiburg,German Bundesliga,2.09,0.94,70.85
48,46,Palmeiras,Brasileiro Série A,1.81,0.74,70.63
49,38,PSV,Dutch Eredivisie,2.16,1.01,70.35
50,57,Lazio,Italy Serie A,1.9,0.83,70.05
51,54,Fiorentina,Italy Serie A,1.91,0.85,69.73
52,55,1. FC Union Berlin,German Bundesliga,1.75,0.74,69.31
53,51,Mainz,German Bundesliga,1.97,0.91,69.24
54,50,FC Twente,Dutch Eredivisie,1.89,0.86,69.06
55,53,Osasuna,Spanish Primera Division,1.62,0.66,68.86
56,49,Valencia,Spanish Primera Division,1.81,0.81,68.84
57,56,FC Cologne,German Bundesliga,1.98,0.95,68.6
58,63,Sevilla FC,Spanish Primera Division,1.76,0.78,68.54
59,59,Rayo Vallecano,Spanish Primera Division,1.7,0.74,68.52
60,64,Genk,Belgian Jupiler League,2.13,1.08,68.24
61,58,Braga,Portuguese Liga,1.86,0.88,68.01
62,62,Borussia Monchengladbach,German Bundesliga,2.14,1.11,67.82
63,60,Leicester City,Barclays Premier League,1.86,0.89,67.7
64,61,Flamengo,Brasileiro Série A,1.8,0.85,67.46
65,67,Fulham,Barclays Premier League,1.87,0.92,67.19
66,65,Atletico Mineiro,Brasileiro Série A,1.56,0.69,66.93
67,71,VfB Stuttgart,German Bundesliga,1.95,1.01,66.45
68,68,Leeds United,Barclays Premier League,1.9,0.98,66.41
69,66,TSG Hoffenheim,German Bundesliga,2.04,1.1,66.28
70,70,Crystal Palace,Barclays Premier League,1.65,0.8,65.77
71,72,Nice,French Ligue 1,1.62,0.8,65.2
72,76,Young Boys,Swiss Raiffeisen Super League,2.06,1.17,65.08
73,74,Girona FC,Spanish Primera Division,1.79,0.95,65.06
74,75,Rangers,Scottish Premiership,1.94,1.08,64.87
75,79,Fenerbahce,Turkish Turkcell Super Lig,2.08,1.2,64.73
76,69,Mallorca,Spanish Primera Division,1.49,0.72,64.63
77,80,Udinese,Italy Serie A,1.86,1.03,64.44
78,78,Fluminense,Brasileiro Série A,1.62,0.85,63.83
79,77,Monterrey,Mexican Primera Division Torneo Clausura,1.75,0.97,63.71
80,93,Galatasaray,Turkish Turkcell Super Lig,1.82,1.05,63.21
81,81,Torino,Italy Serie A,1.61,0.87,63.16
82,82,Slavia Prague,UEFA Europa Conference League,1.83,1.06,63.09
83,83,Wolverhampton,Barclays Premier League,1.58,0.85,63.07
84,73,Getafe,Spanish Primera Division,1.43,0.73,63.06
85,97,Reims,French Ligue 1,1.6,0.9,62.31
86,96,Club América,Mexican Primera Division Torneo Clausura,1.73,1.01,62.21
87,88,Union Saint Gilloise,Belgian Jupiler League,1.78,1.06,62.19
88,85,Internacional,Brasileiro Série A,1.58,0.89,62.15
89,95,Werder Bremen,German Bundesliga,1.88,1.16,61.88
90,89,Dinamo Zagreb,UEFA Champions League,1.8,1.09,61.85
91,91,Tigres UANL,Mexican Primera Division Torneo Clausura,1.71,1.01,61.81
92,90,Southampton,Barclays Premier League,1.68,1.0,61.7
93,84,Espanyol,Spanish Primera Division,1.62,0.94,61.57
94,103,Sassuolo,Italy Serie A,1.83,1.13,61.52
95,86,AZ,Dutch Eredivisie,1.95,1.24,61.32
96,94,São Paulo,Brasileiro Série A,1.53,0.89,60.93
97,98,Club Brugge,Belgian Jupiler League,1.85,1.21,60.21
98,110,Almeria,Spanish Primera Division,1.65,1.03,59.95
99,92,Strasbourg,French Ligue 1,1.76,1.14,59.8
100,99,Spartak Moscow,Russian Premier Liga,1.75,1.14,59.73
101,100,Bodo/Glimt,Norwegian Tippeligaen,2.15,1.49,59.7
102,106,Monza,Italy Serie A,1.63,1.04,59.5
103,101,Shakhtar Donetsk,UEFA Europa League,1.82,1.23,58.84
104,113,FC Augsburg,German Bundesliga,1.84,1.26,58.8
105,108,Bologna,Italy Serie A,1.64,1.08,58.78
106,104,Nottingham Forest,Barclays Premier League,1.55,1.0,58.7
107,118,FC Utrecht,Dutch Eredivisie,1.88,1.3,58.59
108,105,Slovácko,UEFA Europa Conference League,1.77,1.21,58.54
109,107,Red Star Belgrade,UEFA Europa League,1.75,1.19,58.52
110,87,Hertha Berlin,German Bundesliga,1.66,1.12,58.34
111,109,Everton,Barclays Premier League,1.59,1.05,58.34
112,117,Toulouse,French Ligue 1,1.67,1.14,57.94
113,112,FC Copenhagen,Danish SAS-Ligaen,1.61,1.1,57.63
114,102,KAA Gent,Belgian Jupiler League,1.6,1.1,57.47
115,111,Verona,Italy Serie A,1.58,1.08,57.31
116,123,Cadiz,Spanish Primera Division,1.45,0.98,57.12
117,116,Molde,Norwegian Tippeligaen,1.88,1.37,56.95
118,114,Pachuca,Mexican Primera Division Torneo Clausura,1.68,1.21,56.55
119,121,Clermont Foot,French Ligue 1,1.47,1.02,56.52
120,148,Vitesse,Dutch Eredivisie,1.68,1.21,56.42
121,120,Philadelphia Union,Major League Soccer,1.73,1.27,56.22
122,122,Antwerp,Belgian Jupiler League,1.59,1.15,55.98
123,115,Schalke 04,German Bundesliga,1.61,1.18,55.84
124,137,Besiktas,Turkish Turkcell Super Lig,1.68,1.25,55.64
125,119,Olympiacos,Greek Super League,1.45,1.04,55.62
126,124,VfL Bochum,German Bundesliga,1.71,1.29,55.45
127,126,Burnley,English League Championship,1.45,1.04,55.34
128,127,Nantes,French Ligue 1,1.38,0.98,55.33
129,128,Sheffield United,English League Championship,1.51,1.11,55.17
130,125,Lecce,Italy Serie A,1.41,1.01,55.08
131,129,West Bromwich Albion,English League Championship,1.39,1.0,54.97
132,130,AFC Bournemouth,Barclays Premier League,1.54,1.15,54.94
133,131,Viktoria Plzen,UEFA Champions League,1.82,1.41,54.85
134,132,Los Angeles FC,Major League Soccer,1.74,1.35,54.71
135,152,AEK Athens,Greek Super League,1.52,1.14,54.69
136,133,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.5,1.12,54.59
137,134,Ferencvaros,UEFA Europa League,1.63,1.25,54.53
138,140,Real Valladolid,Spanish Primera Division,1.44,1.07,54.44
139,135,SC Dnipro-1,UEFA Europa Conference League,1.67,1.29,54.36
140,136,Lorient,French Ligue 1,1.54,1.19,54.07
141,138,Yokohama F. Marinos,Japanese J League,1.73,1.36,54.04
142,139,América Mineiro,Brasileiro Série A,1.42,1.06,54.04
143,142,Corinthians,Brasileiro Série A,1.24,0.89,53.97
144,143,Fortaleza,Brasileiro Série A,1.34,1.0,53.96
145,144,Dinamo Moscow,Russian Premier Liga,1.62,1.27,53.86
146,145,CSKA Moscow,Russian Premier Liga,1.45,1.1,53.8
147,146,River Plate,Argentina Primera Division,1.44,1.1,53.77
148,141,Santos Laguna,Mexican Primera Division Torneo Clausura,1.59,1.26,53.35
149,155,Brest,French Ligue 1,1.47,1.15,53.3
150,149,FK Partizan Belgrade,UEFA Europa Conference League,1.48,1.16,53.23
151,151,Dynamo Kiev,UEFA Europa League,1.51,1.19,53.06
152,163,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.44,1.13,52.84
153,158,Middlesbrough,English League Championship,1.4,1.1,52.82
154,157,Adana Demirspor,Turkish Turkcell Super Lig,1.56,1.26,52.63
155,153,Norwich City,English League Championship,1.52,1.24,52.42
156,147,Trabzonspor,Turkish Turkcell Super Lig,1.59,1.3,52.31
157,159,Cruz Azul,Mexican Primera Division Torneo Clausura,1.37,1.11,51.89
158,160,Steaua Bucuresti,UEFA Europa Conference League,1.5,1.24,51.89
159,161,Kawasaki Frontale,Japanese J League,1.77,1.51,51.84
160,162,FC Midtjylland,Danish SAS-Ligaen,1.53,1.27,51.74
161,164,New York City FC,Major League Soccer,1.6,1.35,51.62
162,179,NEC,Dutch Eredivisie,1.5,1.26,51.32
163,166,Swansea City,English League Championship,1.45,1.22,51.28
164,167,Millwall,English League Championship,1.31,1.08,51.22
165,150,Sparta,Dutch Eredivisie,1.46,1.23,51.1
166,184,Empoli,Italy Serie A,1.5,1.28,51.06
167,169,AC Ajaccio,French Ligue 1,1.35,1.13,50.92
168,156,PAOK Salonika,Greek Super League,1.34,1.12,50.87
169,170,Famalicao,Portuguese Liga,1.33,1.11,50.83
170,176,Guimaraes,Portuguese Liga,1.26,1.04,50.69
171,154,Elche,Spanish Primera Division,1.43,1.22,50.66
172,178,Vizela,Portuguese Liga,1.37,1.16,50.66
173,171,Atlético Paranaense,Brasileiro Série A,1.32,1.11,50.65
174,168,Guadalajara,Mexican Primera Division Torneo Clausura,1.35,1.14,50.62
175,172,Montreal Impact,Major League Soccer,1.56,1.36,50.6
176,175,Gil Vicente,Portuguese Liga,1.45,1.24,50.5
177,177,Lech Poznan,UEFA Europa Conference League,1.38,1.18,50.35
178,173,Anderlecht,Belgian Jupiler League,1.39,1.2,50.28
179,180,Rostov,Russian Premier Liga,1.56,1.36,50.28
180,181,Santos,Brasileiro Série A,1.27,1.07,50.19
181,187,Atlas,Mexican Primera Division Torneo Clausura,1.44,1.26,50.02
182,182,Rosenborg,Norwegian Tippeligaen,1.94,1.77,49.94
183,183,Montpellier,French Ligue 1,1.48,1.32,49.65
184,186,Botafogo,Brasileiro Série A,1.23,1.07,49.52
185,174,Angers,French Ligue 1,1.39,1.24,49.37
186,188,Maccabi Haifa,UEFA Champions League,1.69,1.54,49.35
187,189,FC Sheriff Tiraspol,UEFA Europa League,1.48,1.34,49.26
188,190,Hapoel Be'er,UEFA Europa Conference League,1.49,1.34,49.22
189,196,Cremonese,Italy Serie A,1.46,1.33,48.93
190,185,Troyes,French Ligue 1,1.53,1.4,48.79
191,192,Rapid Vienna,Austrian T-Mobile Bundesliga,1.43,1.3,48.79
192,193,FK Qarabag,UEFA Europa League,1.43,1.31,48.59
193,195,Sampdoria,Italy Serie A,1.33,1.21,48.38
194,191,Spezia,Italy Serie A,1.43,1.32,48.26
195,197,Argentinos Juniors,Argentina Primera Division,1.2,1.08,48.2
196,198,Bragantino,Brasileiro Série A,1.4,1.29,48.17
197,199,FC Nordsjaelland,Danish SAS-Ligaen,1.39,1.29,48.13
198,201,LASK Linz,Austrian T-Mobile Bundesliga,1.57,1.48,47.92
199,165,Heerenveen,Dutch Eredivisie,1.41,1.32,47.9
200,202,Luton Town,English League Championship,1.27,1.17,47.88
201,200,Go Ahead Eagles,Dutch Eredivisie,1.57,1.49,47.78
202,203,FC Krasnodar,Russian Premier Liga,1.47,1.39,47.74
203,194,Watford,English League Championship,1.26,1.17,47.56
204,218,Boavista,Portuguese Liga,1.26,1.2,47.15
205,204,Hearts,Scottish Premiership,1.48,1.43,47.14
206,206,FC Arouca,Portuguese Liga,1.25,1.19,46.99
207,222,RKC,Dutch Eredivisie,1.55,1.52,46.82
208,208,Sochi,Russian Premier Liga,1.41,1.37,46.68
209,212,Auxerre,French Ligue 1,1.3,1.26,46.57
210,209,Rio Ave,Portuguese Liga,1.21,1.18,46.29
211,213,FC Cincinnati,Major League Soccer,1.64,1.63,46.27
212,214,Stoke City,English League Championship,1.23,1.21,46.12
213,217,Huracán,Argentina Primera Division,1.11,1.08,46.05
214,211,Levante,Spanish Segunda Division,1.19,1.17,45.88
215,219,Silkeborg,Danish SAS-Ligaen,1.57,1.58,45.75
216,220,Ceará,Brasileiro Série A,1.14,1.12,45.73
217,216,Chaves,Portuguese Liga,1.31,1.31,45.72
218,221,Los Angeles Galaxy,Major League Soccer,1.61,1.63,45.65
219,210,St Gallen,Swiss Raiffeisen Super League,1.67,1.7,45.63
220,215,Metz,French Ligue 2,1.33,1.34,45.61
221,235,KVC Westerlo,Belgian Jupiler League,1.51,1.54,45.59
222,207,Portimonense,Portuguese Liga,1.29,1.29,45.55
223,254,Bordeaux,French Ligue 2,1.23,1.23,45.54
