index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games
1,1,Balogun,ARS,4,4.5,0.223,2.84,0.0,0.0,0.0
2,2,Cédric,ARS,2,4.0,0.0,0.0,0.0,0.0,0.0
3,3,M.Elneny,ARS,3,4.5,0.0,0.0,0.0,0.0,0.0
4,4,Fábio Vieira,ARS,3,5.5,0.422,5.21,0.0,0.0,0.0
5,5,Gabriel,ARS,2,5.0,4.365,91.44,1.0,4.0,1.0
6,6,Havertz,ARS,3,7.5,4.759,72.3,2.0,90.0,1.0
7,7,Holding,ARS,2,4.5,0.0,0.0,0.0,0.0,0.0
8,8,G.Jesus,ARS,4,8.0,0.0,0.0,0.0,0.0,0.0
9,9,Jorginho,ARS,3,5.5,0.7140000000000001,16.37,0.0,0.0,0.0
10,10,Kiwior,ARS,2,4.5,0.436,10.31,0.0,0.0,0.0
11,11,Marquinhos,ARS,3,4.5,0.0,0.0,0.0,0.0,0.0
12,12,Martinelli,ARS,3,8.0,5.0760000000000005,71.98,5.0,85.0,1.0
13,13,Nketiah,ARS,4,5.5,0.921,12.95,8.0,72.0,1.0
14,14,Ødegaard,ARS,3,8.5,5.207999999999998,84.32,2.0,90.0,1.0
15,15,Thomas,ARS,3,5.0,2.569,70.96,2.0,90.0,1.0
16,16,Pepe,ARS,3,5.0,0.0,0.0,0.0,0.0,0.0
17,17,Ramsdale,ARS,1,5.0,4.0710000000000015,91.08,2.0,90.0,1.0
18,18,Rúnarsson,ARS,1,4.0,0.0,0.0,0.0,0.0,0.0
19,19,Saka,ARS,3,8.5,6.322,88.07,10.0,90.0,1.0
20,20,Saliba,ARS,2,5.0,4.352,94.45,5.0,90.0,1.0
21,21,Sambi,ARS,3,5.0,0.0,0.0,0.0,0.0,0.0
22,22,Smith Rowe,ARS,3,5.5,1.019,14.28,0.0,0.0,0.0
23,23,Tavares,ARS,2,4.0,0.0,0.0,0.0,0.0,0.0
24,24,Tierney,ARS,2,4.5,0.262,5.48,0.0,0.0,0.0
25,25,Tomiyasu,ARS,2,4.5,0.545,11.29,1.0,40.0,1.0
26,26,Trossard,ARS,3,7.0,3.397,50.56,1.0,17.0,1.0
27,27,Trusty,SHU,2,4.0,1.39,41.54,0.0,0.0,0.0
28,28,Turner,NFO,1,4.0,2.094,63.65,2.0,90.0,1.0
29,29,White,ARS,2,5.5,4.259,85.45,1.0,90.0,1.0
30,30,Xhaka,ARS,3,6.0,0.0,0.0,0.0,0.0,0.0
31,31,Zinchenko,ARS,2,5.0,0.813,15.35,0.0,0.0,0.0
32,32,Alex Moreno,AVL,2,5.0,0.0,0.0,0.0,0.0,0.0
33,33,Archer,AVL,4,4.5,1.403,27.12,0.0,0.0,0.0
34,34,Bailey,AVL,3,5.5,2.502,55.75,1.0,45.0,1.0
