,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2754,5,0.0,0.0,Fábio Vieira,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,683,310,682,310,680,308,683,310,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,138,83,676,305,682,310,633,278,0.0,0.0
1,100.0,100.0,205651,0,0,-2,2,0,4,1.8,1.8,1,Gabriel,0.8,2,False,,2024-08-25T11:00:05.312580Z,68,205651.jpg,0.8,Fernando de Jesus,0.9,False,,a,1,3,9,62177,492,228970,978,0.1,1.3,G.Jesus,30.0,243,0,0,1,2,0,0,0,4,0,0,0,36,26.6,63.6,82.0,17.1,2,0.87,0.12,0.99,2.44,377,37,225,28,169,33,294,32,,,,,,,0.32,0.0,0.04,0.36,0.9,0.74,32,15,296,37,458,49,216,37,0.74,0.37
2,75.0,75.0,226597,0,0,2,-2,2,2,3.3,3.3,0,Gabriel,3.4,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.9,False,,d,1,3,60,2866830,22016,1818480,87879,0.5,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.50,2.26,12.50,46,14,215,55,58,2,84,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,75,19,30,4,13,5,1.08,0.33
3,100.0,100.0,219847,0,0,-1,1,1,4,3.8,3.8,5,Kai,2.8,4,False,,2024-11-07T09:00:07.112803Z,79,219847.jpg,4.2,Havertz,10.1,False,,a,1,3,59,2146367,11253,2608482,15012,0.4,7.5,Havertz,80.0,1243,5,2,4,15,0,0,0,2,0,0,7,208,280.8,162.0,437.0,88.0,14,5.75,1.16,6.91,13.83,72,12,108,9,10,4,29,7,,,,,3.0,,0.42,0.0,0.08,0.5,1.0,1.09,13,5,111,21,38,14,37,9,1.01,0.29
4,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,Hein,0.0,False,,u,1,3,0,0,0,3944,26,0.0,0.0,Hein,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,511,58,490,36,455,27,513,58,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,638,63,439,50,514,58,556,68,0.0,0.0
5,100.0,100.0,445122,0,0,1,-1,1,2,6.0,6.0,2,Jurriën,5.0,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.5,False,,a,1,3,47,727418,47704,256260,5225,0.9,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.03,167,66,97,19,103,9,126,32,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,103,11,19,6,69,14,70,25,1.04,0.35
6,,,85955,0,0,-3,3,0,3,2.0,2.0,2,Jorge Luiz,1.0,7,False,,,47,85955.jpg,1.3,Frello Filho,0.2,False,,a,1,3,9,22546,439,37782,308,0.2,1.9,Jorginho,106.0,363,0,0,1,4,0,0,0,3,0,0,0,55,25.4,45.7,3.0,7.4,5,0.04,0.29,0.33,2.90,378,175,272,167,378,202,360,179,,,,,,,0.01,0.0,0.07,0.08,0.72,0.99,323,211,260,131,346,165,337,112,1.24,0.25
7,,,440854,0,0,-2,2,0,2,3.0,3.0,2,Jakub,2.0,8,False,,,48,440854.jpg,1.6,Kiwior,0.2,False,,a,1,3,13,12541,1128,19360,243,0.4,2.7,Kiwior,172.0,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.6,0.0,6.3,2,0.00,0.03,0.03,4.43,336,116,345,111,639,228,376,124,,,,,,,0.0,0.0,0.01,0.01,1.23,1.39,315,38,160,44,305,97,378,136,0.56,0.28
8,100.0,100.0,444145,0,0,-2,2,1,3,3.2,3.2,0,Gabriel,2.2,9,False,,2024-10-18T16:00:06.884775Z,68,444145.jpg,3.8,Martinelli Silva,2.7,False,,a,1,3,50,627158,3542,683139,9394,0.3,7.4,Martinelli,30.0,778,3,2,4,9,0,0,0,1,0,0,4,157,207.0,172.7,300.0,68.0,9,2.18,1.86,4.04,8.78,133,48,92,70,35,20,60,38,,,,,,,0.25,0.0,0.22,0.47,1.02,1.04,35,18,151,77,62,29,112,33,1.04,0.46
9,,,499175,0,0,0,0,0,3,2.6,2.6,1,Ethan,1.6,12,False,,,45,499175.jpg,1.6,Nwaneri,0.4,False,,a,1,3,13,67878,1371,47562,1436,0.4,2.9,Nwaneri,241.0,76,1,0,0,0,0,0,0,0,0,0,0,49,52.6,29.2,41.0,12.3,0,0.15,0.19,0.34,0.71,334,159,303,178,248,139,321,158,,,,,,,0.18,0.0,0.22,0.4,0.84,0.0,427,259,198,98,299,137,271,87,0.0,0.0
