,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2796,4,0.0,0.0,Fábio Vieira,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,723,322,723,323,720,321,723,322,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,133,80,710,317,724,323,661,285,0.0,0.0
1,True,True,0.0,0.0,205651,0,0,-3,3,2,4,0.0,0.0,0,Gabriel,3.2,2,False,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,67,205651.jpg,2.5,False,Fernando de Jesus,1.9,False,,i,1,3,42,1237320,108,1310815,43571,0.5,6.3,G.Jesus,30.0,2022-07-04,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,258,24,201,25,77,25,183,25,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,36,18,88,12,198,24,139,21,0.9,0.3
2,True,True,100.0,100.0,226597,0,0,4,-4,2,2,2.9,2.9,1,Gabriel,2.4,3,False,,2024-11-27T10:30:06.325759Z,64,226597.jpg,4.2,False,dos Santos Magalhães,28.6,False,,a,1,3,85,4068530,66781,2512789,92814,0.4,13.3,Gabriel,30.0,2020-09-01,1718,3,2,6,19,0,0,0,3,0,0,7,315,462.4,156.5,260.0,88.0,20,2.45,1.00,3.45,17.97,42,13,161,35,74,3,85,12,,,,,,,0.13,0.0,0.05,0.18,0.94,1.0,49,3,143,41,44,4,9,3,1.05,0.31
3,True,True,100.0,100.0,219847,0,0,-2,2,1,4,3.5,3.5,7,Kai,3.0,4,False,,2025-01-02T08:00:08.350130Z,78,219847.jpg,4.3,False,Havertz,7.9,False,,a,1,3,82,2475617,22320,3175747,14452,0.4,10.5,Havertz,80.0,2023-06-28,1660,8,2,6,19,0,0,0,4,0,0,11,302,404.4,240.9,630.0,127.6,19,8.37,1.38,9.75,17.45,65,8,104,8,9,5,27,6,,,,,3.0,,0.45,0.0,0.07,0.52,0.95,1.03,13,5,101,14,41,11,44,11,1.03,0.33
4,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,False,Hein,0.0,False,,u,1,3,0,0,0,4368,16,0.0,0.0,Hein,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,540,63,521,43,485,30,540,63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,647,58,452,54,547,63,579,69,0.0,0.0
5,True,True,100.0,100.0,445122,-1,1,1,-1,2,2,3.1,3.1,1,Jurriën,2.6,6,False,,2025-01-12T22:00:07.815228Z,56,445122.jpg,3.5,False,Timber,4.8,False,,a,1,3,67,1189547,14209,799501,30058,0.5,12.0,J.Timber,152.0,2023-07-14,1575,1,1,6,15,0,0,0,5,0,0,5,253,256.8,214.8,172.0,64.1,18,0.71,0.99,1.70,13.96,170,64,120,24,125,11,133,32,,,,,,,0.04,0.0,0.06,0.1,0.8,0.86,99,10,122,38,88,19,77,26,1.03,0.34
6,True,True,100.0,100.0,85955,0,0,-3,3,0,3,1.1,1.1,0,Jorge Luiz,0.6,7,False,,2025-01-12T22:00:07.826638Z,47,85955.jpg,1.3,False,Frello Filho,0.2,False,,a,1,3,13,28121,272,45138,506,0.1,2.8,Jorginho,106.0,2023-01-31,456,0,0,1,5,0,0,0,3,0,0,0,82,35.8,64.7,3.0,10.4,6,0.04,0.47,0.51,4.27,396,179,275,169,417,219,382,185,,,,,,,0.01,0.0,0.09,0.1,0.84,0.99,325,209,313,155,370,174,335,106,1.18,0.2
7,True,True,,,440854,0,0,-2,2,0,2,0.5,0.5,0,Jakub,0.0,8,False,,,48,440854.jpg,1.6,False,Kiwior,0.2,False,,a,1,3,13,24694,146,34443,376,0.0,2.7,Kiwior,172.0,2023-01-23,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.00,0.03,0.03,4.45,377,131,388,134,681,247,409,136,,,,,,,0.0,0.0,0.01,0.01,1.24,1.39,314,39,659,241,326,108,372,131,0.56,0.28
8,True,True,100.0,100.0,444145,0,0,-3,3,1,3,4.7,4.7,7,Gabriel,4.2,9,False,,2024-10-18T16:00:06.884775Z,67,444145.jpg,4.0,False,Martinelli Silva,3.7,False,,a,1,3,81,1067972,17086,1022236,12956,0.6,12.1,Martinelli,30.0,2019-07-15,1276,6,2,6,14,0,0,0,1,0,0,6,263,360.2,321.7,545.0,122.6,14,3.87,2.88,6.75,13.20,103,35,66,51,25,13,33,23,,,,,,,0.27,0.0,0.2,0.47,0.93,0.99,38,19,51,22,55,26,95,31,0.99,0.42
9,True,True,100.0,0.0,499175,0,0,0,0,0,3,2.1,0.0,0,Ethan,1.6,12,False,,2025-01-04T22:00:06.872110Z,45,499175.jpg,1.9,False,Nwaneri,0.4,False,,a,1,3,23,115461,798,100517,3840,0.4,5.1,Nwaneri,241.0,2022-09-17,230,2,0,0,1,0,0,0,1,0,0,1,84,97.0,66.8,69.0,23.3,2,0.30,0.41,0.71,1.59,324,150,270,165,243,136,310,156,,,,,,,0.12,0.0,0.16,0.28,0.62,0.39,423,261,196,90,271,118,278,86,0.78,0.0
10,True,True,100.0,100.0,184029,0,0,-2,2,0,3,3.7,3.7,2,Martin,3.2,13,False,,2024-09-10T00:30:06.311550Z,83,184029.jpg,3.6,False,Ødegaard,5.3,False,,a,1,3,54,850156,7215,1887787,21477,0.4,6.5,Ødegaard,161.0,2021-08-20,1198,1,3,6,10,0,0,0,1,0,0,6,242,243.6,495.4,258.0,100.0,14,2.98,3.29,6.27,9.78,184,74,26,21,76,49,64,42,3.0,,1.0,,2.0,,0.22,0.0,0.25,0.47,0.73,0.75,11,8,90,43,82,37,71,21,1.05,0.45
11,True,True,100.0,100.0,154561,0,0,1,-1,1,1,3.3,3.3,1,David,2.8,15,False,,2024-09-25T21:30:06.211210Z,56,154561.jpg,3.7,False,Raya Martin,28.5,False,,a,1,3,81,2552899,15972,2344754,76137,0.5,14.5,Raya,200.0,2024-07-04,1980,0,0,7,21,0,0,0,2,0,52,6,300,452.8,0.0,0.0,45.3,22,0.00,0.01,0.01,19.65,46,12,728,76,727,76,212,12,,,,,,,0.0,2.36,0.0,0.0,0.89,0.95,96,1,107,11,75,9,10,1,1.0,0.32
12,True,True,100.0,100.0,204480,0,0,-3,3,0,3,2.9,2.9,2,Declan,2.4,16,False,,2024-12-14T22:30:07.561621Z,62,204480.jpg,2.8,False,Rice,2.6,False,,a,1,3,56,231985,3289,632415,5754,0.4,9.0,Rice,241.0,2023-07-15,1559,1,3,5,19,0,0,0,3,1,0,6,331,348.2,527.1,173.0,104.3,18,1.43,3.56,4.99,14.58,109,39,22,18,123,83,54,35,2.0,,2.0,,,,0.08,0.0,0.21,0.29,0.84,1.1,58,35,141,70,156,66,117,38,1.04,0.29
13,True,True,0.0,0.0,223340,0,0,2,-2,4,3,0.0,0.0,0,Bukayo,0.0,17,False,Hamstring injury - Expected back 08 Mar,2024-12-21T21:30:07.668871Z,102,223340.jpg,6.7,False,Saka,9.5,False,,i,1,3,107,5221214,426,7582386,21591,0.0,10.5,Saka,241.0,2018-11-28,1268,5,11,6,13,0,0,0,3,0,0,16,435,516.2,630.0,604.0,174.9,16,4.17,5.60,9.77,10.52,21,7,9,8,13,7,7,5,1.0,,,,1.0,,0.3,0.0,0.4,0.7,0.75,0.92,4,3,730,328,4,3,37,9,1.14,0.43
14,True,True,50.0,100.0,462424,-1,1,2,-2,2,2,1.6,3.1,0,William,2.6,18,False,Hamstring injury - 50% chance of playing,2025-01-18T23:00:07.959087Z,62,462424.jpg,3.8,False,Saliba,25.4,False,,d,1,3,76,2148418,3109,3656655,272313,0.4,12.3,Saliba,73.0,2019-07-25,1739,2,0,7,17,0,0,0,2,1,0,6,322,396.4,78.2,89.0,56.6,20,1.88,0.80,2.68,15.97,70,25,258,72,208,52,160,46,,,,,,,0.1,0.0,0.04,0.14,0.83,0.88,67,4,124,39,68,12,14,6,1.04,0.36
15,True,True,100.0,100.0,167199,0,0,0,0,0,3,2.9,2.9,2,Thomas,2.4,20,False,,2024-11-30T22:00:07.258906Z,50,167199.jpg,3.1,False,Partey,0.8,False,,a,1,3,65,270631,1078,246916,2356,0.5,13.0,Thomas,81.0,2020-10-05,1671,2,3,4,19,0,0,0,2,0,0,5,351,369.6,237.8,126.0,73.6,18,1.45,1.55,3.00,17.79,90,31,107,78,165,104,109,66,,,,,,,0.08,0.0,0.08,0.16,0.96,1.02,198,121,134,63,119,55,227,69,0.97,0.22
16,True,True,100.0,100.0,192895,0,0,-2,2,0,2,0.7,0.7,0,Kieran,0.2,21,False,,2024-08-12T14:30:04.394338Z,43,192895.jpg,1.0,False,Tierney,0.0,False,,a,1,3,1,3428,141,6182,141,0.0,0.2,Tierney,243.0,2019-08-08,13,0,0,0,0,0,0,0,0,0,0,0,7,2.2,10.5,2.0,1.5,0,0.00,0.23,0.23,0.21,483,169,399,137,423,153,471,163,,,,,,,0.0,0.0,1.59,1.59,1.45,0.0,559,124,380,134,424,150,543,194,0.0,0.0
17,True,True,0.0,0.0,223723,0,0,-2,2,0,2,0.0,0.0,0,Tomiyasu,0.0,22,False,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,223723.jpg,1.0,False,Takehiro,0.0,False,,i,1,3,1,1588,22,7636,28,0.0,0.2,Tomiyasu,108.0,2021-08-31,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.00,0.18,0.04,495,175,464,170,380,132,478,167,,,,,,,2.7,0.0,0.0,2.7,0.6,0.0,302,34,655,240,455,157,556,196,0.0,0.0
18,True,True,100.0,100.0,116216,0,0,-2,2,1,3,6.1,6.1,10,Leandro,5.6,23,False,,2024-11-21T08:30:08.540890Z,68,116216.jpg,3.6,False,Trossard,2.2,False,,a,1,3,80,506967,45796,533584,4980,0.8,11.8,Trossard,21.0,2023-01-20,1278,4,5,5,15,0,0,0,1,1,0,10,298,342.6,330.4,398.0,107.0,14,3.23,2.22,5.45,10.93,114,43,63,48,42,25,51,32,4.0,,,,4.0,,0.23,0.0,0.16,0.39,0.77,1.06,31,15,23,15,81,36,129,43,0.99,0.35
19,True,True,0.0,0.0,198869,0,0,-4,4,0,2,0.0,0.0,0,Benjamin,0.0,24,False,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61,198869.jpg,3.0,False,White,2.1,False,,i,1,3,27,145878,66,978142,1809,0.0,4.4,White,241.0,2021-07-30,694,0,1,3,7,0,0,0,2,0,0,0,112,128.4,55.3,29.0,21.3,7,0.13,0.32,0.45,9.87,287,105,294,85,315,104,324,109,,,,,,,0.02,0.0,0.04,0.06,1.28,0.91,71,5,719,247,133,36,130,50,0.91,0.39
20,True,True,100.0,100.0,206325,0,0,-2,2,0,2,0.9,0.9,0,Oleksandr,0.4,25,False,,2024-12-09T09:30:06.099861Z,48,206325.jpg,2.1,False,Zinchenko,0.9,False,,a,1,3,17,90545,407,308502,774,0.1,3.5,Zinchenko,225.0,2022-07-22,238,0,0,2,0,0,0,0,1,0,0,0,66,22.2,26.5,23.0,7.2,2,0.06,0.08,0.14,1.82,420,149,345,113,332,111,402,132,,,,,,,0.02,0.0,0.03,0.05,0.69,0.0,298,33,352,116,247,82,214,83,0.76,0.76
21,True,True,100.0,100.0,69752,0,0,-4,4,0,1,0.5,0.5,0,Norberto,0.0,73,False,,2024-10-05T17:30:06.760449Z,41,69752.jpg,3.5,False,Murara Neto,0.8,False,,a,1,3,7,86902,266,245444,846,0.0,1.7,Neto,30.0,2024-08-30,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,2,0.00,0.00,0.00,2.91,349,32,565,51,535,39,396,32,,,,,,,0.0,5.5,0.0,0.0,1.46,1.0,602,40,500,62,83,12,225,32,1.0,0.0
22,True,True,100.0,100.0,103955,0,0,-3,3,0,3,0.9,0.9,0,Raheem,0.4,186,False,,2024-12-21T21:30:08.006504Z,67,103955.jpg,1.4,False,Sterling,0.8,False,,a,1,3,11,48358,273,155353,564,0.1,1.6,Sterling,241.0,2024-08-30,212,0,1,0,2,0,0,0,1,0,0,0,29,35.4,45.6,79.0,15.8,3,0.88,0.14,1.02,1.90,399,181,305,180,223,127,354,174,,,3.0,,,,0.37,0.0,0.06,0.43,0.81,0.85,35,17,361,178,362,169,218,65,1.27,0.0
