,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2818,0,0.0,0.0,Fábio Vieira,,,,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,779,335,779,335,776,334,779,335,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,134,82,758,324,777,335,711,295,0.0,0.0
1,True,True,0.0,0.0,205651,0,0,-5,5,2,4,0.0,0.0,0,Gabriel,0.0,2,False,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,65,205651.jpg,2.5,False,Fernando de Jesus,1.1,False,,i,1,3,42,1237807,0,1404407,34,0.0,6.5,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,297,27,236,26,101,30,224,29,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,42,19,777,80,201,27,202,33,0.9,0.3
2,True,True,100.0,100.0,226597,0,0,4,-4,2,2,3.9,3.4,0,Gabriel,3.4,3,False,,2024-11-27T10:30:06.325759Z,64,226597.jpg,4.3,False,dos Santos Magalhães,30.2,False,,a,1,3,111,4798693,2002,3065809,864,0.5,17.3,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,2258,3,2,9,22,0,0,0,3,0,0,9,431,565.8,207.7,287.0,106.2,26,2.70,1.20,3.90,22.73,0,0,0,0,0,0,0,46,16,159,33,88,3,91,17,,,,,,,0.11,0.0,0.05,0.16,0.91,0.88,50,3,88,20,37,2,8,1,1.04,0.36
3,True,True,0.0,0.0,219847,0,0,-3,3,1,4,0.0,0.0,0,Kai,0.0,4,False,Hamstring injury - Expected back 01 Jun,2025-02-12T09:00:08.755570Z,77,219847.jpg,4.6,False,Havertz,6.0,False,,i,1,3,96,2589001,4,3503958,119,0.0,12.5,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,257.0,701.0,142.6,21,9.39,1.63,11.02,19.00,0,0,0,0,0,0,0,93,12,124,11,16,9,46,10,,,,,3.0,,0.46,0.0,0.08,0.54,0.93,0.98,13,4,784,85,26,11,62,13,1.03,0.34
4,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,False,Hein,0.0,False,,u,1,3,0,0,0,4509,0,0.0,0.0,Hein,,,,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,592,67,576,51,538,35,592,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,664,56,459,56,596,67,627,70,0.0,0.0
5,True,True,100.0,100.0,445122,0,0,1,-1,2,2,4.3,3.8,0,Jurriën,3.8,6,False,,2025-01-12T22:00:07.815228Z,56,445122.jpg,3.7,False,Timber,4.8,False,,a,1,3,92,1366504,633,985327,239,0.7,16.4,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,2109,1,2,9,18,0,0,0,7,0,0,5,355,339.2,268.0,219.0,82.5,24,0.75,1.17,1.92,18.62,0,0,0,0,0,0,0,164,61,118,24,120,10,126,29,,,,,,,0.03,0.0,0.05,0.08,0.79,0.77,103,10,66,14,76,12,78,26,1.02,0.38
6,True,True,100.0,100.0,85955,0,0,-3,3,0,3,1.1,0.6,0,Jorge Luiz,0.6,7,False,,2025-01-12T22:00:07.826638Z,47,85955.jpg,1.3,False,Frello Filho,0.2,False,,a,1,3,16,30366,4,48686,3,0.1,3.4,Jorginho,106.0,2023-01-31,1991-12-20,False,p85955,540,0,0,2,5,0,0,0,4,0,0,0,88,37.4,69.8,5.0,11.3,7,0.04,0.51,0.55,4.50,0,0,0,0,0,0,0,420,190,295,179,437,226,401,193,,,,,,,0.01,0.0,0.08,0.09,0.75,0.83,326,211,312,146,397,192,353,112,1.17,0.33
7,True,True,,,440854,0,0,-2,2,0,2,0.5,0.0,0,Jakub,0.0,8,False,,,48,440854.jpg,1.6,False,Kiwior,0.2,False,,a,1,3,13,26375,2,37291,3,0.0,2.7,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.00,0.03,0.03,4.45,0,0,0,0,0,0,0,406,144,421,147,741,259,442,152,,,,,,,0.0,0.0,0.01,0.01,1.24,1.39,317,40,701,254,353,114,390,138,0.56,0.28
8,True,True,100.0,100.0,444145,0,0,-5,5,1,3,0.7,0.2,0,Gabriel,0.2,9,False,,2025-02-06T00:00:08.092348Z,65,444145.jpg,3.9,False,Martinelli Silva,1.9,False,,a,1,3,90,1127098,96,1274509,33,0.0,13.8,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,1484,6,3,7,15,0,0,0,1,0,0,6,282,392.8,362.2,600.0,135.5,16,4.41,3.03,7.44,16.00,0,0,0,0,0,0,0,137,51,78,61,31,18,51,35,,,,,,,0.27,0.0,0.18,0.45,0.97,0.91,45,24,397,188,60,31,142,48,0.97,0.42
9,True,True,100.0,100.0,499175,0,0,1,-1,0,3,3.5,3.0,0,Ethan,3.0,12,False,,2025-01-04T22:00:06.872110Z,46,499175.jpg,2.5,False,Nwaneri,4.4,False,,a,1,3,45,676615,306,209963,522,0.7,9.8,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,584,3,1,2,3,0,0,0,1,0,0,4,172,197.2,160.0,163.0,52.0,7,0.82,1.20,2.02,3.85,0,0,0,0,0,0,0,258,118,188,124,162,102,225,114,,,,,,,0.13,0.0,0.18,0.31,0.59,0.46,358,232,109,42,194,81,83,27,1.08,0.31
10,True,True,100.0,100.0,184029,0,0,-3,3,0,3,2.7,2.2,0,Martin,2.2,13,False,,2024-09-10T00:30:06.311550Z,82,184029.jpg,3.5,False,Ødegaard,5.1,False,,a,1,3,71,1001299,282,2065103,238,0.3,8.7,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,1635,2,3,8,13,0,0,0,2,0,0,7,336,332.6,655.7,339.0,133.0,19,3.67,4.98,8.65,13.70,0,0,0,0,0,0,0,168,67,20,16,73,49,53,36,3.0,,1.0,,2.0,,0.2,0.0,0.27,0.47,0.75,0.72,11,8,160,65,93,44,71,20,1.05,0.44
11,True,True,100.0,100.0,154561,0,0,0,0,2,1,4.1,3.6,0,David,3.6,15,False,,2025-01-30T11:00:08.979724Z,55,154561.jpg,4.0,False,Raya Martin,26.0,False,,a,1,3,111,2847520,594,2917385,505,0.7,20.2,Raya,200.0,2024-07-04,1995-09-15,False,p154561,2520,0,0,10,24,0,0,0,2,0,69,9,421,591.6,0.5,0.0,59.3,28,0.00,0.01,0.01,24.41,0,0,0,0,0,0,0,38,11,489,16,779,81,200,11,,,,,,,0.0,2.46,0.0,0.0,0.87,0.86,108,2,74,9,50,6,11,1,1.0,0.36
