,ID,Points,Minutes,sim
0,3,6,90,1
1,4,3,90,1
2,6,6,90,1
3,9,11,90,1
4,10,7,90,1
5,11,2,90,1
6,14,1,90,1
7,15,6,90,1
8,16,3,90,1
9,17,5,90,1
10,19,2,90,1
11,20,3,90,1
12,23,8,90,1
13,24,6,90,1
14,28,2,90,1
15,29,2,90,1
16,36,2,90,1
17,44,2,90,1
18,45,2,90,1
19,47,2,90,1
20,53,2,90,1
21,54,17,90,1
22,57,8,90,1
23,58,6,90,1
24,63,6,90,1
25,64,2,90,1
26,70,1,90,1
27,71,10,90,1
28,78,7,90,1
29,79,3,90,1
30,81,1,90,1
31,82,6,90,1
32,83,5,90,1
33,85,1,90,1
34,86,6,90,1
35,88,6,90,1
36,89,5,90,1
37,91,6,90,1
38,94,3,90,1
39,99,3,90,1
40,101,4,90,1
41,104,9,90,1
42,105,6,90,1
43,115,2,90,1
44,117,10,90,1
45,120,1,90,1
46,122,1,90,1
47,126,2,90,1
48,136,3,90,1
49,145,1,90,1
50,146,1,90,1
51,147,1,90,1
52,148,4,90,1
53,149,2,90,1
54,152,1,90,1
55,157,2,90,1
56,162,1,90,1
57,163,1,90,1
58,168,3,90,1
59,171,4,90,1
60,174,2,90,1
61,177,2,90,1
62,180,4,90,1
63,181,2,90,1
64,185,1,90,1
65,188,2,90,1
66,189,1,90,1
67,191,-1,90,1
68,192,12,90,1
69,199,2,90,1
70,200,2,90,1
71,201,2,90,1
72,204,2,90,1
73,205,2,90,1
74,207,9,90,1
75,210,2,90,1
76,211,2,90,1
77,216,2,90,1
78,219,2,90,1
79,220,2,90,1
80,222,7,90,1
81,224,5,90,1
82,230,2,90,1
83,231,2,90,1
84,232,4,90,1
85,233,5,90,1
86,235,5,90,1
87,236,2,90,1
88,238,2,90,1
89,239,2,90,1
90,240,5,90,1
91,241,-1,90,1
92,247,3,90,1
93,248,-1,90,1
94,251,10,90,1
95,255,-1,90,1
96,257,2,90,1
97,264,2,90,1
98,267,4,90,1
99,268,6,90,1
100,270,4,90,1
101,275,1,90,1
102,278,10,90,1
103,282,1,90,1
104,291,1,90,1
105,293,1,90,1
106,298,5,90,1
107,301,1,90,1
108,302,1,90,1
109,306,2,90,1
110,307,1,90,1
111,309,2,90,1
112,310,2,90,1
113,311,2,90,1
114,313,2,90,1
115,314,8,90,1
116,316,6,90,1
117,317,2,90,1
118,321,2,90,1
119,326,3,90,1
120,327,2,90,1
121,328,4,90,1
122,329,5,90,1
123,333,2,90,1
124,338,6,90,1
125,342,7,90,1
126,346,4,90,1
127,347,1,90,1
128,348,10,90,1
129,349,18,90,1
130,350,1,90,1
131,351,12,90,1
132,354,5,90,1
133,359,2,90,1
134,361,1,90,1
135,363,7,90,1
136,369,1,90,1
137,372,2,90,1
138,375,2,90,1
139,378,2,90,1
140,380,2,90,1
141,383,1,90,1
142,385,2,90,1
143,388,1,90,1
144,389,6,90,1
145,391,2,90,1
146,392,7,90,1
147,394,2,90,1
148,395,2,90,1
149,398,2,90,1
150,399,2,90,1
151,402,5,90,1
152,403,2,90,1
153,413,2,90,1
154,417,2,90,1
155,422,6,90,1
156,424,10,90,1
157,433,3,90,1
158,434,3,90,1
159,436,6,90,1
160,437,9,90,1
161,443,6,90,1
162,452,2,90,1
163,461,1,90,1
164,474,1,90,1
165,475,1,90,1
166,476,1,90,1
167,482,3,90,1
168,491,8,90,1
169,494,3,90,1
170,495,9,90,1
171,498,6,90,1
172,504,6,90,1
173,505,6,90,1
174,506,6,90,1
175,508,9,90,1
176,509,14,90,1
177,511,2,90,1
178,513,1,90,1
179,514,5,90,1
180,518,2,90,1
181,520,1,90,1
182,524,1,90,1
183,525,7,90,1
184,527,11,90,1
185,530,2,90,1
186,531,3,90,1
187,533,2,90,1
188,535,2,90,1
189,542,2,90,1
190,550,2,90,1
191,553,2,90,1
192,557,2,90,1
193,559,5,90,1
194,566,2,90,1
195,567,2,90,1
196,568,1,90,1
197,571,7,90,1
198,573,6,90,1
199,577,3,90,1
200,578,6,90,1
201,584,2,90,1
202,585,2,90,1
203,588,2,90,1
204,590,2,90,1
205,591,1,90,1
206,593,1,90,1
207,594,1,90,1
208,596,6,90,1
209,600,2,90,1
210,608,2,90,1
211,617,2,90,1
212,623,2,90,1
213,630,1,90,1
214,631,4,90,1
215,635,2,90,1
216,650,2,90,1
217,652,2,90,1
218,10145,6,90,1
219,10149,2,90,1
0,3,2,90,2
1,4,2,90,2
2,6,3,90,2
3,7,5,90,2
4,10,5,90,2
5,11,6,90,2
6,14,0,90,2
7,15,4,90,2
8,16,7,90,2
9,17,10,90,2
10,18,5,90,2
11,20,5,90,2
12,23,15,90,2
13,29,3,90,2
14,35,6,90,2
15,36,9,90,2
16,44,6,90,2
17,45,6,90,2
18,47,6,90,2
19,52,6,90,2
20,54,5,90,2
21,57,8,90,2
22,58,5,90,2
23,63,2,90,2
24,64,2,90,2
25,70,2,90,2
26,71,2,90,2
27,74,2,90,2
28,77,2,90,2
29,78,2,90,2
30,80,2,90,2
31,82,5,90,2
32,85,2,90,2
33,86,6,90,2
34,88,6,90,2
35,89,3,90,2
36,91,6,90,2
37,94,3,90,2
38,98,3,90,2
39,99,6,90,2
40,101,3,90,2
41,104,8,90,2
42,115,2,90,2
43,117,3,90,2
44,120,2,90,2
45,121,7,90,2
46,122,2,90,2
47,123,6,90,2
48,126,2,90,2
49,136,8,90,2
50,146,2,90,2
51,148,2,90,2
52,149,2,90,2
53,152,2,90,2
54,157,3,90,2
55,162,7,90,2
56,163,8,90,2
57,171,12,90,2
58,177,13,90,2
59,180,10,90,2
60,182,16,90,2
61,185,6,90,2
62,188,2,90,2
63,189,9,90,2
64,191,2,90,2
65,192,6,90,2
66,198,8,90,2
67,199,7,90,2
68,200,1,90,2
69,201,1,90,2
70,203,2,90,2
71,204,6,90,2
72,207,2,90,2
73,211,1,90,2
74,215,1,90,2
75,216,6,90,2
76,217,2,90,2
77,219,1,90,2
78,222,3,90,2
79,226,2,90,2
80,230,2,90,2
81,231,3,90,2
82,232,2,90,2
83,235,1,90,2
84,236,1,90,2
85,238,1,90,2
86,239,7,90,2
87,241,2,90,2
88,247,2,90,2
89,248,2,90,2
90,249,2,90,2
91,251,2,90,2
92,252,6,90,2
93,255,2,90,2
94,257,2,90,2
95,265,2,90,2
96,267,0,90,2
97,268,2,90,2
98,270,0,90,2
99,272,2,90,2
100,274,2,90,2
101,278,2,90,2
102,282,0,90,2
103,291,6,90,2
104,293,6,90,2
105,295,6,90,2
106,300,4,90,2
107,301,6,90,2
108,306,2,90,2
109,309,3,90,2
110,310,1,90,2
111,311,7,90,2
112,314,3,90,2
113,316,2,90,2
114,317,9,90,2
115,323,5,90,2
116,326,1,90,2
117,328,5,90,2
118,329,2,90,2
119,335,1,90,2
120,336,5,90,2
121,338,6,90,2
122,339,1,90,2
123,340,1,90,2
124,342,2,90,2
125,347,4,90,2
126,348,3,90,2
127,349,2,90,2
128,350,1,90,2
129,351,4,90,2
130,354,7,90,2
131,356,5,90,2
132,361,1,90,2
133,364,2,90,2
134,366,2,90,2
135,369,3,90,2
136,372,2,90,2
137,376,2,90,2
138,380,2,90,2
139,383,2,90,2
140,385,2,90,2
141,386,3,90,2
142,388,9,90,2
143,389,2,90,2
144,392,16,90,2
145,394,3,90,2
146,395,6,90,2
147,397,2,90,2
148,398,6,90,2
149,403,3,90,2
150,404,6,90,2
151,413,6,90,2
152,415,6,90,2
153,417,3,90,2
154,418,6,90,2
155,422,-1,90,2
156,423,2,90,2
157,433,2,90,2
158,434,2,90,2
159,436,-1,90,2
160,443,-1,90,2
161,447,2,90,2
162,455,0,90,2
163,474,3,90,2
164,476,0,90,2
165,491,2,90,2
166,492,2,90,2
167,494,2,90,2
168,495,2,90,2
169,498,3,90,2
170,499,2,90,2
171,504,1,90,2
172,506,1,90,2
173,508,1,90,2
174,509,7,90,2
175,513,6,90,2
176,514,14,90,2
177,515,2,90,2
178,517,9,90,2
179,518,2,90,2
180,520,6,90,2
181,524,6,90,2
182,525,11,90,2
183,527,17,90,2
184,530,8,90,2
185,531,2,90,2
186,535,3,90,2
187,542,6,90,2
188,543,6,90,2
189,548,3,90,2
190,557,3,90,2
191,559,6,90,2
192,560,9,90,2
193,563,3,90,2
194,566,2,90,2
195,567,7,90,2
196,568,2,90,2
197,569,3,90,2
198,573,-1,90,2
199,577,5,90,2
200,578,2,90,2
201,584,2,90,2
202,585,2,90,2
203,588,3,90,2
204,590,6,90,2
205,591,6,90,2
206,592,2,90,2
207,593,2,90,2
208,594,2,90,2
209,596,2,90,2
210,600,2,90,2
211,608,7,90,2
212,620,2,90,2
213,623,2,90,2
214,625,2,90,2
215,630,0,90,2
216,632,2,90,2
217,635,3,90,2
218,650,1,90,2
219,10149,3,90,2
0,2,6,90,3
1,3,6,90,3
2,4,9,90,3
3,9,3,90,3
4,11,6,90,3
5,14,3,90,3
6,15,6,90,3
7,16,13,90,3
8,18,6,90,3
9,19,2,90,3
10,20,3,90,3
11,23,10,90,3
12,26,5,90,3
13,27,2,90,3
14,28,6,90,3
15,35,7,90,3
16,36,12,90,3
17,44,6,90,3
18,47,6,90,3
19,52,6,90,3
20,54,8,90,3
21,57,3,90,3
22,58,4,90,3
23,63,2,90,3
24,64,2,90,3
25,70,4,90,3
26,71,2,90,3
27,74,2,90,3
28,79,1,90,3
29,81,4,90,3
30,82,4,90,3
31,83,7,90,3
32,85,3,90,3
33,86,1,90,3
34,88,1,90,3
35,89,2,90,3
36,91,1,90,3
37,94,2,90,3
38,98,2,90,3
39,99,10,90,3
40,101,5,90,3
41,104,3,90,3
42,105,1,90,3
43,106,3,90,3
44,113,8,90,3
45,115,3,90,3
46,120,6,90,3
47,122,6,90,3
48,126,3,90,3
49,136,3,90,3
50,145,9,90,3
51,146,6,90,3
52,149,13,90,3
53,152,1,90,3
54,157,2,90,3
55,162,1,90,3
56,163,4,90,3
57,168,2,90,3
58,171,4,90,3
59,174,2,90,3
60,180,2,90,3
61,182,8,90,3
62,185,3,90,3
63,186,4,90,3
64,189,1,90,3
65,191,1,90,3
66,199,3,90,3
67,200,9,90,3
68,201,7,90,3
69,203,3,90,3
70,204,2,90,3
71,205,11,90,3
72,207,6,90,3
73,210,6,90,3
74,211,6,90,3
75,216,6,90,3
76,217,5,90,3
77,219,2,90,3
78,220,2,90,3
79,222,2,90,3
80,230,2,90,3
81,231,2,90,3
82,233,3,90,3
83,235,2,90,3
84,236,3,90,3
85,238,2,90,3
86,239,8,90,3
87,240,5,90,3
88,247,2,90,3
89,248,1,90,3
90,249,2,90,3
91,252,9,90,3
92,255,1,90,3
93,257,7,90,3
94,265,2,90,3
95,267,2,90,3
96,268,2,90,3
97,270,2,90,3
98,277,2,90,3
99,278,2,90,3
100,282,2,90,3
101,288,2,90,3
102,291,2,90,3
103,293,2,90,3
104,295,2,90,3
105,296,2,90,3
106,298,5,90,3
107,300,5,90,3
108,306,2,90,3
109,309,3,90,3
110,310,1,90,3
111,311,1,90,3
112,320,2,90,3
113,323,2,90,3
114,324,2,90,3
115,326,1,90,3
116,327,4,90,3
117,328,2,90,3
118,329,2,90,3
119,337,1,90,3
120,339,4,90,3
121,340,4,90,3
122,346,7,90,3
123,347,1,90,3
124,348,4,90,3
125,349,10,90,3
126,350,1,90,3
127,351,2,90,3
128,359,2,90,3
129,362,1,90,3
130,363,1,90,3
131,364,2,90,3
132,366,2,90,3
133,369,1,90,3
134,372,2,90,3
135,377,1,90,3
136,378,2,90,3
137,380,1,90,3
138,383,4,90,3
139,385,2,90,3
140,388,6,90,3
141,389,2,90,3
142,394,2,90,3
143,398,2,90,3
