,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
0,True,True,,,154561,0,0,4,-4,1,1,4.4,4.4,6,David,3.4,1,False,,,59,154561.jpg,4.2,False,Raya Martín,33.5,False,,a,1,3,92,3404352,16438,1847741,27751,0.6,15.6,Raya,200.0,2024-07-04,1995-09-15,False,p154561,1980,0,0,11,14,0,0,0,1,0,32,4,371,326.4,20.3,0.0,34.7,18,175,1,0,22,0.00,0.04,0.04,15.77,,,,,,,[],108,16,370,3,788,91,264,16,0.0,1.45,0.0,0.0,0.72,0.64,93,1,107,11,58,4,6,1,1.0,0.5,0.0
1,True,True,,,109745,0,0,-4,4,0,1,1.0,1.0,0,Kepa,0.0,2,False,,,41,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.4,False,,a,1,3,0,12687,138,72730,224,0.0,0.0,Arrizabalaga,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],600,81,595,70,562,55,604,81,0.0,0.0,0.0,0.0,0.0,0.0,640,38,529,76,611,81,270,36,0.0,0.0,0.0
2,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,False,Hein,0.2,False,,u,1,3,0,5545,0,46831,76,0.0,0.0,Hein,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],560,71,555,60,520,45,563,71,0.0,0.0,0.0,0.0,0.0,0.0,669,53,486,66,571,71,357,52,0.0,0.0,0.0
3,True,True,,,551221,0,0,-1,1,0,1,1.0,1.0,0,Tommy,0.0,4,False,,,39,551221.jpg,0.0,False,Setford,0.2,False,,a,1,3,0,31946,96,28376,327,0.0,0.0,Setford,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],531,56,524,43,487,28,534,56,0.0,0.0,0.0,0.0,0.0,0.0,756,87,457,51,541,56,339,47,0.0,0.0,0.0
4,True,True,100.0,100.0,226597,0,0,8,-8,4,2,8.8,8.8,8,Gabriel,7.8,5,True,,2025-11-17T12:00:07.436586Z,68,226597.jpg,7.5,False,dos Santos Magalhães,35.4,False,,a,1,3,120,6872324,107276,4936357,6372,1.1,17.6,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,1355,3,2,10,7,0,0,0,1,0,0,18,390,463.2,74.6,163.0,69.9,115,22,15,130,15,1.70,0.77,2.47,9.29,,,,,,,[],36,16,258,77,123,21,102,31,0.11,0.0,0.05,0.16,0.62,0.46,45,1,1,1,1,1,5,2,1.0,0.66,8.63
5,True,True,100.0,100.0,462424,0,0,0,0,0,2,5.0,5.0,8,William,4.0,6,False,,2025-11-30T22:30:08.957329Z,60,462424.jpg,3.8,False,Saliba,12.1,False,,a,1,3,69,1432373,19009,1913960,7018,0.7,11.5,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,1444,0,0,8,9,0,0,0,0,0,0,4,316,286.6,75.0,30.0,39.2,78,68,20,98,17,0.38,0.46,0.84,10.95,,,,,,,[],144,61,257,76,327,106,239,82,0.02,0.0,0.03,0.05,0.68,0.56,86,4,66,25,91,34,35,11,1.06,0.5,6.11
6,True,True,0.0,0.0,466075,0,0,1,-1,2,2,0.0,0.0,0,Riccardo,0.0,7,False,Muscle injury - Unknown return date,2025-12-27T22:00:11.031357Z,56,466075.jpg,4.8,False,Calafiori,6.3,False,,i,1,3,77,2530621,85,2330032,14132,0.0,13.8,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,1256,1,2,9,7,0,0,0,5,0,0,4,287,222.0,104.8,219.0,54.5,57,57,28,85,16,2.49,0.36,2.85,7.09,,,,,,,[],193,77,207,54,78,6,167,54,0.18,0.0,0.03,0.21,0.51,0.5,132,14,777,261,24,12,65,22,1.15,0.64,6.09
7,True,True,100.0,100.0,445122,0,0,8,-8,2,2,5.6,5.6,5,Jurriën,4.6,8,True,,2025-12-27T22:00:11.070756Z,63,445122.jpg,5.2,False,Timber,28.1,False,,a,1,3,109,5625265,41431,2817473,29550,0.7,17.3,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,1729,2,4,10,12,0,0,0,3,0,0,7,391,375.4,279.4,321.0,97.9,60,67,46,106,19,4.16,0.87,5.03,11.56,,,,,,,[],82,37,71,14,45,1,47,5,0.22,0.0,0.05,0.27,0.6,0.62,69,2,40,17,12,5,11,4,0.99,0.52,5.52
8,True,False,0.0,0.0,440854,0,0,-1,1,0,2,0.0,0.0,0,Jakub,0.0,9,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,False,Kiwior,0.0,False,,u,1,3,0,1119,0,10824,3,0.0,0.0,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],780,262,779,262,775,261,780,262,0.0,0.0,0.0,0.0,0.0,0.0,171,21,763,260,780,262,576,209,0.0,0.0,0.0
9,True,True,,,499169,0,0,-4,4,0,2,1.6,1.6,0,Myles,0.6,10,False,,,51,499169.jpg,0.9,False,Lewis-Skelly,1.5,False,,a,1,3,12,128524,439,448720,1386,0.1,2.4,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,311,0,0,0,5,0,0,0,3,0,0,0,36,31.2,45.5,18.0,9.4,10,14,4,14,1,0.05,0.06,0.11,5.26,,,,,,,[],407,155,321,108,363,127,395,142,0.01,0.0,0.02,0.03,1.52,1.45,238,37,322,120,484,167,156,60,0.29,0.0,4.05
10,True,True,100.0,100.0,198869,0,0,-4,4,1,2,2.4,2.4,6,Benjamin,1.4,11,False,,2025-12-13T23:30:11.163639Z,51,198869.jpg,4.8,False,White,0.6,False,,a,1,3,29,333966,2526,378631,692,0.3,5.7,White,241.0,2021-07-30,1997-10-08,False,p198869,377,0,1,3,3,0,0,0,0,0,0,3,110,100.8,91.7,44.0,23.6,19,18,12,31,5,0.43,0.47,0.90,5.86,,,,,,,[],314,120,227,65,298,95,317,107,0.1,0.0,0.11,0.21,1.4,0.72,228,33,247,90,22,10,238,89,1.19,0.72,7.4
11,True,True,,,563324,0,0,-2,2,0,2,1.0,1.0,0,Brayden,0.0,13,False,,,38,563324.jpg,0.0,False,Clarke,0.5,False,,a,1,3,0,49669,249,71880,493,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],498,188,490,189,452,179,501,188,0.0,0.0,0.0,0.0,0.0,0.0,794,258,423,165,508,188,257,98,0.0,0.0,0.0
12,True,False,0.0,0.0,588793,0,0,-1,1,0,2,0.0,0.0,0,Maldini,0.0,14,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,False,Kacurri,0.1,False,,u,1,3,0,10218,0,22232,27,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],536,199,529,200,492,191,539,199,0.0,0.0,0.0,0.0,0.0,0.0,761,226,462,177,546,199,469,170,0.0,0.0,0.0
13,True,True,,,499167,0,0,-2,2,0,2,1.0,1.0,0,Josh,0.0,15,False,,,38,499167.jpg,0.0,False,Nichols,0.2,False,,a,1,3,0,16872,53,24321,104,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],491,181,482,181,443,170,494,181,0.0,0.0,0.0,0.0,0.0,0.0,783,247,415,157,501,181,384,140,0.0,0.0,0.0
14,True,True,100.0,100.0,223340,-1,1,1,-1,1,3,5.2,5.2,1,Bukayo,4.2,16,False,,2025-08-23T22:30:05.759392Z,101,223340.jpg,5.0,False,Saka,18.6,False,,a,1,3,99,3897836,7106,3484304,116930,0.4,9.8,Saka,241.0,2018-11-28,2001-09-05,False,p223340,1453,4,7,8,9,0,0,0,1,0,0,10,375,402.6,582.6,531.0,151.7,8,76,26,110,16,5.51,4.68,10.19,9.24,2.0,,,,1.0,,[],62,17,6,6,10,4,6,4,0.34,0.0,0.29,0.63,0.57,0.56,5,3,61,26,17,9,19,7,0.99,0.5,6.81
15,True,True,100.0,100.0,184029,0,0,-2,2,1,3,6.2,6.2,1,Martin,5.2,17,False,,2025-10-04T20:00:07.945438Z,78,184029.jpg,3.1,False,Ødegaard,2.4,False,,a,1,3,49,354261,2839,509681,11389,0.7,6.3,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,926,1,3,4,8,0,0,0,0,0,0,5,208,221.0,388.5,130.0,74.0,13,44,14,71,12,0.87,2.59,3.46,10.91,4.0,,,,3.0,,[],194,83,31,30,157,93,93,55,0.08,0.0,0.25,0.33,1.06,0.78,17,12,22,10,179,77,118,39,1.17,0.39,6.9
16,True,True,100.0,100.0,248857,0,0,-2,2,0,3,2.0,2.0,1,Noni,1.0,18,False,,2025-09-21T22:30:05.839272Z,68,248857.jpg,1.6,False,Madueke,0.7,False,,a,1,3,21,211497,340,281001,740,0.1,3.1,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,561,0,0,3,5,0,0,0,0,0,0,0,85,73.0,190.2,195.0,45.8,9,15,7,31,7,0.60,1.61,2.21,7.11,3.0,,,,,,[],350,155,122,88,96,57,206,105,0.1,0.0,0.26,0.36,1.14,0.8,46,28,291,132,378,171,222,78,1.12,0.48,4.97
17,True,True,100.0,100.0,444145,0,0,-2,2,0,3,2.4,2.4,1,Gabriel,1.4,19,False,,2025-12-24T02:30:10.584394Z,68,444145.jpg,1.7,False,Martinelli Silva,0.9,False,,a,1,3,29,138873,942,220292,885,0.2,4.3,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,545,1,1,2,3,0,0,0,2,0,0,1,89,78.6,71.4,207.0,35.2,6,21,7,34,7,2.57,0.23,2.80,5.56,,,,,,,[],342,152,265,157,89,54,263,130,0.42,0.0,0.04,0.46,0.92,0.5,47,29,258,114,366,161,195,66,1.16,0.33,5.61
18,True,True,100.0,100.0,116216,0,0,-1,1,2,3,4.8,4.8,1,Leandro,3.8,20,False,,2025-11-27T10:00:06.582480Z,69,116216.jpg,4.5,False,Trossard,1.6,False,,a,1,3,81,439162,2684,297851,12051,0.6,11.7,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,1173,5,4,6,9,0,0,0,1,0,0,9,278,336.8,324.9,351.0,101.4,13,45,14,72,12,4.17,2.05,6.22,8.38,,,,,4.0,,[],102,34,49,42,35,21,41,31,0.32,0.0,0.16,0.48,0.64,0.69,41,25,80,38,42,20,151,50,0.92,0.46,5.52
19,True,True,100.0,100.0,204480,1,-1,9,-9,4,3,6.6,6.6,3,Declan,5.6,21,True,,2025-12-30T16:00:11.463587Z,74,204480.jpg,6.0,False,Rice,29.9,False,,a,1,3,125,5428571,101875,2779252,24554,0.8,16.9,Rice,241.0,2023-07-15,1999-01-14,False,p204480,1785,4,7,10,13,0,0,0,1,0,0,18,515,575.4,631.5,231.0,143.9,78,101,37,216,20,2.78,4.22,7.00,12.30,1.0,,1.0,,,,[],12,3,4,4,73,46,10,8,0.14,0.0,0.21,0.35,0.62,0.66,23,16,16,8,6,3,9,3,1.01,0.5,10.89
20,True,True,,,195384,0,0,-4,4,1,3,2.2,2.2,1,Mikel,1.2,22,False,,,56,195384.jpg,3.0,False,Merino Zazón,1.5,False,,a,1,3,59,823767,891,733598,7918,0.2,10.5,Merino,200.0,2024-08-27,1996-06-22,False,p195384,964,3,3,4,8,0,0,0,1,0,0,4,212,265.6,185.7,193.0,64.2,27,52,25,104,10,2.50,1.43,3.93,6.32,,,,,,,[],168,64,130,93,99,59,127,67,0.23,0.0,0.13,0.36,0.59,0.75,129,80,272,120,192,82,154,52,0.93,0.37,9.71
21,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,933,0,4388,2,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],779,343,778,343,774,342,779,343,0.0,0.0,0.0,0.0,0.0,0.0,170,106,762,333,779,343,670,276,0.0,0.0,0.0
22,True,True,100.0,100.0,128295,0,0,-4,4,0,3,1.2,1.2,0,Christian,0.2,24,False,,2025-08-18T08:00:05.297235Z,51,128295.jpg,1.0,False,Nørgaard,0.1,False,,a,1,3,3,6401,66,59754,80,0.0,0.6,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,31,0,0,0,1,0,0,0,0,0,0,0,11,14.6,0.4,7.0,2.3,5,3,0,8,0,0.05,0.00,0.05,2.16,,,,,,,[],431,194,454,222,399,197,445,203,0.15,0.0,0.0,0.15,6.27,2.9,225,138,392,180,471,222,425,142,0.0,0.0,23.23
