,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
0,True,True,,,154561,0,0,0,0,10.7,156,"[{'offset': 0, 'projected_percent': '11.3', 'likelihood': 1}, {'offset': 1, 'projected_percent': '13.5', 'likelihood': 1}, {'offset': 2, 'projected_percent': '15.6', 'likelihood': 1}]",,False,0,1,3.0,3.0,0,David,3.0,1,False,,,60,154561.jpg,6.0,False,Raya Martín,38.3,False,,a,1,3,6,121586,14852,95872,13894,0.5,1.0,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,90,0,0,1,0,0,0,0,0,0,1,0,24,11.8,0.0,0.0,1.2,1,8,0,0,1,0.00,0.00,0.00,0.20,,,,,,,[],,144,19,594,68,585,68,231,19,0.0,1.0,0.0,0.0,0.2,0.0,61,1,78,6,55,5,6,1,1.0,1.0,0.0
1,True,True,,,109745,0,0,0,0,-70.7,1,"[{'offset': 0, 'projected_percent': '-70.3', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-69.1', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-67.9', 'likelihood': -3}]",,False,0,1,0.0,0.0,0,Kepa,0.0,2,False,,,50,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.1,False,,a,1,3,0,393,71,1497,108,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,441,63,448,52,389,52,457,63,0.0,0.0,0.0,0.0,0.0,0.0,237,9,471,63,471,63,445,49,0.0,0.0,0.0
2,True,True,,,437495,0,0,0,0,-63.3,-4,"[{'offset': 0, 'projected_percent': '-68.3', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-85.5', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-102.8', 'likelihood': -5}]",,False,0,1,0.0,0.0,0,Illan,0.0,3,False,,,50,437495.jpg,0.0,False,Meslier,0.0,False,,a,1,3,0,119,18,531,39,0.0,0.0,Meslier,,73.0,2026-07-09,2000-03-02,False,p437495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,480,66,490,59,443,59,496,66,0.0,0.0,0.0,0.0,0.0,0.0,303,16,505,66,505,66,527,57,0.0,0.0,0.0
3,True,True,,,226597,0,0,0,0,-10.8,-531,"[{'offset': 0, 'projected_percent': '-11.6', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-14.2', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-16.9', 'likelihood': -1}]",,False,0,2,2.5,2.5,0,Gabriel,2.5,4,False,,,80,226597.jpg,5.0,False,dos Santos Magalhães,28.8,False,,a,1,3,5,63943,5178,151889,27781,0.3,0.6,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,90,0,0,1,0,0,0,0,1,0,0,0,21,6.6,1.8,1.0,0.9,4,2,0,4,1,0.05,0.01,0.06,0.20,,,,,,,[],,196,87,193,59,194,66,240,90,0.05,0.0,0.01,0.06,0.2,0.0,7,1,103,37,75,29,8,2,1.0,1.0,4.0
4,True,True,0.0,0.0,445122,0,0,0,0,-59.2,-12,"[{'offset': 0, 'projected_percent': '-61.1', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-67.4', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-73.8', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,Jurriën,0.0,5,False,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,65,445122.jpg,0.0,False,Timber,0.1,False,,i,1,3,0,473,72,3464,360,0.0,0.0,J.Timber,Jurriën Timber,152.0,2023-07-14,2001-06-17,False,p445122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,610,207,612,207,610,207,612,207,0.0,0.0,0.0,0.0,0.0,0.0,41,3,608,205,608,205,422,149,0.0,0.0,0.0
5,True,True,0.0,0.0,462424,0,0,0,0,-50.9,-20,"[{'offset': 0, 'projected_percent': '-52.1', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-56.1', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-60.1', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,William,0.0,6,False,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,462424.jpg,0.0,False,Saliba,0.3,False,,i,1,3,0,1067,221,7691,875,0.0,0.0,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,596,206,599,206,592,206,599,206,0.0,0.0,0.0,0.0,0.0,0.0,87,9,597,204,597,204,313,117,0.0,0.0,0.0
6,True,True,,,499169,0,0,0,0,1.0,4,"[{'offset': 0, 'projected_percent': '1.0', 'likelihood': 1}, {'offset': 1, 'projected_percent': '1.1', 'likelihood': 1}, {'offset': 2, 'projected_percent': '1.1', 'likelihood': 1}]",,False,0,3,1.5,1.5,0,Myles,1.5,7,False,,,55,499169.jpg,3.0,False,Lewis-Skelly,0.7,False,,a,1,3,3,10654,961,10065,1014,0.3,0.5,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,90,0,0,1,0,0,0,0,0,0,0,0,15,11.0,22.9,7.0,4.1,1,5,1,7,1,0.06,0.11,0.17,0.20,,,,,,,[],,155,54,54,35,112,59,101,52,0.06,0.0,0.11,0.17,0.2,0.0,193,121,139,61,100,43,225,75,1.0,1.0,7.0
7,True,True,,,466075,0,0,1,-1,10.6,582,"[{'offset': 0, 'projected_percent': '12.9', 'likelihood': 1}, {'offset': 1, 'projected_percent': '20.9', 'likelihood': 2}, {'offset': 2, 'projected_percent': '29.0', 'likelihood': 2}]",,False,0,2,4.5,4.5,0,Riccardo,4.5,8,False,,,56,466075.jpg,9.0,False,Calafiori,41.7,False,,a,1,3,9,333937,23832,49876,8243,0.8,1.6,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,80,0,1,1,0,0,0,0,0,0,0,0,31,26.0,12.2,4.0,4.2,4,1,1,5,1,0.04,0.09,0.13,0.06,,,,,,,[],,62,24,105,31,137,45,98,34,0.04,0.0,0.1,0.14,0.07,0.0,113,11,45,16,20,7,5,1,1.12,1.12,5.62
8,True,True,,,448104,0,0,-1,1,-9.8,-80,"[{'offset': 0, 'projected_percent': '-12.1', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-20.0', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-27.9', 'likelihood': -2}]",,False,0,2,0.5,0.5,0,Piero,0.5,9,False,,,54,448104.jpg,1.0,False,Hincapié,1.5,False,,a,1,3,1,4698,788,43346,2300,0.1,0.2,Hincapie,,62.0,2026-07-01,2002-01-09,False,p448104,9,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.15,,,,,,,[],,273,102,252,91,514,192,290,102,0.0,0.0,0.0,0.0,1.5,0.0,222,33,277,101,265,99,162,65,0.0,0.0,0.0
9,True,True,100.0,100.0,198869,0,0,0,0,51.3,183,"[{'offset': 0, 'projected_percent': '52.0', 'likelihood': 3}, {'offset': 1, 'projected_percent': '54.6', 'likelihood': 3}, {'offset': 2, 'projected_percent': '57.1', 'likelihood': 3}]",,False,0,2,5.5,5.5,0,Benjamin,5.5,10,False,,2026-07-23T12:01:23.305229Z,55,198869.jpg,11.0,False,White,6.9,False,,a,1,3,11,156518,11577,33582,8527,1.0,2.0,White,,241.0,2021-07-30,1997-10-08,False,p198869,90,0,1,1,0,0,0,0,0,0,0,2,37,33.2,26.8,13.0,7.3,4,3,1,5,1,0.18,0.21,0.39,0.20,,,,,,,[],,42,15,38,11,76,21,41,11,0.18,0.0,0.21,0.39,0.2,0.0,133,14,26,11,7,3,58,24,1.0,1.0,5.0
10,True,True,,,500040,0,0,0,0,-28.0,-103,"[{'offset': 0, 'projected_percent': '-28.8', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-31.4', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-34.1', 'likelihood': -2}]",,False,0,2,3.0,3.0,0,Cristhian,3.0,11,False,,,55,500040.jpg,6.0,False,Mosquera,5.6,False,,a,1,3,6,16855,1445,53604,7655,0.5,1.1,Mosquera,,200.0,2025-07-24,2004-06-27,False,p500040,90,0,0,1,0,0,0,0,0,0,0,0,27,14.4,0.6,0.0,1.5,6,3,0,6,1,0.00,0.00,0.00,0.20,,,,,,,[],,119,55,246,89,567,200,210,82,0.0,0.0,0.0,0.0,0.2,0.0,195,27,77,30,54,23,65,26,1.0,1.0,6.0
11,True,True,,,223340,0,0,0,0,17.4,-195,"[{'offset': 0, 'projected_percent': '16.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '14.0', 'likelihood': 1}, {'offset': 2, 'projected_percent': '11.3', 'likelihood': 1}]",,False,0,3,4.5,4.5,0,Bukayo,4.5,12,False,,,95,223340.jpg,9.0,False,Saka,10.4,False,,a,1,3,9,93577,4664,42973,7743,0.5,0.9,Saka,,241.0,2018-11-28,2001-09-05,False,p223340,67,1,0,1,0,0,0,0,0,0,0,1,36,42.8,26.1,33.0,10.2,2,4,1,7,1,0.64,0.08,0.72,0.06,2.0,,2.0,,1.0,,[],,21,11,43,29,25,12,12,9,0.86,0.0,0.11,0.97,0.08,0.0,4,3,48,23,23,11,38,15,1.34,1.34,9.4
12,True,True,,,204480,0,0,0,0,-38.7,-540,"[{'offset': 0, 'projected_percent': '-40.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-44.7', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-49.4', 'likelihood': -3}]",,False,0,3,1.5,1.5,0,Declan,1.5,13,False,,,75,204480.jpg,3.0,False,Rice,16.6,False,,a,1,3,3,38283,2796,179932,22210,0.2,0.4,Rice,,241.0,2023-07-15,1999-01-14,False,p204480,67,0,0,1,0,0,0,0,0,0,0,0,10,6.8,6.4,2.0,1.5,3,3,0,6,1,0.07,0.08,0.15,0.06,1.0,,1.0,,,,[],,193,77,136,80,187,95,213,96,0.09,0.0,0.11,0.2,0.08,0.0,15,9,149,67,108,50,23,8,1.34,1.34,8.06
13,True,True,,,232413,-1,1,-1,1,-2.2,-68,"[{'offset': 0, 'projected_percent': '-3.2', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-6.5', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-9.9', 'likelihood': -1}]",,False,0,3,0.5,0.5,0,Eberechi,0.5,14,False,,,64,232413.jpg,1.0,False,Eze,1.7,False,,a,1,3,1,6856,1140,47849,3357,0.1,0.2,Eze,,241.0,2025-08-23,1998-06-29,False,p232413,14,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.8,1.0,0.1,0,2,0,2,0,0.04,0.00,0.04,0.15,,,3.0,,,,[],,606,265,192,112,193,99,294,140,0.26,0.0,0.0,0.26,0.96,0.0,53,37,310,150,304,149,143,42,0.0,0.0,12.86
