,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
523,25,519,Clucas,3,16,Swansea,80,47,15
567,25,15,Walcott,3,7,Everton,11,66,15
179,25,227,Can,3,10,Liverpool,14,49,14
339,25,252,De Bruyne,3,11,Man City,43,103,14
446,25,38,Aké,2,2,Bournemouth,91,50,14
87,25,48,Wilson,4,2,Bournemouth,91,56,12
330,25,42,Stanislas,3,2,Bournemouth,91,57,12
344,25,382,Trippier,2,17,Spurs,6,52,12
452,25,469,Pope,1,4,Burnley,90,50,11
103,25,387,Eriksen,3,17,Spurs,6,97,10
195,25,250,Fernandinho,3,11,Man City,43,50,10
258,25,290,Lascelles,2,13,Newcastle,4,49,10
392,25,450,Noble,3,20,West Ham,21,53,10
465,25,536,Karnezis,1,18,Watford,57,45,10
489,25,247,Sterling,3,11,Man City,43,91,10
102,25,134,Benteke,4,6,Crystal Palace,31,75,8
217,25,71,Murray,4,3,Brighton,36,59,8
252,25,313,Stephens,2,14,Southampton,20,45,8
267,25,317,Ward-Prowse,3,14,Southampton,20,49,8
310,25,373,Jordan Ayew,4,16,Swansea,80,54,8
431,25,234,Salah,3,10,Liverpool,14,106,8
441,25,10,Monreal,2,1,Arsenal,3,57,8
502,25,110,Kenedy,3,13,Newcastle,4,48,8
503,25,235,Firmino,4,10,Liverpool,14,95,8
517,25,330,Shawcross,2,15,Stoke,110,48,8
60,25,29,Begovic,1,2,Bournemouth,91,45,7
158,25,215,Lovren,2,10,Liverpool,14,53,7
238,25,375,Lloris,1,17,Spurs,6,55,7
247,25,328,Butland,1,15,Stoke,110,50,7
269,25,209,Vardy,4,9,Leicester,13,88,7
271,25,380,Vertonghen,2,17,Spurs,6,61,7
420,25,146,Keane,2,7,Everton,11,53,7
13,25,405,Mariappa,2,18,Watford,57,41,6
38,25,475,Robertson,2,10,Liverpool,14,50,6
62,25,612,Laporte,2,11,Man City,43,51,6
70,25,381,Davies,2,17,Spurs,6,58,6
97,25,34,Daniels,2,2,Bournemouth,91,47,6
151,25,520,Sánchez,2,17,Spurs,6,60,6
171,25,240,Ederson,1,11,Man City,43,57,6
263,25,222,Milner,2,10,Liverpool,14,60,6
292,25,219,Matip,2,10,Liverpool,14,54,6
313,25,45,Ibe,3,2,Bournemouth,91,46,6
348,25,99,Zouma,2,15,Stoke,110,54,6
353,25,379,Walker,2,11,Man City,43,66,6
368,25,214,Karius,1,10,Liverpool,14,49,6
453,25,245,Otamendi,2,11,Man City,43,64,6
518,25,230,Mané,3,10,Liverpool,14,94,6
537,25,400,Prödl,2,18,Watford,57,43,6
539,25,257,Agüero,4,11,Man City,43,115,6
546,25,32,Francis,2,2,Bournemouth,91,43,6
558,25,33,Steve Cook,2,2,Bournemouth,91,46,6
30,25,357,Mawson,2,16,Swansea,80,51,5
41,25,131,Townsend,3,6,Crystal Palace,31,56,5
65,25,388,Alli,3,17,Spurs,6,90,5
186,25,332,Pieters,2,15,Stoke,110,47,5
225,25,359,Sigurdsson,3,7,Everton,11,80,5
275,25,487,Chicharito,4,20,West Ham,21,67,5
324,25,401,Holebas,2,18,Watford,57,48,5
434,25,594,Bauer,2,15,Stoke,110,45,5
416,25,16,Özil,3,1,Arsenal,3,93,4
550,25,66,March,3,3,Brighton,36,48,4
598,25,206,Ndidi,3,9,Leicester,13,49,4
71,25,421,Foster,1,19,West Brom,35,43,3
78,25,256,Bernardo Silva,3,11,Man City,43,72,3
101,25,300,Atsu,3,13,Newcastle,4,48,3
141,25,43,Gosling,3,2,Bournemouth,91,48,3
182,25,497,Choupo-Moting,3,15,Stoke,110,52,3
184,25,384,Dier,3,17,Spurs,6,47,3
189,25,409,Capoue,3,18,Watford,57,48,3
215,25,609,Deulofeu,3,18,Watford,57,55,3
236,25,390,Son,3,17,Spurs,6,83,3
295,25,337,Allen,3,15,Stoke,110,51,3
311,25,225,Henderson,3,10,Liverpool,14,53,3
365,25,46,Lewis Cook,3,2,Bournemouth,91,43,3
371,25,350,Fabianski,1,16,Swansea,80,47,3
458,25,551,Zinchenko,3,11,Man City,43,50,3
499,25,501,Richarlison,3,18,Watford,57,58,3
516,25,47,Fraser,3,2,Bournemouth,91,51,3
605,25,342,Shaqiri,3,15,Stoke,110,61,3
0,25,443,Cresswell,2,20,West Ham,21,49,2
2,25,172,Mooy,3,8,Huddersfield,38,52,2
4,25,18,Ramsey,3,1,Arsenal,3,68,2
7,25,414,Doucouré,3,18,Watford,57,52,2
15,25,438,Adrián,1,20,West Ham,21,40,2
24,25,14,Sánchez,3,12,Man Utd,1,114,2
25,25,21,Iwobi,3,1,Arsenal,3,51,2
26,25,305,McCarthy,1,14,Southampton,20,44,2
46,25,444,Ogbonna,2,20,West Ham,21,42,2
49,25,280,Martial,3,12,Man Utd,1,78,2
63,25,302,Pérez,4,13,Newcastle,4,55,2
74,25,77,Mee,2,4,Burnley,90,49,2
100,25,451,Kouyaté,3,20,West Ham,21,50,2
123,25,464,Martina,2,7,Everton,11,41,2
124,25,310,Cédric,2,14,Southampton,20,47,2
127,25,63,Stephens,3,3,Brighton,36,45,2
147,25,260,De Gea,1,12,Man Utd,1,59,2
153,25,490,Pröpper,3,3,Brighton,36,53,2
170,25,104,Hazard,3,5,Chelsea,8,105,2
190,25,538,Schelotto,2,3,Brighton,36,44,2
192,25,354,Fernández,2,16,Swansea,80,45,2
210,25,59,Bong,2,3,Brighton,36,44,2
221,25,23,Xhaka,3,1,Arsenal,3,51,2
230,25,394,Kane,4,17,Spurs,6,131,2
241,25,155,Gueye,3,7,Everton,11,48,2
249,25,90,Cork,3,4,Burnley,90,45,2
259,25,441,Collins,2,20,West Ham,21,43,2
260,25,127,McArthur,3,6,Crystal Palace,31,44,2
279,25,437,Rodriguez,4,19,West Brom,35,54,2
282,25,86,Hendrick,3,4,Burnley,90,54,2
286,25,279,Lingard,3,12,Man Utd,1,60,2
299,25,84,Gudmundsson,3,4,Burnley,90,50,2
302,25,163,Lössl,1,8,Huddersfield,38,46,2
303,25,174,Hogg,3,8,Huddersfield,38,44,2
312,25,135,Pickford,1,7,Everton,11,49,2
323,25,517,Izquierdo,3,3,Brighton,36,59,2
325,25,608,João Mário,3,20,West Ham,21,60,2
350,25,352,Naughton,2,16,Swansea,80,46,2
366,25,55,Dunk,2,3,Brighton,36,45,2
400,25,54,Ryan,1,3,Brighton,36,46,2
406,25,474,James,3,9,Leicester,13,44,2
427,25,356,van der Hoorn,2,16,Swansea,80,44,2
429,25,298,Diamé,3,13,Newcastle,4,46,2
436,25,385,Dembélé,3,17,Spurs,6,49,2
439,25,111,Kanté,3,5,Chelsea,8,49,2
447,25,366,Dyer,3,16,Swansea,80,44,2
451,25,107,Matic,3,12,Man Utd,1,47,2
467,25,548,Niasse,4,7,Everton,11,46,2
468,25,447,Zabaleta,2,20,West Ham,21,49,2
470,25,70,Groß,3,3,Brighton,36,59,2
471,25,124,van Aanholt,2,6,Crystal Palace,31,52,2
473,25,291,Dummett,2,13,Newcastle,4,42,2
474,25,282,Pogba,3,12,Man Utd,1,79,2
477,25,109,Pedro,3,5,Chelsea,8,77,2
