,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
579,362,19,Lucas Moura,3,Spurs,Spurs,6,59,17
12,22,19,Saka,3,Arsenal,Arsenal,3,67,16
180,123,19,Jorginho,3,Chelsea,Chelsea,8,57,15
295,213,19,Iheanacho,4,Leicester,Leicester,13,70,15
367,255,19,Sterling,3,Man City,Man City,43,105,14
6,16,19,Tierney,2,Arsenal,Arsenal,3,49,13
530,341,19,Ward-Prowse,3,Southampton,Southampton,20,64,13
0,6,19,Lacazette,4,Arsenal,Arsenal,3,81,11
901,588,19,Emerson Royal,2,Spurs,Spurs,6,46,11
291,212,19,Maddison,3,Leicester,Leicester,13,69,10
362,254,19,Mahrez,3,Man City,Man City,43,86,10
387,259,19,Laporte,2,Man City,Man City,43,60,10
847,529,19,Lukaku,4,Chelsea,Chelsea,8,114,10
83,69,19,Sánchez,1,Brighton,Brighton,36,45,9
220,140,19,Hudson-Odoi,3,Chelsea,Chelsea,8,53,9
480,307,19,Saint-Maximin,4,Newcastle,Newcastle,4,67,9
862,558,19,Ødegaard,3,Arsenal,Arsenal,3,56,9
884,584,19,Cucurella,2,Brighton,Brighton,36,49,9
540,343,19,Bednarek,2,Southampton,Southampton,20,44,8
569,359,19,Son,3,Spurs,Spurs,6,112,8
832,517,19,Elyounoussi,3,Southampton,Southampton,20,54,8
55,58,19,Burn,2,Brighton,Newcastle,4,44,7
352,250,19,Gündogan,3,Man City,Man City,43,71,7
357,251,19,De Bruyne,3,Man City,Man City,43,121,7
609,370,19,Reguilón,2,Spurs,Spurs,6,50,7
675,419,19,Benrahma,3,West Ham,West Ham,21,59,7
897,587,19,Lookman,3,Leicester,Leicester,13,59,7
3,14,19,Holding,2,Arsenal,Arsenal,3,41,6
9,21,19,Smith Rowe,3,Arsenal,Arsenal,3,57,6
15,23,19,Gabriel,2,Arsenal,Arsenal,3,53,6
70,63,19,Maupay,4,Brighton,Brighton,36,62,6
75,64,19,Trossard,3,Brighton,Brighton,36,59,6
80,67,19,White,2,Arsenal,Arsenal,3,46,6
88,71,19,Lamptey,2,Brighton,Brighton,36,45,6
98,75,19,Moder,3,Brighton,Brighton,36,45,6
555,353,19,Lloris,1,Spurs,Spurs,6,55,6
564,357,19,Kane,4,Spurs,Spurs,6,125,6
574,361,19,Dier,2,Spurs,Spurs,6,47,6
751,462,19,Mwepu,3,Brighton,Brighton,36,59,6
865,559,19,Ramsdale,1,Arsenal,Arsenal,3,51,6
60,61,19,Webster,2,Brighton,Brighton,36,43,5
415,269,19,Cavani,4,Man Utd,Man Utd,1,84,5
420,270,19,de Gea,1,Man Utd,Man Utd,1,50,5
483,309,19,S.Longstaff,3,Newcastle,Newcastle,4,43,5
599,367,19,Sánchez,2,Spurs,Spurs,6,42,5
655,413,19,Antonio,4,West Ham,West Ham,21,73,5
372,256,19,Cancelo,2,Man City,Man City,43,72,4
397,262,19,Dias,2,Man City,Man City,43,62,4
660,414,19,Dawson,2,West Ham,West Ham,21,49,4
680,420,19,Bowen,3,West Ham,West Ham,21,69,4
837,518,19,Broja,4,Southampton,Southampton,20,53,4
852,555,19,Varane,2,Man Utd,Man Utd,1,55,4
18,26,19,Martinelli,3,Arsenal,Arsenal,3,53,3
50,53,19,Lallana,3,Brighton,Brighton,36,53,3
93,74,19,Mac Allister,3,Brighton,Brighton,36,51,3
535,342,19,Walker-Peters,2,Southampton,Southampton,20,48,3
589,365,19,Højbjerg,3,Spurs,Spurs,6,48,3
614,373,19,Skipp,3,Spurs,Spurs,6,44,3
30,43,19,Buendía,3,Aston Villa,Aston Villa,7,61,2
42,50,19,Douglas Luiz,3,Aston Villa,Aston Villa,7,43,2
46,51,19,Ramsey,3,Aston Villa,Aston Villa,7,47,2
113,81,19,Canós,3,Brentford,Brentford,94,55,2
190,127,19,Rüdiger,2,Chelsea,Chelsea,8,61,2
200,130,19,Kanté,3,Chelsea,Chelsea,8,49,2
210,137,19,Pulisic,3,Chelsea,Chelsea,8,79,2
215,138,19,Mount,3,Chelsea,Chelsea,8,77,2
225,144,19,Gallagher,3,Crystal Palace,Crystal Palace,31,60,2
240,153,19,Ayew,4,Crystal Palace,Crystal Palace,31,58,2
250,156,19,Butland,1,Crystal Palace,Crystal Palace,31,44,2
377,257,19,Ederson,1,Man City,Man City,43,62,2
392,261,19,Bernardo,3,Man City,Man City,43,70,2
440,279,19,Telles,2,Man Utd,Man Utd,1,49,2
445,281,19,Rashford,3,Man Utd,Man Utd,1,94,2
450,285,19,McTominay,3,Man Utd,Man Utd,1,54,2
468,291,19,Shelvey,3,Newcastle,Newcastle,4,53,2
471,295,19,Dubravka,1,Newcastle,Newcastle,4,44,2
474,299,19,Lascelles,2,Newcastle,Newcastle,4,44,2
477,305,19,Schär,2,Newcastle,Newcastle,4,41,2
486,315,19,Pukki,4,Norwich,Norwich,45,61,2
491,318,19,McLean,3,Norwich,Norwich,45,49,2
516,335,19,Romeu,3,Southampton,Southampton,20,45,2
521,336,19,Redmond,3,Southampton,Southampton,20,59,2
526,337,19,Ings,4,Aston Villa,Aston Villa,7,77,2
631,386,19,Hughes,3,Crystal Palace,Crystal Palace,31,47,2
645,408,19,Fabianski,1,West Ham,West Ham,21,50,2
690,422,19,Soucek,3,West Ham,West Ham,21,57,2
800,499,19,Baptiste,3,Brentford,Brentford,94,49,2
813,505,19,Dewsbury-Hall,3,Leicester,Leicester,13,44,2
817,510,19,Dalot,2,Man Utd,Man Utd,1,42,2
827,516,19,Sargent,4,Norwich,Norwich,45,54,2
857,556,19,Fernández,1,Brentford,Brentford,94,45,2
892,586,19,Edouard,4,Crystal Palace,Crystal Palace,31,60,2
34,44,19,Cash,2,Aston Villa,Aston Villa,7,53,1
103,77,19,Nørgaard,3,Brentford,Brentford,94,50,1
108,78,19,Toney,4,Brentford,Brentford,94,69,1
123,86,19,Jensen,3,Brentford,Brentford,94,49,1
133,91,19,Pinnock,2,Brentford,Brentford,94,44,1
138,96,19,Mbeumo,3,Brentford,Brentford,94,52,1
170,121,19,Thiago Silva,2,Chelsea,Chelsea,8,56,1
175,122,19,Alonso,2,Chelsea,Chelsea,8,57,1
185,125,19,Kovacic,3,Chelsea,Chelsea,8,49,1
235,150,19,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,1
245,155,19,Schlupp,3,Crystal Palace,Crystal Palace,31,54,1
255,159,19,Mateta,4,Crystal Palace,Crystal Palace,31,53,1
260,162,19,Mitchell,2,Crystal Palace,Crystal Palace,31,45,1
402,265,19,Foden,3,Man City,Man City,43,79,1
425,273,19,Maguire,2,Man Utd,Man Utd,1,54,1
430,274,19,Fred,3,Man Utd,Man Utd,1,49,1
435,277,19,Fernandes,3,Man Utd,Man Utd,1,116,1
458,289,19,Greenwood,3,Man Utd,Man Utd,1,71,1
506,329,19,Idah,4,Norwich,Norwich,45,48,1
511,333,19,Forster,1,Southampton,Southampton,20,44,1
545,345,19,Adams,4,Southampton,Southampton,20,65,1
550,349,19,Diallo,3,Southampton,Southampton,20,45,1
604,369,19,Bergwijn,3,Spurs,Spurs,6,59,1
665,416,19,Lanzini,3,West Ham,West Ham,21,56,1
670,418,19,Coufal,2,West Ham,West Ham,21,47,1
685,421,19,Rice,3,West Ham,West Ham,21,50,1
695,423,19,Fornals,3,West Ham,West Ham,21,59,1
700,424,19,Diop,2,West Ham,West Ham,21,42,1
723,447,19,Welbeck,4,Brighton,Brighton,36,60,1
768,471,19,Lees-Melou,3,Norwich,Norwich,45,48,1
773,474,19,Ward,2,Crystal Palace,Crystal Palace,31,45,1
786,485,19,Sancho,3,Man Utd,Man Utd,1,89,1
791,488,19,Andersen,2,Crystal Palace,Crystal Palace,31,47,1
842,524,19,Wissa,3,Brentford,Brentford,94,57,1
874,579,19,Ronaldo,4,Man Utd,Man Utd,1,122,1
879,582,19,Vlasic,3,West Ham,West Ham,21,56,1
21,30,19,Martínez,1,Aston Villa,Aston Villa,7,55,0
25,33,19,Grealish,3,Man City,Man City,43,75,0
38,45,19,Konsa,2,Aston Villa,Aston Villa,7,49,0
65,62,19,Veltman,2,Brighton,Brighton,36,42,0
118,84,19,Janelt,3,Brentford,Brentford,94,49,0
128,89,19,Roerslev,2,Brentford,Brentford,94,41,0
165,119,19,Azpilicueta,2,Chelsea,Chelsea,8,56,0
195,129,19,Arrizabalaga,1,Chelsea,Chelsea,8,45,0
205,131,19,Ziyech,3,Chelsea,Chelsea,8,73,0
230,146,19,Guaita,1,Crystal Palace,Crystal Palace,31,46,0
299,215,19,Barnes,3,Leicester,Leicester,13,65,0
347,249,19,Walker,2,Man City,Man City,43,54,0
382,258,19,Aké,2,Man City,Man City,43,47,0
407,266,19,Rodrigo,3,Man City,Man City,43,55,0
463,290,19,Williams,2,Norwich,Norwich,45,39,0
496,319,19,Hanley,2,Norwich,Norwich,45,44,0
501,326,19,Aarons,2,Norwich,Norwich,45,43,0
584,364,19,Davies,2,Spurs,Spurs,6,45,0
594,366,19,Winks,3,Spurs,Spurs,6,44,0
640,406,19,Noble,3,West Ham,West Ham,21,43,0
650,411,19,Cresswell,2,West Ham,West Ham,21,54,0
728,448,19,Gunn,1,Norwich,Norwich,45,40,0
733,449,19,Rashica,3,Norwich,Norwich,45,52,0
742,455,19,Daka,4,Leicester,Leicester,13,70,0
746,456,19,Gibson,2,Norwich,Norwich,45,44,0
756,464,19,Olise,3,Crystal Palace,Crystal Palace,31,53,0
781,477,19,Guéhi,2,Crystal Palace,Crystal Palace,31,45,0
805,501,19,Sarr,2,Chelsea,Chelsea,8,49,0
822,512,19,Elanga,3,Man Utd,Man Utd,1,48,0
283,200,19,Schmeichel,1,Leicester,Leicester,13,50,-1
287,208,19,Amartey,2,Leicester,Leicester,13,40,-1
303,219,19,Thomas,2,Leicester,Leicester,13,43,-1
284,200,20,Schmeichel,1,Leicester,Leicester,13,50,15
681,420,20,Bowen,3,West Ham,West Ham,21,69,14
893,586,20,Edouard,4,Crystal Palace,Crystal Palace,31,60,14
451,285,20,McTominay,3,Man Utd,Man Utd,1,54,12
875,579,20,Ronaldo,4,Man Utd,Man Utd,1,122,12
403,265,20,Foden,3,Man City,Man City,43,79,11
378,257,20,Ederson,1,Man City,Man City,43,62,9
531,341,20,Ward-Prowse,3,Southampton,Southampton,20,64,9
691,422,20,Soucek,3,West Ham,West Ham,21,57,9
246,155,20,Schlupp,3,Crystal Palace,Crystal Palace,31,54,8
261,162,20,Mitchell,2,Crystal Palace,Crystal Palace,31,45,8
288,208,20,Amartey,2,Leicester,Leicester,13,40,8
358,251,20,De Bruyne,3,Man City,Man City,43,121,8
512,333,20,Forster,1,Southampton,Southampton,20,44,8
641,406,20,Noble,3,West Ham,West Ham,21,43,8
676,419,20,Benrahma,3,West Ham,West Ham,21,59,8
848,529,20,Lukaku,4,Chelsea,Chelsea,8,114,8
885,584,20,Cucurella,2,Brighton,Brighton,36,49,8
236,150,20,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,7
738,450,20,Dennis,4,Watford,Watford,57,58,7
814,505,20,Dewsbury-Hall,3,Leicester,Leicester,13,44,7
868,575,20,Lennon,3,Burnley,Burnley,90,46,7
231,146,20,Guaita,1,Crystal Palace,Crystal Palace,31,46,6
256,159,20,Mateta,4,Crystal Palace,Crystal Palace,31,53,6
304,219,20,Thomas,2,Leicester,Leicester,13,43,6
373,256,20,Cancelo,2,Man City,Man City,43,72,6
383,258,20,Aké,2,Man City,Man City,43,47,6
388,259,20,Laporte,2,Man City,Man City,43,60,6
398,262,20,Dias,2,Man City,Man City,43,62,6
565,357,20,Kane,4,Spurs,Spurs,6,125,6
570,359,20,Son,3,Spurs,Spurs,6,112,6
632,386,20,Hughes,3,Crystal Palace,Crystal Palace,31,47,6
724,447,20,Welbeck,4,Brighton,Brighton,36,60,6
774,474,20,Ward,2,Crystal Palace,Crystal Palace,31,45,6
782,477,20,Guéhi,2,Crystal Palace,Crystal Palace,31,45,6
787,485,20,Sancho,3,Man Utd,Man Utd,1,89,6
792,488,20,Andersen,2,Crystal Palace,Crystal Palace,31,47,6
880,582,20,Vlasic,3,West Ham,West Ham,21,56,6
898,587,20,Lookman,3,Leicester,Leicester,13,59,6
656,413,20,Antonio,4,West Ham,West Ham,21,73,5
761,468,20,King,4,Watford,Watford,57,56,5
216,138,20,Mount,3,Chelsea,Chelsea,8,77,4
26,33,20,Grealish,3,Man City,Man City,43,75,3
84,69,20,Sánchez,1,Brighton,Brighton,36,45,3
292,212,20,Maddison,3,Leicester,Leicester,13,69,3
393,261,20,Bernardo,3,Man City,Man City,43,70,3
646,408,20,Fabianski,1,West Ham,West Ham,21,50,3
51,53,20,Lallana,3,Brighton,Brighton,36,53,2
56,58,20,Burn,2,Brighton,Newcastle,4,44,2
66,62,20,Veltman,2,Brighton,Brighton,36,42,2
71,63,20,Maupay,4,Brighton,Brighton,36,62,2
89,71,20,Lamptey,2,Brighton,Brighton,36,45,2
