,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
50,38,12,Mings,2,Aston Villa,Aston Villa,7,50,15
482,237,12,Alexander-Arnold,2,Liverpool,Liverpool,14,85,15
232,127,12,Rüdiger,2,Chelsea,Chelsea,8,61,14
849,450,12,Dennis,4,Watford,Watford,57,60,14
272,142,12,James,2,Chelsea,Chelsea,8,62,12
302,149,12,Benteke,4,Crystal Palace,Crystal Palace,31,60,12
447,230,12,Mané,3,Liverpool,Liverpool,14,117,12
512,256,12,Cancelo,2,Man City,Man City,43,69,12
147,81,12,Canós,3,Brentford,Brentford,94,55,10
552,266,12,Rodrigo,3,Man City,Man City,43,55,10
642,307,12,Saint-Maximin,4,Newcastle,Newcastle,4,68,10
722,365,12,Højbjerg,3,Spurs,Spurs,6,49,10
237,130,12,Kanté,3,Chelsea,Chelsea,8,49,9
252,135,12,Chilwell,2,Chelsea,Chelsea,8,56,9
647,310,12,Joelinton,4,Newcastle,Newcastle,4,58,9
672,319,12,Hanley,2,Norwich,Norwich,45,44,9
697,345,12,Adams,4,Southampton,Southampton,20,69,9
728,370,12,Reguilón,2,Spurs,Spurs,6,52,9
884,470,12,Ait Nouri,2,Wolves,Wolves,39,44,9
924,488,12,Andersen,2,Crystal Palace,Crystal Palace,31,45,9
60,40,12,Watkins,4,Aston Villa,Aston Villa,7,75,8
177,98,12,Tarkowski,2,Burnley,Burnley,90,49,8
452,231,12,Alisson,1,Liverpool,Liverpool,14,60,8
462,233,12,Salah,3,Liverpool,Liverpool,14,133,8
487,240,12,Jota,3,Liverpool,Liverpool,14,83,8
507,255,12,Sterling,3,Man City,Man City,43,105,8
527,261,12,Bernardo,3,Man City,Man City,43,71,8
602,287,12,James,3,Leeds,Leeds,2,60,8
662,315,12,Pukki,4,Norwich,Norwich,45,58,8
824,430,12,Jiménez,4,Wolves,Wolves,39,77,8
894,475,12,Sá,1,Wolves,Wolves,39,53,8
55,39,12,Targett,2,Aston Villa,Newcastle,4,47,7
152,83,12,Henry,2,Brentford,Brentford,94,45,7
181,106,12,Mee,2,Burnley,Burnley,90,47,7
492,249,12,Walker,2,Man City,Man City,43,54,7
592,282,12,van de Beek,3,Man Utd,Everton,11,57,7
754,404,12,João Pedro,4,Watford,Watford,57,54,7
829,431,12,Saïss,2,Wolves,Wolves,39,51,7
899,477,12,Guéhi,2,Crystal Palace,Crystal Palace,31,45,7
989,578,12,Cornet,3,Burnley,Burnley,90,59,7
40,30,12,Martínez,1,Aston Villa,Aston Villa,7,55,6
124,71,12,Lamptey,2,Brighton,Brighton,36,45,6
142,78,12,Toney,4,Brentford,Brentford,94,67,6
193,109,12,Wood,4,Burnley,Newcastle,4,67,6
217,121,12,Thiago Silva,2,Chelsea,Chelsea,8,57,6
257,137,12,Pulisic,3,Chelsea,Chelsea,8,79,6
277,143,12,Mendy,1,Chelsea,Chelsea,8,61,6
432,224,12,Matip,2,Liverpool,Liverpool,14,49,6
442,229,12,van Dijk,2,Liverpool,Liverpool,14,68,6
477,236,12,Minamino,3,Liverpool,Liverpool,14,51,6
517,257,12,Ederson,1,Man City,Man City,43,61,6
562,270,12,de Gea,1,Man Utd,Man Utd,1,51,6
713,361,12,Dier,2,Spurs,Spurs,6,46,6
819,429,12,Coady,2,Wolves,Wolves,39,49,6
839,437,12,Semedo,2,Wolves,Wolves,39,48,6
844,439,12,Kilman,2,Wolves,Wolves,39,46,6
879,468,12,King,4,Watford,Watford,57,57,6
959,527,12,Chalobah,2,Chelsea,Chelsea,8,47,6
70,44,12,Cash,2,Aston Villa,Aston Villa,7,53,5
75,45,12,Konsa,2,Aston Villa,Aston Villa,7,49,5
282,144,12,Gallagher,3,Crystal Palace,Crystal Palace,31,61,5
287,145,12,Gilmour,3,Norwich,Norwich,45,43,5
522,259,12,Laporte,2,Man City,Man City,43,58,5
557,267,12,Harrison,3,Leeds,Leeds,2,55,5
632,299,12,Lascelles,2,Newcastle,Newcastle,4,44,5
677,326,12,Aarons,2,Norwich,Norwich,45,43,5
716,362,12,Lucas Moura,3,Spurs,Spurs,6,61,5
739,382,12,Femenía,2,Watford,Watford,57,43,5
954,525,12,A.Armstrong,4,Southampton,Southampton,20,57,5
993,579,12,Ronaldo,4,Man Utd,Man Utd,1,122,5
1003,584,12,Cucurella,2,Brighton,Brighton,36,50,5
90,52,12,Young,2,Aston Villa,Aston Villa,7,47,4
185,107,12,Westwood,3,Burnley,Burnley,90,52,4
242,131,12,Ziyech,3,Chelsea,Chelsea,8,73,4
