,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
205,100,2,Alonso,2,5,Chelsea,8,71,16
365,198,2,Maguire,2,9,Leicester,13,55,15
545,271,2,Bailly,2,12,Man Utd,1,60,15
575,282,2,Pogba,3,12,Man Utd,1,79,15
1020,487,2,Chicharito,4,20,West Ham,21,67,13
370,199,2,Mahrez,3,9,Leicester,13,87,11
680,328,2,Butland,1,15,Stoke,110,50,11
1060,501,2,Richarlison,3,18,Watford,57,58,11
325,172,2,Mooy,3,8,Huddersfield,38,52,10
570,281,2,Mkhitaryan,3,1,Arsenal,3,77,10
1065,512,2,Jesé,3,15,Stoke,110,54,10
255,115,2,Hennessey,1,6,Crystal Palace,31,44,9
305,164,2,Schindler,2,8,Huddersfield,38,46,9
885,422,2,Nyom,2,19,West Brom,35,47,9
995,475,2,Robertson,2,10,Liverpool,14,50,9
270,143,2,Williams,2,7,Everton,11,52,8
295,161,2,Rooney,4,7,Everton,11,71,8
300,163,2,Lössl,1,8,Huddersfield,38,46,8
450,230,2,Mané,3,10,Liverpool,14,94,8
865,407,2,Kiko Femenía,2,18,Watford,57,43,8
975,468,2,Hegazi,2,19,West Brom,35,46,8
200,99,2,Zouma,2,15,Stoke,110,54,7
400,211,2,Okazaki,4,9,Leicester,13,53,7
425,220,2,Klavan,2,10,Liverpool,14,41,7
670,326,2,Austin,4,14,Southampton,20,58,7
675,327,2,Gabbiadini,4,14,Southampton,20,62,7
820,387,2,Eriksen,3,17,Spurs,6,97,7
845,397,2,Gomes,1,18,Watford,57,44,7
890,424,2,Dawson,2,19,West Brom,35,48,7
185,94,2,Courtois,1,5,Chelsea,8,53,6
310,165,2,Löwe,2,8,Huddersfield,38,44,6
315,166,2,Smith,2,8,Huddersfield,38,47,6
320,171,2,Zanka,2,8,Huddersfield,38,45,6
330,181,2,Kachunga,3,8,Huddersfield,38,57,6
345,189,2,Schmeichel,1,9,Leicester,13,51,6
355,192,2,Fuchs,2,9,Leicester,13,47,6
360,193,2,Simpson,2,9,Leicester,13,43,6
405,213,2,Mignolet,1,10,Liverpool,14,47,6
415,218,2,Gomez,2,10,Liverpool,14,45,6
420,219,2,Matip,2,10,Liverpool,14,54,6
430,222,2,Milner,2,10,Liverpool,14,60,6
490,247,2,Sterling,3,11,Man City,43,91,6
525,260,2,De Gea,1,12,Man Utd,1,59,6
530,264,2,Jones,2,12,Man Utd,1,55,6
535,267,2,Valencia,2,12,Man Utd,1,69,6
540,270,2,Blind,2,12,Man Utd,1,51,6
565,280,2,Martial,3,12,Man Utd,1,78,6
585,285,2,Lukaku,4,12,Man Utd,1,115,6
655,318,2,Tadic,3,14,Southampton,20,62,6
685,330,2,Shawcross,2,15,Stoke,110,48,6
690,331,2,Cameron,2,15,Stoke,110,43,6
695,332,2,Pieters,2,15,Stoke,110,47,6
850,400,2,Prödl,2,18,Watford,57,43,6
855,401,2,Holebas,2,18,Watford,57,48,6
880,421,2,Foster,1,19,West Brom,35,43,6
905,432,2,Phillips,3,19,West Brom,35,54,6
290,159,2,Calvert-Lewin,4,7,Everton,11,49,5
350,191,2,Morgan,2,9,Leicester,13,44,5
635,308,2,Yoshida,2,14,Southampton,20,46,5
650,316,2,Davis,3,14,Southampton,20,47,5
665,324,2,Redmond,3,14,Southampton,20,59,5
960,454,2,Antonio,3,20,West Ham,21,74,5
180,92,2,Gray,4,18,Watford,57,63,4
210,101,2,David Luiz,2,5,Chelsea,8,57,4
240,109,2,Pedro,3,5,Chelsea,8,77,4
265,135,2,Pickford,1,7,Everton,11,49,4
0,2,2,Cech,1,1,Arsenal,3,53,3
230,106,2,Willian,3,5,Chelsea,8,70,3
235,107,2,Matic,3,12,Man Utd,1,47,3
275,151,2,Barry,3,19,West Brom,35,44,3
335,182,2,Ince,3,8,Huddersfield,38,55,3
375,200,2,Albrighton,3,9,Leicester,13,55,3
390,206,2,Ndidi,3,9,Leicester,13,49,3
455,232,2,Wijnaldum,3,10,Liverpool,14,66,3
550,274,2,Mata,3,12,Man Utd,1,68,3
625,306,2,Forster,1,14,Southampton,20,46,3
700,337,2,Allen,3,15,Stoke,110,51,3
715,346,2,Fletcher,3,15,Stoke,110,47,3
870,408,2,Cleverley,3,18,Watford,57,50,3
875,414,2,Doucouré,3,18,Watford,57,52,3
895,426,2,Livermore,3,19,West Brom,35,48,3
910,434,2,Brunt,3,19,West Brom,35,50,3
1050,497,2,Choupo-Moting,3,15,Stoke,110,52,3
10,7,2,Bellerín,2,1,Arsenal,3,59,2
20,10,2,Monreal,2,1,Arsenal,3,57,2
25,12,2,Mustafi,2,1,Arsenal,3,54,2
30,13,2,Kolasinac,2,1,Arsenal,3,58,2
40,18,2,Ramsey,3,1,Arsenal,3,68,2
45,23,2,Xhaka,3,1,Arsenal,3,51,2
50,26,2,Welbeck,4,1,Arsenal,3,73,2
55,28,2,Lacazette,4,1,Arsenal,3,103,2
60,29,2,Begovic,1,2,Bournemouth,91,45,2
70,41,2,Surman,3,2,Bournemouth,91,43,2
80,51,2,King,4,2,Bournemouth,91,70,2
115,63,2,Stephens,3,3,Brighton,36,45,2
120,66,2,March,3,3,Brighton,36,48,2
125,70,2,Groß,3,3,Brighton,36,59,2
135,76,2,Lowton,2,4,Burnley,90,44,2
140,77,2,Mee,2,4,Burnley,90,49,2
145,78,2,Ward,2,4,Burnley,90,48,2
150,79,2,Tarkowski,2,4,Burnley,90,46,2
160,84,2,Gudmundsson,3,4,Burnley,90,50,2
165,85,2,Defour,3,4,Burnley,90,54,2
170,87,2,Brady,3,4,Burnley,90,53,2
175,90,2,Cork,3,4,Burnley,90,45,2
190,97,2,Azpilicueta,2,5,Chelsea,8,69,2
215,102,2,Moses,2,5,Chelsea,8,65,2
245,111,2,Kanté,3,5,Chelsea,8,49,2
250,112,2,Chalobah,3,18,Watford,57,42,2
260,131,2,Townsend,3,6,Crystal Palace,31,56,2
280,155,2,Gueye,3,7,Everton,11,48,2
285,156,2,Davies,3,7,Everton,11,51,2
395,209,2,Vardy,4,9,Leicester,13,88,2
435,225,2,Henderson,3,10,Liverpool,14,53,2
465,235,2,Firmino,4,10,Liverpool,14,95,2
470,236,2,Sturridge,4,19,West Brom,35,79,2
475,240,2,Ederson,1,11,Man City,43,57,2
480,242,2,Stones,2,11,Man City,43,53,2
485,245,2,Otamendi,2,11,Man City,43,64,2
495,248,2,David Silva,3,11,Man City,43,82,2
500,250,2,Fernandinho,3,11,Man City,43,50,2
505,252,2,De Bruyne,3,11,Man City,43,103,2
510,255,2,Sané,3,11,Man City,43,87,2
515,257,2,Agüero,4,11,Man City,43,115,2
580,284,2,Rashford,4,12,Man Utd,1,73,2
590,286,2,Elliot,1,13,Newcastle,4,40,2
595,289,2,Clark,2,13,Newcastle,4,43,2
