,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
55,12,38,Mings,2,Aston Villa,Aston Villa,7,50,15
442,12,237,Alexander-Arnold,2,Liverpool,Liverpool,14,85,15
71,12,450,Dennis,4,Watford,Watford,57,60,14
233,12,127,Rüdiger,2,Chelsea,Chelsea,8,61,14
50,12,142,James,2,Chelsea,Chelsea,8,62,12
89,12,230,Mané,3,Liverpool,Liverpool,14,117,12
118,12,256,Cancelo,2,Man City,Man City,43,69,12
351,12,149,Benteke,4,Crystal Palace,Crystal Palace,31,60,12
242,12,81,Canós,3,Brentford,Brentford,94,55,10
297,12,266,Rodrigo,3,Man City,Man City,43,55,10
338,12,307,Saint-Maximin,4,Newcastle,Newcastle,4,68,10
440,12,365,Højbjerg,3,Spurs,Spurs,6,49,10
100,12,345,Adams,4,Southampton,Southampton,20,69,9
103,12,135,Chilwell,2,Chelsea,Chelsea,8,56,9
108,12,470,Ait Nouri,2,Wolves,Wolves,39,44,9
260,12,319,Hanley,2,Norwich,Norwich,45,44,9
348,12,310,Joelinton,4,Newcastle,Newcastle,4,58,9
521,12,370,Reguilón,2,Spurs,Spurs,6,52,9
523,12,488,Andersen,2,Crystal Palace,Crystal Palace,31,45,9
624,12,130,Kanté,3,Chelsea,Chelsea,8,49,9
29,12,240,Jota,3,Liverpool,Liverpool,14,83,8
67,12,430,Jiménez,4,Wolves,Wolves,39,77,8
164,12,233,Salah,3,Liverpool,Liverpool,14,133,8
165,12,255,Sterling,3,Man City,Man City,43,105,8
285,12,40,Watkins,4,Aston Villa,Aston Villa,7,75,8
310,12,231,Alisson,1,Liverpool,Liverpool,14,60,8
335,12,475,Sá,1,Wolves,Wolves,39,53,8
390,12,315,Pukki,4,Norwich,Norwich,45,58,8
396,12,287,James,3,Leeds,Leeds,2,60,8
445,12,98,Tarkowski,2,Burnley,Burnley,90,49,8
463,12,261,Bernardo,3,Man City,Man City,43,71,8
25,12,39,Targett,2,Aston Villa,Newcastle,4,47,7
66,12,578,Cornet,3,Burnley,Burnley,90,59,7
143,12,282,van de Beek,3,Man Utd,Everton,11,57,7
170,12,106,Mee,2,Burnley,Burnley,90,47,7
179,12,477,Guéhi,2,Crystal Palace,Crystal Palace,31,45,7
218,12,83,Henry,2,Brentford,Brentford,94,45,7
372,12,431,Saïss,2,Wolves,Wolves,39,51,7
426,12,249,Walker,2,Man City,Man City,43,54,7
528,12,404,João Pedro,4,Watford,Watford,57,54,7
17,12,468,King,4,Watford,Watford,57,57,6
22,12,257,Ederson,1,Man City,Man City,43,61,6
94,12,527,Chalobah,2,Chelsea,Chelsea,8,47,6
115,12,236,Minamino,3,Liverpool,Liverpool,14,51,6
123,12,361,Dier,2,Spurs,Spurs,6,46,6
176,12,143,Mendy,1,Chelsea,Chelsea,8,61,6
226,12,224,Matip,2,Liverpool,Liverpool,14,49,6
228,12,229,van Dijk,2,Liverpool,Liverpool,14,68,6
261,12,30,Martínez,1,Aston Villa,Aston Villa,7,55,6
264,12,137,Pulisic,3,Chelsea,Chelsea,8,79,6
369,12,109,Wood,4,Burnley,Newcastle,4,67,6
370,12,437,Semedo,2,Wolves,Wolves,39,48,6
389,12,439,Kilman,2,Wolves,Wolves,39,46,6
418,12,78,Toney,4,Brentford,Brentford,94,67,6
436,12,71,Lamptey,2,Brighton,Brighton,36,45,6
466,12,429,Coady,2,Wolves,Wolves,39,49,6
537,12,270,de Gea,1,Man Utd,Man Utd,1,51,6
609,12,121,Thiago Silva,2,Chelsea,Chelsea,8,57,6
58,12,145,Gilmour,3,Norwich,Norwich,45,43,5
65,12,382,Femenía,2,Watford,Watford,57,43,5
136,12,259,Laporte,2,Man City,Man City,43,58,5
142,12,579,Ronaldo,4,Man Utd,Man Utd,1,122,5
215,12,144,Gallagher,3,Crystal Palace,Crystal Palace,31,61,5
231,12,326,Aarons,2,Norwich,Norwich,45,43,5
237,12,299,Lascelles,2,Newcastle,Newcastle,4,44,5
327,12,525,A.Armstrong,4,Southampton,Southampton,20,57,5
337,12,44,Cash,2,Aston Villa,Aston Villa,7,53,5
381,12,362,Lucas Moura,3,Spurs,Spurs,6,61,5
415,12,584,Cucurella,2,Brighton,Brighton,36,50,5
496,12,45,Konsa,2,Aston Villa,Aston Villa,7,49,5
536,12,267,Harrison,3,Leeds,Leeds,2,55,5
43,12,52,Young,2,Aston Villa,Aston Villa,7,47,4
74,12,298,Fraser,3,Newcastle,Newcastle,4,53,4
301,12,131,Ziyech,3,Chelsea,Chelsea,8,73,4
354,12,479,Onyeka,3,Brentford,Brentford,94,49,4
360,12,107,Westwood,3,Burnley,Burnley,90,52,4
409,12,188,Dallas,3,Leeds,Leeds,2,49,4
473,12,353,Lloris,1,Spurs,Spurs,6,54,4
28,12,123,Jorginho,3,Chelsea,Chelsea,8,58,3
30,12,250,Gündogan,3,Man City,Man City,43,71,3
113,12,35,McGinn,3,Aston Villa,Aston Villa,7,57,3
133,12,426,Moutinho,3,Wolves,Wolves,39,49,3
140,12,138,Mount,3,Chelsea,Chelsea,8,75,3
252,12,408,Fabianski,1,West Ham,West Ham,21,50,3
311,12,43,Buendía,3,Aston Villa,Aston Villa,7,62,3
429,12,146,Guaita,1,Crystal Palace,Crystal Palace,31,46,3
507,12,51,Ramsey,3,Aston Villa,Aston Villa,7,48,3
561,12,70,Bissouma,3,Brighton,Brighton,36,44,3
574,12,141,Havertz,3,Chelsea,Chelsea,8,79,3
594,12,225,Thiago,3,Liverpool,Liverpool,14,53,3
601,12,556,Fernández,1,Brentford,Brentford,94,45,3
3,12,341,Ward-Prowse,3,Southampton,Southampton,20,65,2
4,12,277,Fernandes,3,Man Utd,Man Utd,1,116,2
63,12,15,Partey,3,Arsenal,Arsenal,3,50,2
69,12,458,Soumaré,3,Leicester,Leicester,13,48,2
78,12,64,Trossard,3,Brighton,Brighton,36,59,2
86,12,318,McLean,3,Norwich,Norwich,45,49,2
92,12,75,Moder,3,Brighton,Brighton,36,45,2
106,12,583,Hwang,4,Wolves,Wolves,39,54,2
114,12,22,Saka,3,Arsenal,Arsenal,3,67,2
122,12,108,Gudmundsson,3,Burnley,Burnley,90,54,2
129,12,232,Fabinho,3,Liverpool,Liverpool,14,54,2
162,12,6,Lacazette,4,Arsenal,Arsenal,3,84,2
185,12,420,Bowen,3,West Ham,West Ham,21,68,2
192,12,354,Sissoko,3,Watford,Watford,57,44,2
230,12,419,Benrahma,3,West Ham,West Ham,21,59,2
266,12,381,Cleverley,3,Watford,Watford,57,48,2
288,12,84,Janelt,3,Brentford,Brentford,94,49,2
291,12,96,Mbeumo,3,Brentford,Brentford,94,52,2
293,12,314,Krul,1,Norwich,Norwich,45,45,2
309,12,205,Vardy,4,Leicester,Leicester,13,103,2
315,12,482,Townsend,3,Everton,Everton,11,52,2
316,12,291,Shelvey,3,Newcastle,Newcastle,4,53,2
345,12,21,Smith Rowe,3,Arsenal,Arsenal,3,57,2
368,12,503,Gordon,3,Everton,Everton,11,45,2
373,12,456,Gibson,2,Norwich,Norwich,45,44,2
434,12,371,Tanganga,2,Spurs,Spurs,6,42,2
487,12,118,McNeil,3,Burnley,Burnley,90,56,2
495,12,112,Pope,1,Burnley,Burnley,90,54,2
500,12,359,Son,3,Spurs,Spurs,6,109,2
512,12,19,Willock,3,Newcastle,Newcastle,4,57,2
527,12,115,Brownhill,3,Burnley,Burnley,90,43,2
544,12,422,Soucek,3,West Ham,West Ham,21,57,2
550,12,364,Davies,2,Spurs,Spurs,6,44,2
559,12,413,Antonio,4,West Ham,West Ham,21,75,2
570,12,170,Pickford,1,Everton,Everton,11,49,2
605,12,414,Dawson,2,West Ham,West Ham,21,49,2
612,12,485,Sancho,3,Man Utd,Man Utd,1,89,2
626,12,216,Ndidi,3,Leicester,Leicester,13,48,2
18,12,180,Richarlison,4,Everton,Everton,11,75,1
27,12,435,Traoré,3,Wolves,Wolves,39,56,1
32,12,518,Broja,4,Southampton,Southampton,20,55,1
37,12,421,Rice,3,West Ham,West Ham,21,50,1
52,12,552,Forshaw,3,Leeds,Leeds,2,45,1
79,12,77,Nørgaard,3,Brentford,Brentford,94,50,1
85,12,290,Williams,2,Norwich,Norwich,45,39,1
98,12,305,Schär,2,Newcastle,Newcastle,4,43,1
107,12,281,Rashford,3,Man Utd,Man Utd,1,94,1
132,12,76,Jansson,2,Brentford,Brentford,94,45,1
154,12,559,Ramsdale,1,Arsenal,Arsenal,3,51,1
157,12,190,Llorente,2,Leeds,Leeds,2,45,1
166,12,154,Zaha,3,Crystal Palace,Crystal Palace,31,68,1
184,12,577,Gelhardt,4,Leeds,Leeds,2,46,1
191,12,416,Lanzini,3,West Ham,West Ham,21,57,1
195,12,132,Loftus-Cheek,3,Chelsea,Chelsea,8,54,1
