,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
139,28,48,King,3,2,Bournemouth,91,62,18
198,28,145,Niasse,4,7,Hull,88,55,12
215,28,143,Lukaku,4,6,Everton,11,101,12
67,28,451,Randolph,1,20,West Ham,21,44,10
147,28,133,Mirallas,3,6,Everton,11,59,10
84,28,204,Can,3,9,Liverpool,14,48,9
187,28,264,Schneiderlin,3,6,Everton,11,45,9
216,28,134,Barkley,3,6,Everton,11,70,9
16,28,558,Mawson,2,16,Swansea,80,46,8
31,28,70,Barnes,4,3,Burnley,90,46,8
183,28,464,Antonio,3,20,West Ham,21,67,8
95,28,485,Wijnaldum,3,9,Liverpool,14,75,7
99,28,368,Sigurdsson,3,16,Swansea,80,74,7
24,28,374,Ayew,3,20,West Ham,21,71,6
34,28,359,Williams,2,6,Everton,11,52,6
124,28,123,Robles,1,6,Everton,11,47,6
204,28,127,Jagielka,2,6,Everton,11,49,6
228,28,126,Coleman,2,6,Everton,11,56,6
2,28,163,Hernández,4,7,Hull,88,59,5
77,28,217,Origi,4,9,Liverpool,14,60,5
176,28,55,Lowton,2,3,Burnley,90,45,5
9,28,158,Elmohamady,3,7,Hull,88,46,4
109,28,17,Wilshere,3,2,Bournemouth,91,58,4
223,28,457,Byram,2,20,West Ham,21,42,4
244,28,512,Davies,3,6,Everton,11,44,3
20,28,638,Ranocchia,2,7,Hull,88,45,2
21,28,152,Robertson,2,7,Hull,88,44,2
23,28,68,Gray,4,3,Burnley,90,60,2
25,28,468,Carroll,4,20,West Ham,21,59,2
30,28,29,Boruc,1,2,Bournemouth,91,45,2
37,28,52,Afobe,4,2,Bournemouth,91,53,2
51,28,459,Kouyaté,3,20,West Ham,21,50,2
66,28,439,Fletcher,3,19,West Brom,35,44,2
82,28,147,Jakupovic,1,7,Hull,88,41,2
94,28,62,Boyd,3,3,Burnley,90,51,2
101,28,571,Robson-Kanu,4,19,West Brom,35,50,2
102,28,37,Arter,3,2,Bournemouth,91,50,2
103,28,153,Maguire,2,7,Hull,88,44,2
107,28,367,Cork,3,16,Swansea,80,46,2
110,28,157,Livermore,3,19,West Brom,35,47,2
114,28,444,McClean,3,19,West Brom,35,48,2
115,28,208,Milner,3,9,Liverpool,14,63,2
122,28,560,Hendrick,3,3,Burnley,90,53,2
123,28,199,Matip,2,9,Liverpool,14,54,2
144,28,647,Grosicki,3,7,Hull,88,55,2
151,28,206,Markovic,3,7,Hull,88,52,2
155,28,375,Fer,3,16,Swansea,80,48,2
160,28,356,Fabianski,1,16,Swansea,80,48,2
164,28,462,Lanzini,3,20,West Ham,21,59,2
190,28,392,Chadli,3,19,West Brom,35,58,2
191,28,193,Clyne,2,9,Liverpool,14,59,2
205,28,474,Klavan,2,9,Liverpool,14,44,2
219,28,536,Fraser,3,2,Bournemouth,91,46,2
221,28,212,Mané,3,9,Liverpool,14,93,2
224,28,156,Clucas,3,7,Hull,88,47,2
233,28,188,Mignolet,1,9,Liverpool,14,48,2
243,28,397,Carroll,3,16,Swansea,80,41,2
250,28,369,Routledge,3,16,Swansea,80,45,2
6,28,34,Smith,2,2,Bournemouth,91,46,1
18,28,412,Nyom,2,19,West Brom,35,44,1
38,28,430,Foster,1,19,West Brom,35,47,1
50,28,33,Daniels,2,2,Bournemouth,91,52,1
52,28,438,Brunt,2,19,West Brom,35,48,1
79,28,595,Calvert-Lewin,4,6,Everton,11,45,1
88,28,363,Fernández,2,16,Swansea,80,42,1
93,28,436,McAuley,2,19,West Brom,35,50,1
106,28,488,Gueye,3,6,Everton,11,50,1
125,28,626,Barton,3,3,Burnley,90,41,1
131,28,431,Evans,2,19,West Brom,35,44,1
133,28,642,Ayew,4,16,Swansea,80,50,1
138,28,297,Fonte,2,20,West Ham,21,53,1
152,28,125,Baines,2,6,Everton,11,58,1
153,28,200,Lucas,3,9,Liverpool,14,44,1
166,28,38,Pugh,3,2,Bournemouth,91,46,1
181,28,58,Keane,2,3,Burnley,90,50,1
203,28,203,Coutinho,3,9,Liverpool,14,87,1
214,28,155,Snodgrass,3,20,West Ham,21,55,1
232,28,31,Francis,2,2,Bournemouth,91,45,1
236,28,57,Ward,2,3,Burnley,90,45,1
245,28,54,Heaton,1,3,Burnley,90,51,1
29,28,505,Masuaku,2,20,West Ham,21,47,0
40,28,56,Mee,2,3,Burnley,90,44,0
56,28,433,Dawson,2,19,West Brom,35,49,0
85,28,469,Valencia,4,6,Everton,11,52,0
112,28,452,Collins,2,20,West Ham,21,42,0
150,28,358,Naughton,2,16,Swansea,80,44,0
172,28,633,Olsson,2,16,Swansea,80,41,0
177,28,131,Pennington,2,6,Everton,11,39,0
213,28,209,Firmino,3,9,Liverpool,14,85,0
238,28,32,Steve Cook,2,2,Bournemouth,91,48,0
389,29,433,Dawson,2,19,West Brom,35,49,17
803,29,143,Lukaku,4,6,Everton,11,101,16
331,29,52,Afobe,4,2,Bournemouth,91,53,12
544,29,184,Vardy,4,8,Leicester,13,99,11
452,29,469,Valencia,4,6,Everton,11,52,10
541,29,306,Ward-Prowse,3,13,Southampton,20,50,10
560,29,266,Lingard,3,11,Man Utd,1,56,10
589,29,340,Pickford,1,15,Sunderland,56,42,10
668,29,462,Lanzini,3,20,West Ham,21,59,10
872,29,54,Heaton,1,3,Burnley,90,51,10
