,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
217,20,394,Kane,4,17,Spurs,6,131,17
23,20,14,Sánchez,3,12,Man Utd,1,114,15
61,20,388,Alli,3,17,Spurs,6,90,15
368,20,340,Arnautovic,3,20,West Ham,21,71,15
223,20,390,Son,3,17,Spurs,6,83,14
361,20,100,Alonso,2,5,Chelsea,8,71,14
554,20,223,Alexander-Arnold,2,10,Liverpool,14,44,14
272,20,279,Lingard,3,12,Man Utd,1,60,13
458,20,226,Coutinho,3,10,Liverpool,14,91,13
478,20,235,Firmino,4,10,Liverpool,14,95,13
38,20,131,Townsend,3,6,Crystal Palace,31,56,12
118,20,97,Azpilicueta,2,5,Chelsea,8,69,12
134,20,43,Gosling,3,2,Bournemouth,91,48,12
56,20,277,Young,3,12,Man Utd,1,48,11
466,20,247,Sterling,3,11,Man City,43,91,11
298,20,135,Pickford,1,7,Everton,11,49,10
553,20,182,Ince,3,8,Huddersfield,38,55,10
409,20,234,Salah,3,10,Liverpool,14,106,9
423,20,38,Aké,2,2,Bournemouth,91,50,9
22,20,28,Lacazette,4,1,Arsenal,3,103,8
26,20,19,Chamberlain,3,10,Liverpool,14,55,8
67,20,421,Foster,1,19,West Brom,35,43,8
127,20,483,Danilo,2,11,Man City,43,50,8
364,20,200,Albrighton,3,9,Leicester,13,55,8
399,20,146,Keane,2,7,Everton,11,53,8
410,20,197,Wagué,2,18,Watford,57,45,8
430,20,245,Otamendi,2,11,Man City,43,64,8
475,20,199,Mahrez,3,9,Leicester,13,87,8
519,20,12,Mustafi,2,1,Arsenal,3,54,8
83,20,48,Wilson,4,2,Bournemouth,91,56,7
87,20,105,Fàbregas,3,5,Chelsea,8,68,7
253,20,117,Tomkins,2,6,Crystal Palace,31,44,7
468,20,345,Sobhi,3,15,Stoke,110,45,7
522,20,213,Mignolet,1,10,Liverpool,14,47,7
523,20,322,Boufal,3,14,Southampton,20,57,7
531,20,85,Defour,3,4,Burnley,90,54,7
15,20,468,Hegazi,2,19,West Brom,35,46,6
35,20,475,Robertson,2,10,Liverpool,14,50,6
48,20,103,Rüdiger,2,5,Chelsea,8,58,6
55,20,143,Williams,2,7,Everton,11,52,6
116,20,464,Martina,2,7,Everton,11,41,6
160,20,318,Tadic,3,14,Southampton,20,62,6
163,20,240,Ederson,1,11,Man City,43,57,6
199,20,98,Cahill,2,5,Chelsea,8,62,6
246,20,441,Collins,2,20,West Ham,21,43,6
278,20,219,Matip,2,10,Liverpool,14,54,6
281,20,337,Allen,3,15,Stoke,110,51,6
292,20,145,Kenny,2,7,Everton,11,39,6
294,20,423,Evans,2,19,West Brom,35,49,6
322,20,252,De Bruyne,3,11,Man City,43,103,6
326,20,8,Gibbs,2,19,West Brom,35,50,6
333,20,379,Walker,2,11,Man City,43,66,6
378,20,144,Holgate,2,7,Everton,11,40,6
465,20,220,Klavan,2,10,Liverpool,14,41,6
541,20,94,Courtois,1,5,Chelsea,8,53,6
561,20,102,Moses,2,5,Chelsea,8,65,6
