,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
199,2,390,Son,3,Spurs,Spurs,6,96,24
192,2,388,Kane,4,Spurs,Spurs,6,119,21
135,2,164,Calvert-Lewin,4,Everton,Everton,11,75,17
397,2,68,Maupay,4,Brighton,Brighton,36,58,16
465,2,251,Mané,3,Liverpool,Liverpool,14,118,16
156,2,46,Konsa,2,Aston Villa,Aston Villa,7,46,15
523,2,141,Zaha,3,Crystal Palace,Crystal Palace,31,71,15
26,2,252,Alisson,1,Liverpool,Liverpool,14,60,14
202,2,205,Costa,3,Leeds,Leeds,2,50,14
422,2,202,Bamford,4,Leeds,Leeds,2,66,14
146,2,12,Martínez,1,Aston Villa,Aston Villa,7,53,13
196,2,235,Barnes,3,Leicester,Leicester,13,66,13
304,2,272,De Bruyne,3,Man City,Man City,43,118,13
18,2,184,Mitrović,4,Fulham,Fulham,54,55,12
230,2,508,Rodríguez,3,Everton,Everton,11,77,12
441,2,166,Richarlison,4,Everton,Everton,11,77,12
113,2,366,Ings,4,Southampton,Southampton,20,84,11
357,2,481,Pereira,3,West Brom,West Brom,35,54,10
513,2,41,Mings,2,Aston Villa,Aston Villa,7,54,10
34,2,137,Townsend,3,Crystal Palace,Crystal Palace,31,55,9
356,2,198,Klich,3,Leeds,Leeds,2,52,9
429,2,284,Foden,3,Man City,Man City,43,61,9
500,2,498,Castagne,2,Leicester,Leicester,13,58,9
0,2,78,Connolly,4,Brighton,Brighton,36,52,8
111,2,501,Ceballos,3,Arsenal,Arsenal,3,47,8
132,2,225,Praet,3,Leicester,Leicester,13,52,8
142,2,22,Nketiah,4,Arsenal,Arsenal,3,53,8
19,2,6,Lacazette,4,Arsenal,Arsenal,3,84,7
185,2,446,Diangana,3,West Brom,West Brom,35,50,7
225,2,239,Justin,2,Leicester,Leicester,13,48,7
249,2,142,Schlupp,3,Crystal Palace,Crystal Palace,31,53,7
378,2,156,Keane,2,Everton,Everton,11,50,7
510,2,259,Alexander-Arnold,2,Liverpool,Liverpool,14,78,7
516,2,250,van Dijk,2,Liverpool,Liverpool,14,62,7
10,2,66,Webster,2,Brighton,Brighton,36,43,6
32,2,255,Robertson,2,Liverpool,Liverpool,14,73,6
63,2,74,White,2,Brighton,Brighton,36,45,6
97,2,91,Wood,4,Burnley,Burnley,90,66,6
136,2,495,van de Beek,3,Man Utd,Man Utd,1,66,6
252,2,519,Dunne,2,Burnley,Burnley,90,38,6
317,2,69,Trossard,3,Brighton,Brighton,36,55,6
358,2,70,Ryan,1,Brighton,Arsenal,3,41,6
380,2,437,Antonio,4,West Ham,West Ham,21,67,6
