,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
49,10,142,James,2,Chelsea,Chelsea,8,62,21
474,10,23,Gabriel,2,Arsenal,Arsenal,3,53,15
445,10,110,Lowton,2,Burnley,Burnley,90,44,14
36,10,421,Rice,3,West Ham,West Ham,21,50,13
211,10,144,Gallagher,3,Crystal Palace,Crystal Palace,31,61,13
139,10,579,Ronaldo,4,Man Utd,Man Utd,1,122,12
181,10,420,Bowen,3,West Ham,West Ham,21,68,11
27,10,123,Jorginho,3,Chelsea,Chelsea,8,58,10
65,10,578,Cornet,3,Burnley,Burnley,90,59,10
151,10,559,Ramsdale,1,Arsenal,Arsenal,3,51,10
477,10,222,Henderson,3,Liverpool,Liverpool,14,50,10
585,10,331,Omobamidele,2,Norwich,Norwich,45,39,10
66,10,430,Jiménez,4,Wolves,Wolves,39,77,9
77,10,64,Trossard,3,Brighton,Brighton,36,59,9
94,10,462,Mwepu,3,Brighton,Brighton,36,59,9
144,10,342,Walker-Peters,2,Southampton,Southampton,20,48,9
171,10,174,Iwobi,3,Everton,Everton,11,58,9
205,10,196,Raphinha,3,Leeds,Leeds,2,65,9
340,10,21,Smith Rowe,3,Arsenal,Arsenal,3,57,9
101,10,135,Chilwell,2,Chelsea,Chelsea,8,56,8
123,10,343,Bednarek,2,Southampton,Southampton,20,44,8
162,10,154,Zaha,3,Crystal Palace,Crystal Palace,31,68,8
335,10,474,Ward,2,Crystal Palace,Crystal Palace,31,45,8
339,10,425,Johnson,2,West Ham,West Ham,21,39,8
384,10,439,Kilman,2,Wolves,Wolves,39,46,8
398,10,334,McCarthy,1,Southampton,Southampton,20,43,8
432,10,269,Cavani,4,Man Utd,Man Utd,1,84,8
88,10,230,Mané,3,Liverpool,Liverpool,14,117,7
98,10,345,Adams,4,Southampton,Southampton,20,69,7
281,10,40,Watkins,4,Aston Villa,Aston Villa,7,75,7
401,10,288,Wan-Bissaka,2,Man Utd,Man Utd,1,51,7
423,10,146,Guaita,1,Crystal Palace,Crystal Palace,31,46,7
596,10,227,Chamberlain,3,Liverpool,Liverpool,14,58,7
4,10,277,Fernandes,3,Man Utd,Man Utd,1,116,6
105,10,281,Rashford,3,Man Utd,Man Utd,1,94,6
112,10,22,Saka,3,Arsenal,Arsenal,3,67,6
134,10,466,Tavares,2,Arsenal,Arsenal,3,43,6
172,10,143,Mendy,1,Chelsea,Chelsea,8,61,6
175,10,477,Guéhi,2,Crystal Palace,Crystal Palace,31,45,6
219,10,187,Rodrigo,4,Leeds,Leeds,2,62,6
229,10,127,Rüdiger,2,Chelsea,Chelsea,8,61,6
278,10,590,Tomiyasu,2,Arsenal,Arsenal,3,46,6
308,10,423,Fornals,3,West Ham,West Ham,21,60,6
353,10,491,Livramento,2,Southampton,Southampton,20,44,6
357,10,113,Taylor,2,Burnley,Burnley,90,44,6
364,10,109,Wood,4,Burnley,Newcastle,4,67,6
440,10,150,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,6
516,10,488,Andersen,2,Crystal Palace,Crystal Palace,31,45,6
526,10,162,Mitchell,2,Crystal Palace,Crystal Palace,31,45,6
528,10,133,Christensen,2,Chelsea,Chelsea,8,46,6
530,10,270,de Gea,1,Man Utd,Man Utd,1,51,6
531,10,284,Lindelöf,2,Man Utd,Man Utd,1,48,6
567,10,141,Havertz,3,Chelsea,Chelsea,8,79,6
574,10,169,Keane,2,Everton,Everton,11,47,6
600,10,67,White,2,Arsenal,Arsenal,3,45,6
602,10,121,Thiago Silva,2,Chelsea,Chelsea,8,57,6
78,10,77,Nørgaard,3,Brentford,Brentford,94,50,5
160,10,233,Salah,3,Liverpool,Liverpool,14,133,5
226,10,419,Benrahma,3,West Ham,West Ham,21,59,5
279,10,191,Phillips,3,Leeds,Leeds,2,47,5
322,10,525,A.Armstrong,4,Southampton,Southampton,20,57,5
336,10,449,Rashica,3,Norwich,Norwich,45,52,5
391,10,287,James,3,Leeds,Leeds,2,60,5
417,10,60,March,3,Brighton,Brighton,36,53,5
464,10,53,Lallana,3,Brighton,Brighton,36,53,5
470,10,85,Ghoddos,3,Brentford,Brentford,94,53,5
615,10,351,Salisu,2,Southampton,Southampton,20,45,5
81,10,271,Matic,3,Man Utd,Man Utd,1,43,4
106,10,470,Ait Nouri,2,Wolves,Wolves,39,44,4
187,10,416,Lanzini,3,West Ham,West Ham,21,57,4
191,10,132,Loftus-Cheek,3,Chelsea,Chelsea,8,54,4
306,10,43,Buendía,3,Aston Villa,Aston Villa,7,62,4
481,10,118,McNeil,3,Burnley,Burnley,90,56,4
6,10,148,McArthur,3,Crystal Palace,Crystal Palace,31,43,3
62,10,15,Partey,3,Arsenal,Arsenal,3,50,3
145,10,517,Elyounoussi,3,Southampton,Southampton,20,54,3
155,10,478,Sambi Lokonga,3,Arsenal,Arsenal,3,48,3
258,10,335,Romeu,3,Southampton,Southampton,20,45,3
330,10,475,Sá,1,Wolves,Wolves,39,53,3
380,10,140,Hudson-Odoi,3,Chelsea,Chelsea,8,53,3
489,10,112,Pope,1,Burnley,Burnley,90,54,3
620,10,336,Redmond,3,Southampton,Southampton,20,59,3
3,10,341,Ward-Prowse,3,Southampton,Southampton,20,65,2
17,10,468,King,4,Watford,Watford,57,57,2
18,10,180,Richarlison,4,Everton,Everton,11,75,2
23,10,184,Cooper,2,Leeds,Leeds,2,44,2
68,10,458,Soumaré,3,Leicester,Leicester,13,48,2
73,10,298,Fraser,3,Newcastle,Newcastle,4,53,2
90,10,75,Moder,3,Brighton,Brighton,36,45,2
104,10,583,Hwang,4,Wolves,Wolves,39,54,2
116,10,256,Cancelo,2,Man City,Man City,43,69,2
117,10,41,Nakamba,3,Aston Villa,Aston Villa,7,44,2
120,10,108,Gudmundsson,3,Burnley,Burnley,90,54,2
130,10,426,Moutinho,3,Wolves,Wolves,39,49,2
153,10,190,Llorente,2,Leeds,Leeds,2,45,2
166,10,106,Mee,2,Burnley,Burnley,90,47,2
186,10,461,Trincão,3,Wolves,Wolves,39,56,2
188,10,354,Sissoko,3,Watford,Watford,57,44,2
208,10,436,Neves,3,Wolves,Wolves,39,53,2
221,10,296,Wilson,4,Newcastle,Newcastle,4,72,2
228,10,484,Gray,3,Everton,Everton,11,55,2
238,10,81,Canós,3,Brentford,Brentford,94,55,2
242,10,399,Sarr,3,Watford,Watford,57,57,2
248,10,408,Fabianski,1,West Ham,West Ham,21,50,2
269,10,263,Jesus,4,Man City,Man City,43,84,2
289,10,314,Krul,1,Norwich,Norwich,45,45,2
293,10,266,Rodrigo,3,Man City,Man City,43,55,2
297,10,131,Ziyech,3,Chelsea,Chelsea,8,73,2
305,10,231,Alisson,1,Liverpool,Liverpool,14,60,2
310,10,482,Townsend,3,Everton,Everton,11,52,2
319,10,171,Allan,3,Everton,Everton,11,43,2
323,10,516,Sargent,4,Norwich,Norwich,45,54,2
333,10,307,Saint-Maximin,4,Newcastle,Newcastle,4,68,2
358,10,581,Normann,3,Norwich,Norwich,45,45,2
365,10,437,Semedo,2,Wolves,Wolves,39,48,2
367,10,431,Saïss,2,Wolves,Wolves,39,51,2
385,10,315,Pukki,4,Norwich,Norwich,45,58,2
394,10,376,Foster,1,Watford,Watford,57,41,2
403,10,188,Dallas,3,Leeds,Leeds,2,49,2
412,10,78,Toney,4,Brentford,Brentford,94,67,2
416,10,212,Maddison,3,Leicester,Leicester,13,68,2
418,10,586,Edouard,4,Crystal Palace,Crystal Palace,31,62,2
434,10,365,Højbjerg,3,Spurs,Spurs,6,49,2
439,10,98,Tarkowski,2,Burnley,Burnley,90,49,2
460,10,429,Coady,2,Wolves,Wolves,39,49,2
471,10,199,Meslier,1,Leeds,Leeds,2,48,2
494,10,359,Son,3,Spurs,Spurs,6,109,2
510,10,357,Kane,4,Spurs,Spurs,6,125,2
520,10,115,Brownhill,3,Burnley,Burnley,90,43,2
524,10,274,Fred,3,Man Utd,Man Utd,1,49,2
537,10,422,Soucek,3,West Ham,West Ham,21,57,2
552,10,413,Antonio,4,West Ham,West Ham,21,75,2
570,10,492,Bailey,3,Aston Villa,Aston Villa,7,63,2
599,10,200,Schmeichel,1,Leicester,Leicester,13,48,2
606,10,128,Zouma,2,West Ham,West Ham,21,54,2
616,10,130,Kanté,3,Chelsea,Chelsea,8,49,2
28,10,240,Jota,3,Liverpool,Liverpool,14,83,1
42,10,52,Young,2,Aston Villa,Aston Villa,7,47,1
51,10,552,Forshaw,3,Leeds,Leeds,2,45,1
85,10,318,McLean,3,Norwich,Norwich,45,49,1
111,10,35,McGinn,3,Aston Villa,Aston Villa,7,57,1
121,10,361,Dier,2,Spurs,Spurs,6,46,1
129,10,76,Jansson,2,Brentford,Brentford,94,45,1
161,10,255,Sterling,3,Man City,Man City,43,105,1
164,10,69,Sánchez,1,Brighton,Brighton,36,46,1
176,10,111,Vydra,4,Burnley,Burnley,90,52,1
214,10,83,Henry,2,Brentford,Brentford,94,45,1
224,10,229,van Dijk,2,Liverpool,Liverpool,14,68,1
227,10,326,Aarons,2,Norwich,Norwich,45,43,1
256,10,319,Hanley,2,Norwich,Norwich,45,44,1
257,10,30,Martínez,1,Aston Villa,Aston Villa,7,55,1
264,10,252,Stones,2,Man City,Man City,43,52,1
268,10,588,Emerson Royal,2,Spurs,Spurs,6,46,1
282,10,91,Pinnock,2,Brentford,Brentford,94,45,1
284,10,84,Janelt,3,Brentford,Brentford,94,49,1
296,10,587,Lookman,3,Leicester,Leicester,13,60,1
304,10,205,Vardy,4,Leicester,Leicester,13,103,1
311,10,291,Shelvey,3,Newcastle,Newcastle,4,53,1
346,10,149,Benteke,4,Crystal Palace,Crystal Palace,31,60,1
347,10,254,Mahrez,3,Man City,Man City,43,87,1
349,10,479,Onyeka,3,Brentford,Brentford,94,49,1
363,10,503,Gordon,3,Everton,Everton,11,45,1
376,10,362,Lucas Moura,3,Spurs,Spurs,6,61,1
402,10,62,Veltman,2,Brighton,Brighton,36,42,1
405,10,179,Godfrey,2,Everton,Everton,11,47,1
409,10,584,Cucurella,2,Brighton,Brighton,36,50,1
413,10,59,Dunk,2,Brighton,Brighton,36,48,1
420,10,249,Walker,2,Man City,Man City,43,54,1
421,10,306,Hayden,3,Newcastle,Newcastle,4,45,1
436,10,237,Alexander-Arnold,2,Liverpool,Liverpool,14,85,1
448,10,262,Dias,2,Man City,Man City,43,62,1
457,10,261,Bernardo,3,Man City,Man City,43,71,1
467,10,353,Lloris,1,Spurs,Spurs,6,54,1
500,10,51,Ramsey,3,Aston Villa,Aston Villa,7,48,1
505,10,19,Willock,3,Newcastle,Newcastle,4,57,1
513,10,215,Barnes,3,Leicester,Leicester,13,66,1
529,10,267,Harrison,3,Leeds,Leeds,2,55,1
554,10,70,Bissouma,3,Brighton,Brighton,36,44,1
563,10,170,Pickford,1,Everton,Everton,11,49,1
569,10,558,Ødegaard,3,Arsenal,Arsenal,3,55,1
594,10,556,Fernández,1,Brentford,Brentford,94,45,1
603,10,438,Podence,3,Wolves,Wolves,39,55,1
22,10,257,Ederson,1,Man City,Man City,43,61,0
25,10,39,Targett,2,Aston Villa,Newcastle,4,47,0
29,10,250,Gündogan,3,Man City,Man City,43,71,0
54,10,38,Mings,2,Aston Villa,Aston Villa,7,50,0
57,10,145,Gilmour,3,Norwich,Norwich,45,43,0
59,10,453,Fernandinho,3,Man City,Man City,43,47,0
64,10,382,Femenía,2,Watford,Watford,57,43,0
70,10,450,Dennis,4,Watford,Watford,57,60,0
84,10,290,Williams,2,Norwich,Norwich,45,39,0
92,10,527,Chalobah,2,Chelsea,Chelsea,8,47,0
103,10,234,Robertson,2,Liverpool,Liverpool,14,72,0
113,10,236,Minamino,3,Liverpool,Liverpool,14,51,0
127,10,232,Fabinho,3,Liverpool,Liverpool,14,54,0
137,10,138,Mount,3,Chelsea,Chelsea,8,75,0
140,10,282,van de Beek,3,Man Utd,Everton,11,57,0
220,10,494,Romero,2,Spurs,Spurs,6,48,0
222,10,224,Matip,2,Liverpool,Liverpool,14,49,0
260,10,137,Pulisic,3,Chelsea,Chelsea,8,79,0
287,10,96,Mbeumo,3,Brentford,Brentford,94,52,0
316,10,87,Goode,2,Brentford,Brentford,94,39,0
332,10,44,Cash,2,Aston Villa,Aston Villa,7,53,0
343,10,310,Joelinton,4,Newcastle,Newcastle,4,58,0
368,10,456,Gibson,2,Norwich,Norwich,45,44,0
386,10,12,Elneny,3,Arsenal,Arsenal,3,44,0
395,10,61,Webster,2,Brighton,Brighton,36,43,0
430,10,71,Lamptey,2,Brighton,Brighton,36,45,0
492,10,26,Martinelli,3,Arsenal,Arsenal,3,53,0
512,10,165,Coleman,2,Everton,Everton,11,49,0
514,10,370,Reguilón,2,Spurs,Spurs,6,52,0
521,10,404,João Pedro,4,Watford,Watford,57,54,0
535,10,63,Maupay,4,Brighton,Brighton,36,65,0
543,10,364,Davies,2,Spurs,Spurs,6,44,0
557,10,201,Evans,2,Leicester,Leicester,13,54,0
587,10,225,Thiago,3,Liverpool,Liverpool,14,53,0
590,10,168,Digne,2,Everton,Aston Villa,7,51,0
605,10,485,Sancho,3,Man Utd,Man Utd,1,89,0
618,10,216,Ndidi,3,Leicester,Leicester,13,48,0
739,11,256,Cancelo,2,Man City,Man City,43,69,14
931,11,423,Fornals,3,West Ham,West Ham,21,60,12
1060,11,237,Alexander-Arnold,2,Liverpool,Liverpool,14,85,12
834,11,144,Gallagher,3,Crystal Palace,Crystal Palace,31,61,11
1017,11,376,Foster,1,Watford,Watford,57,41,11
700,11,64,Trossard,3,Brighton,Brighton,36,59,10
837,11,83,Henry,2,Brentford,Brentford,94,45,10
1045,11,306,Hayden,3,Newcastle,Newcastle,4,45,10
1137,11,215,Barnes,3,Leicester,Leicester,13,66,10
804,11,420,Bowen,3,West Ham,West Ham,21,68,9
828,11,196,Raphinha,3,Leeds,Leeds,2,65,9
945,11,525,A.Armstrong,4,Southampton,Southampton,20,57,9
981,11,581,Normann,3,Norwich,Norwich,45,45,9
1008,11,315,Pukki,4,Norwich,Norwich,45,58,9
1022,11,334,McCarthy,1,Southampton,Southampton,20,43,9
744,11,361,Dier,2,Spurs,Spurs,6,46,8
746,11,343,Bednarek,2,Southampton,Southampton,20,44,8
785,11,154,Zaha,3,Crystal Palace,Crystal Palace,31,68,8
843,11,494,Romero,2,Spurs,Spurs,6,48,8
963,11,21,Smith Rowe,3,Arsenal,Arsenal,3,57,8
1044,11,249,Walker,2,Man City,Man City,43,54,8
1064,11,150,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,8
1081,11,261,Bernardo,3,Man City,Man City,43,71,8
1191,11,141,Havertz,3,Chelsea,Chelsea,8,79,8
1224,11,67,White,2,Arsenal,Arsenal,3,45,8
672,11,142,James,2,Chelsea,Chelsea,8,62,7
774,11,559,Ramsdale,1,Arsenal,Arsenal,3,51,7
798,11,477,Guéhi,2,Crystal Palace,Crystal Palace,31,45,7
799,11,111,Vydra,4,Burnley,Burnley,90,52,7
1214,11,168,Digne,2,Everton,Aston Villa,7,51,7
1230,11,128,Zouma,2,West Ham,West Ham,21,54,7
