,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
280,17,311,Rodriguez,3,13,Southampton,20,59,15
479,17,344,van Aanholt,2,5,Crystal Palace,31,49,15
132,17,77,Azpilicueta,2,4,Chelsea,8,64,12
613,17,272,Ibrahimovic,4,11,Man Utd,1,114,12
615,17,478,Negredo,4,12,Middlesbrough,25,61,12
143,17,383,Rose,2,17,Spurs,6,58,11
136,17,182,Amartey,3,8,Leicester,13,43,10
403,17,458,Noble,3,20,West Ham,21,62,10
405,17,290,de Roon,3,12,Middlesbrough,25,43,10
523,17,212,Mané,3,9,Liverpool,14,93,10
68,17,398,Alli,3,17,Spurs,6,91,9
86,17,335,Bojan,3,14,Stoke,110,55,9
496,17,474,Klavan,2,9,Liverpool,14,44,9
497,17,228,Sterling,3,10,Man City,43,75,9
606,17,453,Reid,2,20,West Ham,21,49,9
11,17,286,Forshaw,3,12,Middlesbrough,25,45,8
75,17,278,Gibson,2,12,Middlesbrough,25,49,8
148,17,451,Randolph,1,20,West Ham,21,44,8
210,17,78,Cahill,2,4,Chelsea,8,67,8
276,17,476,Denayer,2,15,Sunderland,56,47,8
313,17,340,Pickford,1,15,Sunderland,56,42,8
366,17,489,Sané,3,10,Man City,43,77,8
413,17,251,Darmian,2,11,Man Utd,1,50,8
451,17,36,Aké,2,4,Chelsea,8,39,8
519,17,296,Bertrand,2,13,Southampton,20,56,8
0,17,454,Cresswell,2,20,West Ham,21,51,7
153,17,570,David Luiz,2,4,Chelsea,8,62,7
256,17,17,Wilshere,3,2,Bournemouth,91,58,7
295,17,202,Allen,3,14,Stoke,110,49,7
345,17,235,De Bruyne,3,10,Man City,43,105,7
450,17,193,Clyne,2,9,Liverpool,14,59,7
9,17,283,Clayton,3,12,Middlesbrough,25,43,6
52,17,456,Ogbonna,2,20,West Ham,21,47,6
55,17,477,Barragán,2,12,Middlesbrough,25,43,6
56,17,250,Valencia,2,11,Man Utd,1,58,6
98,17,11,Chambers,2,12,Middlesbrough,25,43,6
151,17,242,de Gea,1,11,Man Utd,1,55,6
165,17,97,Costa,4,4,Chelsea,8,104,6
174,17,506,Love,2,15,Sunderland,56,38,6
195,17,527,Fabio,2,12,Middlesbrough,25,42,6
211,17,491,Ramírez,3,12,Middlesbrough,25,52,6
355,17,384,Walker,2,17,Spurs,6,62,6
363,17,185,Ulloa,4,8,Leicester,13,55,6
389,17,561,Alonso,2,4,Chelsea,8,69,6
390,17,248,Rojo,2,11,Man Utd,1,52,6
430,17,464,Antonio,3,20,West Ham,21,67,6
476,17,499,Djilobodji,2,15,Sunderland,56,42,6
494,17,245,Jones,2,11,Man Utd,1,45,6
549,17,188,Mignolet,1,9,Liverpool,14,48,6
571,17,73,Courtois,1,4,Chelsea,8,59,6
595,17,274,Valdés,1,12,Middlesbrough,25,45,6
29,17,12,Sánchez,3,1,Arsenal,3,117,5
60,17,70,Barnes,4,3,Burnley,90,46,5
158,17,230,Silva,3,10,Man City,43,86,5
161,17,191,Lovren,2,9,Liverpool,14,49,5
286,17,355,Defoe,4,15,Sunderland,56,74,5
288,17,266,Lingard,3,11,Man Utd,1,56,5
111,17,168,Fuchs,2,8,Leicester,13,53,4
141,17,214,Sturridge,4,9,Liverpool,14,97,4
162,17,181,Gray,3,8,Leicester,13,48,4
12,17,205,Lallana,3,9,Liverpool,14,67,3
42,17,262,Herrera,3,11,Man Utd,1,62,3
108,17,459,Kouyaté,3,20,West Ham,21,50,3
164,17,559,Ndong,3,15,Sunderland,56,48,3
168,17,461,Payet,3,20,West Ham,21,90,3
178,17,82,Hazard,3,4,Chelsea,8,105,3
205,17,294,Forster,1,13,Southampton,20,50,3
218,17,485,Wijnaldum,3,9,Liverpool,14,75,3
240,17,407,Gomes,1,18,Watford,57,49,3
265,17,208,Milner,3,9,Liverpool,14,63,3
312,17,201,Henderson,3,9,Liverpool,14,62,3
360,17,574,Grant,1,14,Stoke,110,43,3
424,17,259,Carrick,3,11,Man Utd,1,42,3
442,17,572,Sissoko,3,17,Spurs,6,66,3
455,17,87,Matic,3,4,Chelsea,8,48,3
481,17,503,Pogba,3,11,Man Utd,1,82,3
508,17,209,Firmino,3,9,Liverpool,14,85,3
580,17,54,Heaton,1,3,Burnley,90,51,3
588,17,92,Moses,3,4,Chelsea,8,55,3
597,17,100,Hennessey,1,5,Crystal Palace,31,43,3
603,17,86,Willian,3,4,Chelsea,8,70,3
1,17,142,Lennon,3,6,Everton,11,55,2
17,17,261,Januzaj,3,15,Sunderland,56,53,2
20,17,158,Elmohamady,3,7,Hull,88,46,2
27,17,220,Kolarov,2,10,Man City,43,58,2
32,17,21,Iwobi,3,1,Arsenal,3,53,2
45,17,152,Robertson,2,7,Hull,88,44,2
47,17,68,Gray,4,3,Burnley,90,60,2
50,17,468,Carroll,4,20,West Ham,21,59,2
59,17,29,Boruc,1,2,Bournemouth,91,45,2
62,17,359,Williams,2,6,Everton,11,52,2
74,17,430,Foster,1,19,West Brom,35,47,2
97,17,49,Callum Wilson,4,2,Bournemouth,91,60,2
110,17,394,Eriksen,3,17,Spurs,6,89,2
112,17,414,Kabasele,2,18,Watford,57,48,2
118,17,541,Bravo,1,10,Man City,43,50,2
119,17,442,Yacob,3,19,West Brom,35,43,2
130,17,149,Davies,2,7,Hull,88,49,2
147,17,439,Fletcher,3,19,West Brom,35,44,2
160,17,64,Marney,3,3,Burnley,90,43,2
166,17,569,Mbokani,4,7,Hull,88,54,2
170,17,217,Origi,4,9,Liverpool,14,60,2
185,17,469,Valencia,4,6,Everton,11,52,2
187,17,390,Dier,3,17,Spurs,6,50,2
191,17,416,Capoue,3,18,Watford,57,45,2
196,17,354,Borini,4,15,Sunderland,56,51,2
199,17,500,Llorente,4,16,Swansea,80,63,2
212,17,223,Clichy,2,10,Man City,43,52,2
215,17,62,Boyd,3,3,Burnley,90,51,2
224,17,24,Xhaka,3,1,Arsenal,3,52,2
