,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
356,220,39,Foden,3,11,Man City,43,55,22
344,217,39,Mahrez,3,11,Man City,43,86,21
396,251,39,Ritchie,2,13,Newcastle,4,53,18
340,215,39,De Bruyne,3,11,Man City,43,106,15
40,25,39,Hause,2,2,Aston Villa,7,44,13
484,323,39,Armstrong,3,16,Southampton,20,52,13
684,471,39,Henderson,1,15,Sheffield Utd,49,52,13
168,123,39,van Aanholt,2,7,Crystal Palace,31,56,12
332,212,39,Ederson,1,11,Man City,43,61,12
352,219,39,David Silva,3,11,Man City,43,75,12
564,401,39,Doherty,2,20,Wolves,39,65,12
132,105,39,Azpilicueta,2,6,Chelsea,8,61,11
228,161,39,Chilwell,2,9,Leicester,13,54,11
348,218,39,Bernardo Silva,3,11,Man City,43,76,11
468,313,39,Ings,4,16,Southampton,20,76,11
792,615,39,Bergwijn,3,17,Spurs,6,69,11
68,42,39,Dunk,2,4,Brighton,36,48,10
188,134,39,Milivojevic,3,7,Crystal Palace,31,67,10
280,189,39,Alisson,1,10,Liverpool,14,62,10
336,214,39,Sterling,3,11,Man City,43,120,10
712,500,39,Saint-Maximin,3,13,Newcastle,4,52,10
212,148,39,Pickford,1,8,Everton,11,52,9
476,320,39,Redmond,3,16,Southampton,20,62,9
636,439,39,Dawson,2,18,Watford,57,48,9
720,502,39,Maupay,4,4,Brighton,36,57,9
784,611,39,Jack Robinson,2,15,Sheffield Utd,49,40,9
800,618,39,Fernandes,3,12,Man Utd,1,90,9
44,27,39,Nyland,1,2,Aston Villa,7,43,8
144,110,39,Giroud,4,6,Chelsea,8,67,8
324,210,39,Agüero,4,11,Man City,43,116,8
532,355,39,Masina,2,18,Watford,57,43,8
584,409,39,Jiménez,4,20,Wolves,39,80,8
640,445,39,Mings,2,2,Aston Villa,7,44,8
700,488,39,Pépé,3,1,Arsenal,3,89,8
268,182,39,Alexander-Arnold,2,10,Liverpool,14,77,7
304,202,39,Laporte,2,11,Man City,43,63,7
312,204,39,Mendy,2,11,Man City,43,55,7
424,271,39,Hayden,3,13,Newcastle,4,44,7
432,291,39,Stevens,2,15,Sheffield Utd,49,52,7
436,294,39,Baldock,2,15,Sheffield Utd,49,50,7
464,309,39,Targett,2,2,Aston Villa,7,43,7
580,407,39,Saïss,2,20,Wolves,39,47,7
616,423,39,Basham,2,15,Sheffield Utd,49,46,7
624,431,39,Pulisic,3,6,Chelsea,8,74,7
724,503,39,Cahill,2,7,Crystal Palace,31,43,7
760,541,39,Saka,3,1,Arsenal,3,47,7
172,126,39,Ward,2,7,Crystal Palace,31,43,6
176,127,39,Dann,2,7,Crystal Palace,31,43,6
180,131,39,Guaita,1,7,Crystal Palace,31,49,6
184,133,39,Zaha,3,7,Crystal Palace,31,66,6
204,144,39,Coleman,2,8,Everton,11,53,6
272,183,39,van Dijk,2,10,Liverpool,14,65,6
308,203,39,Walker,2,11,Man City,43,57,6
316,206,39,Zinchenko,2,11,Man City,43,52,6
320,208,39,Otamendi,2,11,Man City,43,48,6
328,211,39,Jesus,4,11,Man City,43,99,6
400,254,39,Fernández,2,13,Newcastle,4,46,6
404,256,39,Manquillo,2,13,Newcastle,4,43,6
412,262,39,Dubravka,1,13,Newcastle,4,51,6
416,266,39,Almirón,3,13,Newcastle,4,58,6
452,305,39,Bertrand,2,16,Southampton,20,48,6
456,307,39,Bednarek,2,16,Southampton,20,44,6
460,308,39,Stephens,2,16,Southampton,20,44,6
472,318,39,McCarthy,1,16,Southampton,20,45,6
492,332,39,Rose,2,13,Newcastle,4,53,6
536,357,39,Kiko Femenía,2,18,Watford,57,42,6
568,402,39,Jonny,2,20,Wolves,39,55,6
572,403,39,Coady,2,20,Wolves,39,51,6
576,405,39,Boly,2,20,Wolves,39,49,6
588,411,39,Patrício,1,20,Wolves,39,53,6
656,452,39,Konsa,2,2,Aston Villa,7,43,6
692,478,39,Holgate,2,8,Everton,11,42,6
752,528,39,Neto,3,20,Wolves,39,49,6
764,544,39,Garcia,2,11,Man City,43,45,6
48,28,39,Hourihane,3,2,Aston Villa,7,57,5
56,30,39,El Ghazi,3,2,Aston Villa,7,52,5
60,31,39,McGinn,3,2,Aston Villa,7,52,5
196,141,39,Digne,2,8,Everton,11,59,5
200,143,39,Keane,2,8,Everton,11,52,5
408,258,39,Lascelles,2,13,Newcastle,4,42,5
448,302,39,Norwood,3,15,Sheffield Utd,49,47,5
500,336,39,Aurier,2,17,Spurs,6,51,5
512,340,39,Lloris,1,17,Spurs,6,53,5
668,466,39,Joelinton,4,13,Newcastle,4,55,5
672,468,39,Ayew,4,7,Crystal Palace,31,51,5
736,518,39,Cancelo,2,11,Man City,43,51,5
808,621,39,Berge,3,15,Sheffield Utd,49,47,5
16,11,39,Aubameyang,4,1,Arsenal,3,109,4
52,29,39,Grealish,3,2,Aston Villa,7,59,4
64,34,39,Davis,3,2,Aston Villa,7,42,4
256,175,39,Gray,3,9,Leicester,13,50,4
384,238,39,Pogba,3,12,Man Utd,1,83,4
444,298,39,Sharp,4,15,Sheffield Utd,49,52,4
600,417,39,Traoré,3,20,Wolves,39,56,4
676,469,39,Ceballos,3,1,Arsenal,3,52,4
680,470,39,Douglas Luiz,3,2,Aston Villa,7,43,4
716,501,39,McBurnie,4,15,Sheffield Utd,49,55,4
756,534,39,Connolly,4,4,Brighton,36,42,4
24,13,39,Nketiah,4,1,Arsenal,3,43,3
28,17,39,Iwobi,3,8,Everton,11,56,3
72,47,39,Ryan,1,4,Brighton,36,47,3
148,111,39,Kepa,1,6,Chelsea,8,54,3
192,138,39,McArthur,3,7,Crystal Palace,31,52,3
216,150,39,Richarlison,3,8,Everton,11,82,3
248,168,39,Schmeichel,1,9,Leicester,13,55,3
252,172,39,Barnes,3,9,Leicester,13,58,3
288,192,39,Mané,3,10,Liverpool,14,121,3
292,196,39,Keita,3,10,Liverpool,14,58,3
296,197,39,Fabinho,3,10,Liverpool,14,54,3
300,198,39,Henderson,3,10,Liverpool,14,52,3
360,222,39,Gündogan,3,11,Man City,43,51,3
420,269,39,Shelvey,3,13,Newcastle,4,49,3
428,280,39,Krul,1,14,Norwich,45,46,3
440,295,39,Egan,2,15,Sheffield Utd,49,47,3
480,321,39,Ward-Prowse,3,16,Southampton,20,57,3
592,414,39,Neves,3,20,Wolves,39,52,3
604,420,39,Dendoncker,3,20,Wolves,39,44,3
612,422,39,André Gomes,3,8,Everton,11,52,3
704,490,39,Willock,3,1,Arsenal,3,47,3
0,1,39,Mustafi,2,1,Arsenal,3,51,2
4,2,39,Bellerín,2,1,Arsenal,3,52,2
20,12,39,Lacazette,4,1,Arsenal,3,92,2
76,53,39,Bissouma,3,4,Brighton,36,50,2
112,92,39,Vydra,4,5,Burnley,90,51,2
120,97,39,McNeil,3,5,Burnley,90,60,2
124,101,39,Westwood,3,5,Burnley,90,55,2
128,102,39,Cork,3,5,Burnley,90,49,2
140,108,39,Christensen,2,6,Chelsea,8,48,2
152,113,39,Willian,3,6,Chelsea,8,73,2
164,122,39,Wan-Bissaka,2,12,Man Utd,1,55,2
208,147,39,Calvert-Lewin,4,8,Everton,11,61,2
224,160,39,Maguire,2,12,Man Utd,1,53,2
232,162,39,Evans,2,9,Leicester,13,53,2
236,164,39,Söyüncü,2,9,Leicester,13,49,2
240,166,39,Vardy,4,9,Leicester,13,97,2
260,176,39,Ndidi,3,9,Leicester,13,50,2
364,225,39,Lindelöf,2,12,Man Utd,1,53,2
368,226,39,Shaw,2,12,Man Utd,1,54,2
372,233,39,Rashford,4,12,Man Utd,1,89,2
380,235,39,de Gea,1,12,Man Utd,1,53,2
388,239,39,Martial,3,12,Man Utd,1,85,2
488,329,39,Davies,2,17,Spurs,6,53,2
496,333,39,Sánchez,2,17,Spurs,6,53,2
508,338,39,Kane,4,17,Spurs,6,110,2
516,342,39,Son,3,17,Spurs,6,97,2
524,349,39,Sissoko,3,17,Spurs,6,48,2
528,350,39,Dier,3,17,Spurs,6,48,2
540,362,39,Deeney,4,18,Watford,57,62,2
544,366,39,Foster,1,18,Watford,57,49,2
548,370,39,Hughes,3,18,Watford,57,53,2
560,395,39,Rice,3,19,West Ham,21,47,2
596,415,39,Moutinho,3,20,Wolves,39,53,2
608,421,39,Trossard,3,4,Brighton,36,58,2
628,433,39,Justin,2,9,Leicester,13,47,2
648,448,39,Tielemans,3,9,Leicester,13,61,2
664,463,39,Mount,3,6,Chelsea,8,60,2
708,493,39,Webster,2,4,Brighton,36,44,2
748,525,39,Sarr,3,18,Watford,57,59,2
