,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
171,27,394,Deulofeu,3,18,Watford,57,57,23
457,27,396,Deeney,4,18,Watford,57,58,15
183,27,18,Mkhitaryan,3,1,Arsenal,3,66,14
470,27,151,Zaha,4,7,Crystal Palace,31,70,13
410,27,493,Rondón,4,15,Newcastle,4,59,12
33,27,468,Alisson,1,12,Liverpool,14,59,10
100,27,87,Wood,4,4,Burnley,90,63,9
216,27,419,Chicharito,4,19,West Ham,21,61,9
295,27,150,Milivojevic,3,7,Crystal Palace,31,65,9
37,27,247,Robertson,2,12,Liverpool,14,67,8
179,27,372,Kane,4,17,Spurs,6,126,8
191,27,323,Hayden,3,15,Newcastle,4,43,8
194,27,409,Diop,2,19,West Ham,21,42,8
392,27,489,Snodgrass,3,19,West Ham,21,50,8
420,27,8,Kolasinac,2,1,Arsenal,3,49,8
23,27,22,Lacazette,4,1,Arsenal,3,94,7
56,27,85,Barnes,4,4,Burnley,90,56,7
71,27,2,Leno,1,1,Arsenal,3,49,7
204,27,147,McArthur,3,7,Crystal Palace,31,49,7
242,27,222,Evans,2,11,Leicester,13,48,7
250,27,45,King,4,2,Bournemouth,91,64,7
331,27,415,Antonio,3,19,West Ham,21,68,7
333,27,592,Batshuayi,4,7,Crystal Palace,31,62,7
382,27,437,Jiménez,4,20,Wolves,39,69,7
400,27,575,Babel,3,9,Fulham,54,56,7
464,27,246,van Dijk,2,12,Liverpool,14,67,7
7,27,390,Doucouré,3,18,Watford,57,58,6
25,27,15,Iwobi,3,1,Arsenal,3,54,6
45,27,403,Ogbonna,2,19,West Ham,21,42,6
60,27,326,Pérez,4,15,Newcastle,4,61,6
99,27,284,Smalling,2,14,Man Utd,1,56,6
125,27,282,de Gea,1,14,Man Utd,1,57,6
152,27,482,Schär,2,15,Newcastle,4,45,6
161,27,314,Lejeune,2,15,Newcastle,4,44,6
202,27,312,Lascelles,2,15,Newcastle,4,47,6
226,27,243,Matip,2,12,Liverpool,14,49,6
297,27,286,Shaw,2,14,Man Utd,1,51,6
312,27,309,Dubravka,1,15,Newcastle,4,50,6
429,27,7,Mustafi,2,1,Arsenal,3,54,6
433,27,12,Sokratis,2,1,Arsenal,3,51,6
462,27,292,Lindelöf,2,14,Man Utd,1,49,6
58,27,293,Young,2,14,Man Utd,1,57,5
115,27,354,Rose,2,17,Spurs,6,58,5
127,27,310,Yedlin,2,15,Newcastle,4,45,5
139,27,534,McNeil,3,4,Burnley,90,44,5
151,27,389,Capoue,3,18,Watford,57,48,5
182,27,571,Barnes,3,11,Leicester,13,55,5
220,27,141,Schlupp,2,7,Crystal Palace,31,43,5
237,27,191,Lössl,1,10,Huddersfield,38,44,5
322,27,425,Doherty,2,20,Wolves,39,53,5
472,27,392,Hughes,3,18,Watford,57,49,5
234,27,76,Gudmundsson,3,4,Burnley,90,55,4
309,27,417,Arnautovic,4,19,West Ham,21,67,4
406,27,184,Sessegnon,3,9,Fulham,54,60,4
3,27,14,Ramsey,3,1,Arsenal,3,71,3
36,27,481,Pereira,3,14,Man Utd,1,45,3
66,27,445,Foster,1,18,Watford,57,46,3
153,27,255,Fabinho,3,12,Liverpool,14,55,3
173,27,17,Xhaka,3,1,Arsenal,3,52,3
244,27,249,Henderson,3,12,Liverpool,14,53,3
294,27,400,Fabianski,1,19,West Ham,21,47,3
334,27,587,Almirón,3,15,Newcastle,4,60,3
340,27,253,Salah,3,12,Liverpool,14,132,3
366,27,302,Pogba,3,14,Man Utd,1,86,3
403,27,40,Fraser,3,2,Bournemouth,91,64,3
409,27,251,Mané,3,12,Liverpool,14,103,3
421,27,531,Longstaff,3,15,Newcastle,4,45,3
0,27,402,Cresswell,2,19,West Ham,21,50,2
2,27,199,Mooy,3,10,Huddersfield,38,50,2
20,27,480,Mitrovic,4,9,Fulham,54,63,2
41,27,149,Townsend,3,7,Crystal Palace,31,56,2
47,27,452,Gunn,1,16,Southampton,20,43,2
57,27,80,Westwood,3,4,Burnley,90,46,2
89,27,74,Taylor,2,4,Burnley,90,44,2
93,27,364,Eriksen,3,17,Spurs,6,92,2
98,27,580,Mepham,2,2,Bournemouth,91,45,2
104,27,430,Coady,2,20,Wolves,39,45,2
128,27,406,Rice,2,19,West Ham,21,44,2
157,27,465,Felipe Anderson,3,19,West Ham,21,68,2
170,27,252,Wijnaldum,3,12,Liverpool,14,55,2
196,27,82,Cork,3,4,Burnley,90,46,2
203,27,233,Maddison,3,11,Leicester,13,66,2
205,27,254,Milner,3,12,Liverpool,14,56,2
208,27,338,Ward-Prowse,3,16,Southampton,20,51,2
210,27,234,Vardy,4,11,Leicester,13,90,2
227,27,441,Ward,2,7,Crystal Palace,31,43,2
257,27,475,Moutinho,3,20,Wolves,39,51,2
261,27,208,Bacuna,3,10,Huddersfield,38,42,2
310,27,411,Noble,3,19,West Ham,21,48,2
323,27,317,Ritchie,3,15,Newcastle,4,58,2
351,27,31,Aké,2,2,Bournemouth,91,51,2
352,27,343,Redmond,3,16,Southampton,20,55,2
359,27,339,Oriol Romeu,3,16,Southampton,20,42,2
374,27,340,Højbjerg,3,16,Southampton,20,44,2
396,27,306,Lukaku,4,14,Man Utd,1,107,2
425,27,509,Rico,1,9,Fulham,54,44,2
452,27,182,Cairney,3,9,Fulham,54,46,2
471,27,423,Boly,2,20,Wolves,39,47,2
480,27,591,Tielemans,3,11,Leicester,13,60,2
39,27,395,Gray,4,18,Watford,57,59,1
54,27,25,Boruc,1,2,Bournemouth,91,41,1
82,27,9,Chambers,2,9,Fulham,54,42,1
87,27,348,Austin,4,16,Southampton,20,55,1
96,27,192,Schindler,2,10,Huddersfield,38,42,1
123,27,99,Hoilett,3,5,Cardiff,97,50,1
130,27,225,Gray,3,11,Leicester,13,54,1
134,27,432,Jota,3,20,Wolves,39,63,1
135,27,543,Origi,4,12,Liverpool,14,50,1
186,27,351,Lloris,1,17,Spurs,6,54,1
211,27,463,Vestergaard,2,16,Southampton,20,46,1
212,27,335,Bednarek,2,16,Southampton,20,40,1
254,27,106,Murphy,3,5,Cardiff,97,48,1
280,27,3,Koscielny,2,1,Arsenal,3,54,1
282,27,519,Dendoncker,3,20,Wolves,39,43,1
298,27,44,Mousset,4,2,Bournemouth,91,49,1
329,27,13,Özil,3,1,Arsenal,3,79,1
373,27,23,Aubameyang,4,1,Arsenal,3,108,1
389,27,257,Firmino,4,12,Liverpool,14,93,1
395,27,426,Saïss,2,20,Wolves,39,42,1
404,27,408,Fredericks,2,19,West Ham,21,45,1
442,27,211,Mounie,4,10,Huddersfield,38,58,1
443,27,345,Armstrong,3,16,Southampton,20,51,1
469,27,227,Ndidi,3,11,Leicester,13,49,1
476,27,556,Valery,2,16,Southampton,20,41,1
28,27,206,Pritchard,3,10,Huddersfield,38,48,0
76,27,92,Ecuele Manga,2,5,Cardiff,97,44,0
81,27,43,Wilson,4,2,Bournemouth,91,69,0
88,27,28,Daniels,2,2,Bournemouth,91,41,0
149,27,461,Durm,2,10,Huddersfield,38,44,0
162,27,186,Ayité,3,9,Fulham,54,42,0
167,27,304,Fred,3,14,Man Utd,1,53,0
217,27,315,Manquillo,2,15,Newcastle,4,43,0
228,27,94,Bennett,2,5,Cardiff,97,44,0
236,27,522,Stankovic,2,10,Huddersfield,38,39,0
264,27,585,Grant,4,10,Huddersfield,38,50,0
301,27,414,Lanzini,3,19,West Ham,21,64,0
328,27,331,Yoshida,2,16,Southampton,20,41,0
345,27,5,Monreal,2,1,Arsenal,3,54,0
354,27,88,Etheridge,1,5,Cardiff,97,46,0
402,27,330,Bertrand,2,16,Southampton,20,48,0
446,27,198,Kongolo,2,10,Huddersfield,38,43,0
456,27,245,Alexander-Arnold,2,12,Liverpool,14,58,0
465,27,504,Camarasa,3,5,Cardiff,97,44,0
468,27,215,Morgan,2,11,Leicester,13,45,0
1063,28,246,van Dijk,2,12,Liverpool,14,67,20
1051,28,245,Alexander-Arnold,2,12,Liverpool,14,58,18
711,28,172,Sigurdsson,3,8,Everton,11,74,16
718,28,18,Mkhitaryan,3,1,Arsenal,3,66,16
679,28,482,Schär,2,15,Newcastle,4,45,15
524,28,247,Robertson,2,12,Liverpool,14,67,13
991,28,251,Mané,3,12,Liverpool,14,103,13
618,28,113,Azpilicueta,2,6,Chelsea,8,64,12
894,28,13,Özil,3,1,Arsenal,3,79,12
976,28,306,Lukaku,4,14,Man Utd,1,107,12
757,28,315,Manquillo,2,15,Newcastle,4,43,11
931,28,339,Oriol Romeu,3,16,Southampton,20,42,11
1005,28,157,Coleman,2,8,Everton,11,52,11
645,28,60,Pröpper,3,3,Brighton,36,48,10
747,28,338,Ward-Prowse,3,16,Southampton,20,51,9
832,28,3,Koscielny,2,1,Arsenal,3,54,9
860,28,115,Alonso,2,6,Chelsea,8,62,9
941,28,125,Pedro,3,6,Chelsea,8,62,9
1010,28,280,Agüero,4,13,Man City,43,120,9
1036,28,198,Kongolo,2,10,Huddersfield,38,43,9
550,28,293,Young,2,14,Man Utd,1,57,8
624,28,266,Danilo,2,13,Man City,43,48,8
649,28,225,Gray,3,11,Leicester,13,54,8
893,28,331,Yoshida,2,16,Southampton,20,41,8
1006,28,531,Longstaff,3,15,Newcastle,4,45,8
1030,28,211,Mounie,4,10,Huddersfield,38,58,8
519,28,468,Alisson,1,12,Liverpool,14,59,7
535,28,452,Gunn,1,16,Southampton,20,43,7
657,28,175,Calvert-Lewin,4,8,Everton,11,54,7
749,28,234,Vardy,4,11,Leicester,13,90,7
767,28,441,Ward,2,7,Crystal Palace,31,43,7
777,28,522,Stankovic,2,10,Huddersfield,38,39,7
925,28,264,Otamendi,2,13,Man City,43,60,7
950,28,23,Aubameyang,4,1,Arsenal,3,108,7
1058,28,292,Lindelöf,2,14,Man Utd,1,49,7
540,28,118,Rüdiger,2,6,Chelsea,8,59,6
602,28,192,Schindler,2,10,Huddersfield,38,42,6
655,28,543,Origi,4,12,Liverpool,14,50,6
662,28,260,Ederson,1,13,Man City,43,57,6
673,28,461,Durm,2,10,Huddersfield,38,44,6
689,28,314,Lejeune,2,15,Newcastle,4,44,6
726,28,168,Gueye,3,8,Everton,11,47,6
739,28,312,Lascelles,2,15,Newcastle,4,47,6
741,28,233,Maddison,3,11,Leicester,13,66,6
750,28,463,Vestergaard,2,16,Southampton,20,46,6
751,28,335,Bednarek,2,16,Southampton,20,40,6
766,28,243,Matip,2,12,Liverpool,14,49,6
778,28,191,Lössl,1,10,Huddersfield,38,44,6
788,28,154,Pickford,1,8,Everton,11,49,6
855,28,44,Mousset,4,2,Bournemouth,91,49,6
872,28,309,Dubravka,1,15,Newcastle,4,50,6
895,28,162,Keane,2,8,Everton,11,48,6
920,28,343,Redmond,3,16,Southampton,20,55,6
984,28,330,Bertrand,2,16,Southampton,20,48,6
1062,28,263,Kompany,2,13,Man City,43,52,6
1078,28,556,Valery,2,16,Southampton,20,41,6
508,28,22,Lacazette,4,1,Arsenal,3,94,5
641,28,116,David Luiz,2,6,Chelsea,8,58,5
760,28,141,Schlupp,2,7,Crystal Palace,31,43,5
810,28,585,Grant,4,10,Huddersfield,38,50,5
845,28,484,Digne,2,8,Everton,11,54,5
939,28,302,Pogba,3,14,Man Utd,1,86,5
1083,28,591,Tielemans,3,11,Leicester,13,60,5
569,28,276,Bernardo Silva,3,13,Man City,43,78,4
854,28,286,Shaw,2,14,Man Utd,1,51,4
1004,28,8,Kolasinac,2,1,Arsenal,3,49,4
513,28,206,Pritchard,3,10,Huddersfield,38,48,3
572,28,2,Leno,1,1,Arsenal,3,49,3
642,28,271,David Silva,3,13,Man City,43,85,3
654,28,432,Jota,3,20,Wolves,39,63,3
680,28,255,Fabinho,3,12,Liverpool,14,55,3
702,28,252,Wijnaldum,3,12,Liverpool,14,55,3
