,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
870,433,29,Dawson,2,19,West Brom,35,49,17
265,143,29,Lukaku,4,6,Everton,11,101,16
90,52,29,Afobe,4,2,Bournemouth,91,53,12
360,184,29,Vardy,4,8,Leicester,13,99,11
95,54,29,Heaton,1,3,Burnley,90,51,10
160,86,29,Willian,3,4,Chelsea,8,70,10
545,266,29,Lingard,3,11,Man Utd,1,56,10
630,306,29,Ward-Prowse,3,13,Southampton,20,50,10
660,340,29,Pickford,1,15,Sunderland,56,42,10
915,462,29,Lanzini,3,20,West Ham,21,59,10
925,469,29,Valencia,4,6,Everton,11,52,10
15,12,29,Sánchez,3,1,Arsenal,3,117,9
370,190,29,Sakho,2,5,Crystal Palace,31,47,9
410,208,29,Milner,3,9,Liverpool,14,63,9
785,394,29,Eriksen,3,17,Spurs,6,89,9
85,48,29,King,3,2,Bournemouth,91,62,8
145,78,29,Cahill,2,4,Chelsea,8,67,8
190,103,29,Tomkins,2,5,Crystal Palace,31,48,8
340,176,29,Mahrez,3,8,Leicester,13,89,8
480,235,29,De Bruyne,3,10,Man City,43,105,8
505,250,29,Valencia,2,11,Man Utd,1,58,8
520,256,29,Mata,3,11,Man Utd,1,72,8
60,32,29,Steve Cook,2,2,Bournemouth,91,48,7
70,34,29,Smith,2,2,Bournemouth,91,46,7
105,56,29,Mee,2,3,Burnley,90,44,7
185,100,29,Hennessey,1,5,Crystal Palace,31,43,7
195,105,29,Ward,2,5,Crystal Palace,31,48,7
235,127,29,Jagielka,2,6,Everton,11,49,7
320,169,29,Schlupp,2,5,Crystal Palace,31,47,7
330,173,29,Huth,2,8,Leicester,13,49,7
525,257,29,Fellaini,3,11,Man Utd,1,58,7
645,330,29,Walters,3,14,Stoke,110,53,7
665,342,29,O'Shea,2,15,Sunderland,56,44,7
730,374,29,Ayew,3,20,West Ham,21,71,7
795,398,29,Alli,3,17,Spurs,6,91,7
1030,570,29,David Luiz,2,4,Chelsea,8,62,7
40,24,29,Xhaka,3,1,Arsenal,3,52,6
50,29,29,Boruc,1,2,Bournemouth,91,45,6
55,31,29,Francis,2,2,Bournemouth,91,45,6
