,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
301,24,45,King,4,2,Bournemouth,91,64,16
21,24,480,Mitrovic,4,9,Fulham,54,63,13
150,24,42,Brooks,3,2,Bournemouth,91,50,12
195,24,371,Llorente,4,17,Spurs,6,51,12
214,24,62,Murray,4,3,Brighton,36,61,12
448,24,23,Aubameyang,4,1,Arsenal,3,108,12
458,24,437,Jiménez,4,20,Wolves,39,69,12
473,24,426,Saïss,2,20,Wolves,39,42,12
309,24,475,Moutinho,3,20,Wolves,39,51,11
59,24,25,Boruc,1,2,Bournemouth,91,41,10
255,24,338,Ward-Prowse,3,16,Southampton,20,51,10
554,24,292,Lindelöf,2,14,Man Utd,1,49,10
119,24,87,Wood,4,4,Burnley,90,63,9
229,24,367,Son,3,17,Spurs,6,86,9
397,24,162,Keane,2,8,Everton,11,48,9
489,24,251,Mané,3,12,Liverpool,14,103,9
507,24,280,Agüero,4,13,Man City,43,120,9
225,24,220,Maguire,2,11,Leicester,13,54,8
295,24,154,Pickford,1,8,Everton,11,49,8
389,24,317,Ritchie,3,15,Newcastle,4,58,8
463,24,393,Richarlison,3,8,Everton,11,64,8
490,24,493,Rondón,4,15,Newcastle,4,59,8
24,24,22,Lacazette,4,1,Arsenal,3,94,7
72,24,219,Chilwell,2,11,Leicester,13,50,7
100,24,9,Chambers,2,9,Fulham,54,42,7
126,24,376,Cathcart,2,18,Watford,57,45,7
139,24,354,Rose,2,17,Spurs,6,58,7
390,24,479,Targett,2,16,Southampton,20,42,7
418,24,100,Mendez-Laing,3,5,Cardiff,97,48,7
439,24,302,Pogba,3,14,Man Utd,1,86,7
480,24,575,Babel,3,9,Fulham,54,56,7
502,24,157,Coleman,2,8,Everton,11,52,7
61,24,85,Barnes,4,4,Burnley,90,56,6
124,24,430,Coady,2,20,Wolves,39,45,6
164,24,432,Jota,3,20,Wolves,39,63,6
286,24,483,Jonny,2,20,Wolves,39,43,6
314,24,36,Stanislas,3,2,Bournemouth,91,60,6
352,24,513,Vietto,4,9,Fulham,54,53,6
388,24,425,Doherty,2,20,Wolves,39,53,6
417,24,241,Clyne,2,2,Bournemouth,91,44,6
419,24,31,Aké,2,2,Bournemouth,91,51,6
478,24,454,Patrício,1,20,Wolves,39,45,6
526,24,27,Steve Cook,2,2,Bournemouth,91,43,6
43,24,149,Townsend,3,7,Crystal Palace,31,56,5
62,24,80,Westwood,3,4,Burnley,90,46,5
154,24,271,David Silva,3,13,Man City,43,85,5
237,24,323,Hayden,3,15,Newcastle,4,43,5
435,24,59,Groß,3,3,Brighton,36,67,5
481,24,427,Bennett,2,20,Wolves,39,41,5
501,24,8,Kolasinac,2,1,Arsenal,3,49,5
503,24,531,Longstaff,3,15,Newcastle,4,45,5
25,24,295,Sánchez,3,14,Man Utd,1,100,4
242,24,82,Cork,3,4,Burnley,90,46,4
296,24,38,Ibe,3,2,Bournemouth,91,49,4
