,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
380,200,31,Dallas,2,Leeds,Leeds,2,55,17
265,119,31,Pulisic,3,Chelsea,Chelsea,8,83,15
750,417,31,Johnstone,1,West Brom,West Brom,35,46,15
568,301,31,Lingard,3,West Ham,West Ham,21,66,14
5,6,31,Lacazette,4,Arsenal,Arsenal,3,84,13
460,233,31,Iheanacho,4,Leicester,Leicester,13,62,13
621,338,31,Saint-Maximin,3,Newcastle,Newcastle,4,52,12
780,445,31,Bowen,3,West Ham,West Ham,21,58,12
508,259,31,Alexander-Arnold,2,Liverpool,Liverpool,14,78,11
597,315,31,Greenwood,3,Man Utd,Man Utd,1,73,11
1011,569,31,Cavani,4,Man Utd,Man Utd,1,80,11
897,500,31,Havertz,3,Chelsea,Chelsea,8,83,10
1015,573,31,Olsen,1,Everton,Everton,11,45,10
150,74,31,White,2,Brighton,Brighton,36,45,9
800,455,31,Patrício,1,Wolves,Wolves,39,53,9
854,481,31,Pereira,3,West Brom,West Brom,35,54,9
887,497,31,Murphy,3,Newcastle,Newcastle,4,49,9
967,546,31,Semedo,2,Wolves,Wolves,39,51,9
45,16,31,Holding,2,Arsenal,Arsenal,3,43,8
75,26,31,Martinelli,3,Arsenal,Arsenal,3,49,8
125,62,31,Dunk,2,Brighton,Brighton,36,48,8
240,110,31,Zouma,2,Chelsea,Chelsea,8,53,8
293,132,31,Benteke,4,Crystal Palace,Crystal Palace,31,55,8
671,358,31,Callum Robinson,4,West Brom,West Brom,35,52,8
740,411,31,Phillips,3,West Brom,West Brom,35,51,8
820,465,31,Traoré,3,Wolves,Wolves,39,60,8
932,514,31,Watkins,4,Aston Villa,Aston Villa,7,63,8
190,93,31,Vydra,4,Burnley,Burnley,90,48,7
500,254,31,Salah,3,Liverpool,Liverpool,14,129,7
548,287,31,Torres,3,Man City,Man City,43,70,7
560,299,31,Fred,3,Man Utd,Man Utd,1,53,7
712,390,31,Son,3,Spurs,Spurs,6,96,7
902,501,31,Ceballos,3,Arsenal,Arsenal,3,47,7
996,563,31,Ait Nouri,2,Wolves,Wolves,39,50,7
10,8,31,Leno,1,Arsenal,Arsenal,3,50,6
35,13,31,Chambers,2,Arsenal,Arsenal,3,45,6
40,15,31,Maitland-Niles,2,West Brom,West Brom,35,46,6
50,18,31,Pépé,3,Arsenal,Arsenal,3,77,6
135,67,31,Veltman,2,Brighton,Brighton,36,43,6
270,120,31,Mount,3,Chelsea,Chelsea,8,73,6
326,152,31,Coleman,2,Everton,Everton,11,49,6
331,155,31,Digne,2,Everton,Everton,11,62,6
536,281,31,Bernardo Silva,3,Man City,Man City,43,74,6
601,321,31,Shelvey,3,Newcastle,Newcastle,4,53,6
745,412,31,Bartley,2,West Brom,West Brom,35,44,6
755,418,31,Townsend,2,West Brom,West Brom,35,44,6
760,422,31,Furlong,2,West Brom,West Brom,35,45,6
765,425,31,O'Shea,2,West Brom,West Brom,35,42,6
805,459,31,Coady,2,Wolves,Wolves,39,49,6
810,461,31,Saïss,2,Wolves,Wolves,39,49,6
992,562,31,Aina,2,Fulham,Fulham,54,43,6
1001,566,31,Godfrey,2,Everton,Everton,11,51,6
1006,567,31,Partey,3,Arsenal,Arsenal,3,49,6
1038,597,31,Sánchez,1,Brighton,Brighton,36,45,6
1063,654,31,Yokuslu,3,West Brom,West Brom,35,45,6
20,10,31,Marí,2,Arsenal,Arsenal,3,44,5
80,38,31,McGinn,3,Aston Villa,Aston Villa,7,55,5
180,91,31,Wood,4,Burnley,Burnley,90,66,5
275,122,31,Hudson-Odoi,3,Chelsea,Chelsea,8,57,5
336,156,31,Keane,2,Everton,Everton,11,50,5
361,165,31,Holgate,2,Everton,Everton,11,48,5
552,296,31,Pogba,3,Man Utd,Man Utd,1,76,5
720,392,31,Lucas Moura,3,Spurs,Spurs,6,64,5
1058,648,31,Diagne,4,West Brom,West Brom,35,60,5
30,12,31,Martínez,1,Aston Villa,Aston Villa,7,53,4
280,123,31,James,2,Chelsea,Chelsea,8,51,4
313,142,31,Schlupp,3,Crystal Palace,Crystal Palace,31,53,4
385,201,31,Alioski,2,Leeds,Leeds,2,44,4
390,202,31,Bamford,4,Leeds,Leeds,2,66,4
415,213,31,Meslier,1,Leeds,Leeds,2,48,4
430,221,31,Albrighton,3,Leicester,Leicester,13,52,4
504,255,31,Robertson,2,Liverpool,Liverpool,14,73,4
785,449,31,Soucek,3,West Ham,West Ham,21,52,4
912,504,31,Fabio Silva,4,Wolves,Wolves,39,52,4
982,558,31,Coufal,2,West Ham,West Ham,21,48,4
15,9,31,Xhaka,3,Arsenal,Arsenal,3,52,3
70,24,31,Saka,3,Arsenal,Arsenal,3,51,3
115,57,31,Groß,3,Brighton,Brighton,36,58,3
140,69,31,Trossard,3,Brighton,Brighton,36,55,3
155,76,31,Bissouma,3,Brighton,Brighton,36,44,3
225,105,31,Jorginho,3,Chelsea,Chelsea,8,47,3
321,150,31,Sigurdsson,3,Everton,Everton,11,68,3
351,163,31,Davies,3,Everton,Everton,11,52,3
405,206,31,Roberts,3,Leeds,Leeds,2,46,3
492,252,31,Alisson,1,Liverpool,Liverpool,14,60,3
611,326,31,Dubravka,1,Newcastle,Newcastle,4,48,3
815,464,31,Dendoncker,3,Wolves,Wolves,39,46,3
825,466,31,Neves,3,Wolves,Wolves,39,51,3
834,469,31,Podence,3,Wolves,Wolves,39,53,3
922,508,31,Rodríguez,3,Everton,Everton,11,77,3
1048,628,31,Moder,3,Brighton,Brighton,36,50,3
175,89,31,Westwood,3,Burnley,Burnley,90,53,2
210,100,31,McNeil,3,Burnley,Burnley,90,57,2
215,102,31,Azpilicueta,2,Chelsea,Chelsea,8,58,2
235,109,31,Rüdiger,2,Chelsea,Chelsea,8,47,2
305,138,31,Milivojevic,3,Crystal Palace,Crystal Palace,31,56,2
309,141,31,Zaha,3,Crystal Palace,Crystal Palace,31,71,2
366,166,31,Richarlison,4,Everton,Everton,11,77,2
