,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
555,25,212,Mané,3,9,Liverpool,14,93,16
30,25,12,Sánchez,3,1,Arsenal,3,117,15
39,25,558,Mawson,2,16,Swansea,80,46,15
430,25,633,Olsson,2,16,Swansea,80,41,14
551,25,296,Bertrand,2,13,Southampton,20,56,14
408,25,643,Gabbiadini,4,13,Southampton,20,64,13
410,25,462,Lanzini,3,20,West Ham,21,59,13
57,25,267,Martial,3,11,Man Utd,1,92,12
583,25,466,Feghouli,3,20,West Ham,21,50,12
352,25,256,Mata,3,11,Man Utd,1,72,11
208,25,363,Fernández,2,16,Swansea,80,42,10
516,25,90,Pedro,3,4,Chelsea,8,68,10
527,25,228,Sterling,3,10,Man City,43,75,10
87,25,280,Bernardo,2,12,Middlesbrough,25,42,9
100,25,562,Martins Indi,2,14,Stoke,110,49,9
206,25,527,Fabio,2,12,Middlesbrough,25,42,9
311,25,202,Allen,3,14,Stoke,110,49,9
537,25,640,Brady,3,3,Burnley,90,55,9
196,25,255,Bailly,2,11,Man Utd,1,55,8
199,25,321,Pieters,2,14,Stoke,110,46,8
221,25,436,McAuley,2,19,West Brom,35,50,8
317,25,128,Stones,2,10,Man City,43,46,8
376,25,3,Koscielny,2,1,Arsenal,3,61,8
581,25,188,Mignolet,1,9,Liverpool,14,48,8
69,25,224,Sagna,2,10,Man City,43,53,7
139,25,301,Cédric,2,13,Southampton,20,49,7
159,25,242,de Gea,1,11,Man Utd,1,55,7
230,25,485,Wijnaldum,3,9,Liverpool,14,75,7
307,25,123,Robles,1,6,Everton,11,47,7
379,25,574,Grant,1,14,Stoke,110,43,7
519,25,2,Cech,1,1,Arsenal,3,54,7
528,25,486,Sobhi,3,14,Stoke,110,48,7
567,25,126,Coleman,2,6,Everton,11,56,7
578,25,555,Mustafi,2,1,Arsenal,3,58,7
628,25,274,Valdés,1,12,Middlesbrough,25,45,7
638,25,219,Caballero,1,10,Man City,43,48,7
28,25,220,Kolarov,2,10,Man City,43,58,6
66,25,359,Williams,2,6,Everton,11,52,6
80,25,278,Gibson,2,12,Middlesbrough,25,49,6
123,25,244,Smalling,2,11,Man Utd,1,58,6
