,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
474,309,14,McTominay,3,Man Utd,Man Utd,1,49,18
454,302,14,Fernandes,3,Man Utd,Man Utd,1,113,17
80,45,14,El Ghazi,3,Aston Villa,Aston Villa,7,52,16
354,249,14,Firmino,4,Liverpool,Liverpool,14,91,16
370,254,14,Salah,3,Liverpool,Liverpool,14,129,16
666,490,14,Thiago Silva,2,Chelsea,Chelsea,8,56,14
164,118,14,Abraham,4,Chelsea,Chelsea,8,71,13
714,540,14,Traoré,3,Aston Villa,Aston Villa,7,58,13
318,224,14,Vardy,4,Leicester,Leicester,13,102,12
459,303,14,Martial,4,Man Utd,Man Utd,1,86,12
255,162,14,Mina,2,Everton,Everton,11,55,11
64,37,14,Grealish,3,Aston Villa,Aston Villa,7,75,10
374,255,14,Robertson,2,Liverpool,Liverpool,14,73,10
737,561,14,Fofana,2,Leicester,Leicester,13,50,10
124,91,14,Wood,4,Burnley,Burnley,90,66,9
350,246,14,Matip,2,Liverpool,Liverpool,14,54,9
358,251,14,Mané,3,Liverpool,Liverpool,14,118,9
382,259,14,Alexander-Arnold,2,Liverpool,Liverpool,14,78,9
688,506,14,Wilson,4,Newcastle,Newcastle,4,65,9
726,556,14,Dias,2,Man City,Man City,43,59,9
49,18,14,Pépé,3,Arsenal,Arsenal,3,77,8
116,87,14,Barnes,4,Burnley,Burnley,90,60,8
338,239,14,Justin,2,Leicester,Leicester,13,48,8
346,244,14,Henderson,3,Liverpool,Liverpool,14,54,8
378,258,14,Minamino,3,Liverpool,Southampton,20,60,8
386,270,14,Walker,2,Man City,Man City,43,61,8
398,273,14,Stones,2,Man City,Man City,43,51,8
402,276,14,Sterling,3,Man City,Man City,43,109,8
406,277,14,Cancelo,2,Man City,Man City,43,58,8
758,570,14,Raphinha,3,Leeds,Leeds,2,56,8
769,588,14,Welbeck,4,Brighton,Brighton,36,55,8
148,102,14,Azpilicueta,2,Chelsea,Chelsea,8,58,7
239,150,14,Sigurdsson,3,Everton,Everton,11,68,7
306,217,14,Schmeichel,1,Leicester,Leicester,13,54,7
362,252,14,Alisson,1,Liverpool,Liverpool,14,60,7
469,308,14,Lindelöf,2,Man Utd,Man Utd,1,48,7
698,510,14,Bogle,2,Sheffield Utd,Sheffield Utd,49,43,7
762,572,14,Adarabioyo,2,Fulham,Fulham,54,45,7
30,12,14,Martínez,1,Aston Villa,Aston Villa,7,53,6
76,42,14,Targett,2,Aston Villa,Aston Villa,7,50,6
156,110,14,Zouma,2,Chelsea,Chelsea,8,53,6
168,119,14,Pulisic,3,Chelsea,Chelsea,8,83,6
172,120,14,Mount,3,Chelsea,Chelsea,8,73,6
310,219,14,Evans,2,Leicester,Leicester,13,56,6
410,278,14,Ederson,1,Man City,Man City,43,61,6
484,311,14,James,3,Man Utd,Man Utd,1,62,6
674,496,14,Cash,2,Aston Villa,Aston Villa,7,50,6
683,504,14,Fabio Silva,4,Wolves,Wolves,39,52,6
722,548,14,Mendy,1,Chelsea,Chelsea,8,53,6
34,15,14,Maitland-Niles,2,Arsenal,West Brom,35,46,5
72,39,14,Hause,2,Aston Villa,Aston Villa,7,44,5
140,97,14,Taylor,2,Burnley,Burnley,90,44,5
160,117,14,Werner,4,Chelsea,Chelsea,8,92,5
278,200,14,Dallas,2,Leeds,Leeds,2,55,5
394,272,14,De Bruyne,3,Man City,Man City,43,118,5
93,65,14,March,3,Brighton,Brighton,36,49,4
529,344,14,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,4
68,38,14,McGinn,3,Aston Villa,Aston Villa,7,55,3
84,52,14,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,3
103,69,14,Trossard,3,Brighton,Brighton,36,55,3
132,95,14,Brady,3,Burnley,Burnley,90,50,3
322,228,14,Tielemans,3,Leicester,Leicester,13,64,3
326,231,14,Maddison,3,Leicester,Leicester,13,72,3
334,235,14,Barnes,3,Leicester,Leicester,13,66,3
342,243,14,Wijnaldum,3,Liverpool,Liverpool,14,53,3
366,253,14,Fabinho,3,Liverpool,Liverpool,14,54,3
390,271,14,Gündogan,3,Man City,Man City,43,55,3
414,281,14,Bernardo Silva,3,Man City,Man City,43,74,3
426,286,14,Rodrigo,3,Man City,Man City,43,53,3
430,287,14,Torres,3,Man City,Man City,43,70,3
509,325,14,Darlow,1,Newcastle,Newcastle,4,49,3
548,363,14,McCarthy,1,Southampton,Southampton,20,44,3
711,516,14,Areola,1,Fulham,Fulham,54,45,3
59,24,14,Saka,3,Arsenal,Arsenal,3,51,2
98,68,14,Maupay,4,Brighton,Brighton,36,58,2
108,81,14,Tarkowski,2,Burnley,Burnley,90,53,2
120,88,14,Mee,2,Burnley,Burnley,90,47,2
128,92,14,Lowton,2,Burnley,Burnley,90,44,2
136,96,14,Pope,1,Burnley,Burnley,90,55,2
144,98,14,Brownhill,3,Burnley,Burnley,90,49,2
190,130,14,McArthur,3,Crystal Palace,Crystal Palace,31,52,2
200,133,14,Kouyaté,3,Crystal Palace,Crystal Palace,31,48,2
215,138,14,Milivojevic,3,Crystal Palace,Crystal Palace,31,56,2
220,141,14,Zaha,3,Crystal Palace,Crystal Palace,31,71,2
225,142,14,Schlupp,3,Crystal Palace,Crystal Palace,31,53,2
235,148,14,Walcott,3,Southampton,Southampton,20,58,2
243,156,14,Keane,2,Everton,Everton,11,50,2
247,157,14,Pickford,1,Everton,Everton,11,48,2
251,159,14,Iwobi,3,Everton,Everton,11,59,2
259,163,14,Davies,3,Everton,Everton,11,52,2
263,165,14,Holgate,2,Everton,Everton,11,48,2
286,202,14,Bamford,4,Leeds,Leeds,2,66,2
290,203,14,Harrison,3,Leeds,Leeds,2,56,2
314,221,14,Albrighton,3,Leicester,Leicester,13,52,2
464,306,14,Rashford,3,Man Utd,Man Utd,1,96,2
519,335,14,Yedlin,2,Newcastle,Newcastle,4,43,2
524,340,14,Joelinton,4,Newcastle,Newcastle,4,57,2
534,353,14,Egan,2,Sheffield Utd,Sheffield Utd,49,47,2
544,362,14,Bertrand,2,Southampton,Southampton,20,50,2
564,375,14,Walker-Peters,2,Southampton,Southampton,20,47,2
568,376,14,Bednarek,2,Southampton,Southampton,20,47,2
572,383,14,Lloris,1,Spurs,Spurs,6,56,2
580,388,14,Kane,4,Spurs,Spurs,6,119,2
584,390,14,Son,3,Spurs,Spurs,6,96,2
604,431,14,Fabianski,1,West Ham,West Ham,21,50,2
616,448,14,Rice,3,West Ham,West Ham,21,47,2
620,449,14,Soucek,3,West Ham,West Ham,21,52,2
624,450,14,Fornals,3,West Ham,West Ham,21,58,2
628,454,14,Moutinho,3,Wolves,Wolves,39,51,2
643,466,14,Neves,3,Wolves,Wolves,39,51,2
648,474,14,Neto,3,Wolves,Wolves,39,55,2
653,483,14,Ramsdale,1,Sheffield Utd,Sheffield Utd,49,46,2
661,489,14,Eze,3,Crystal Palace,Crystal Palace,31,58,2
670,492,14,Rodrigo,4,Leeds,Leeds,2,57,2
678,501,14,Ceballos,3,Arsenal,Arsenal,3,47,2
693,509,14,Ampadu,2,Sheffield Utd,Sheffield Utd,49,43,2
703,512,14,Doucouré,3,Everton,Everton,11,51,2
707,514,14,Watkins,4,Aston Villa,Aston Villa,7,63,2
730,557,14,Lookman,3,Fulham,Fulham,54,47,2
741,562,14,Aina,2,Fulham,Fulham,54,43,2
749,566,14,Godfrey,2,Everton,Everton,11,51,2
774,597,14,Sánchez,1,Brighton,Brighton,36,45,2
5,6,14,Lacazette,4,Arsenal,Arsenal,3,84,1
10,8,14,Leno,1,Arsenal,Arsenal,3,50,1
88,62,14,Dunk,2,Brighton,Brighton,36,48,1
112,83,14,Pieters,2,Burnley,Burnley,90,43,1
274,198,14,Klich,3,Leeds,Leeds,2,52,1
294,204,14,Phillips,3,Leeds,Leeds,2,49,1
302,213,14,Meslier,1,Leeds,Leeds,2,48,1
330,232,14,Chilwell,2,Chelsea,Chelsea,8,59,1
434,291,14,de Gea,1,Man Utd,Man Utd,1,53,1
444,298,14,Maguire,2,Man Utd,Man Utd,1,55,1
449,300,14,Shaw,2,Man Utd,Man Utd,1,55,1
489,313,14,Wan-Bissaka,2,Man Utd,Man Utd,1,58,1
499,323,14,Fernández,2,Newcastle,Newcastle,4,47,1
504,324,14,Clark,2,Newcastle,Newcastle,4,45,1
552,366,14,Ings,4,Southampton,Southampton,20,84,1
560,370,14,Ward-Prowse,3,Southampton,Southampton,20,59,1
596,405,14,Ndombele,3,Spurs,Spurs,6,59,1
600,419,14,Ajayi,2,West Brom,West Brom,35,48,1
608,432,14,Ogbonna,2,West Ham,West Ham,21,47,1
612,435,14,Cresswell,2,West Ham,West Ham,21,57,1
633,461,14,Saïss,2,Wolves,Wolves,39,49,1
638,465,14,Traoré,3,Wolves,Wolves,39,60,1
658,484,14,Robinson,2,Fulham,Fulham,54,44,1
718,542,14,Reguilón,2,Spurs,Spurs,6,55,1
733,558,14,Coufal,2,West Ham,West Ham,21,48,1
753,569,14,Cavani,4,Man Utd,Man Utd,1,80,1
0,4,14,Aubameyang,3,Arsenal,Arsenal,3,113,0
15,9,14,Xhaka,3,Arsenal,Arsenal,3,52,0
20,10,14,Marí,2,Arsenal,Arsenal,3,44,0
25,11,14,Bellerín,2,Arsenal,Arsenal,3,50,0
44,17,14,Tierney,2,Arsenal,Arsenal,3,52,0
54,23,14,Smith Rowe,3,Arsenal,Arsenal,3,42,0
152,103,14,Giroud,4,Chelsea,Chelsea,8,67,0
176,122,14,Hudson-Odoi,3,Chelsea,Chelsea,8,57,0
185,129,14,Tomkins,2,Crystal Palace,Crystal Palace,31,44,0
195,132,14,Benteke,4,Crystal Palace,Crystal Palace,31,55,0
205,134,14,Ward,2,Crystal Palace,Crystal Palace,31,43,0
210,137,14,Townsend,3,Crystal Palace,Crystal Palace,31,55,0
