,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
874,402,32,Son,3,17,Spurs,6,72,19
260,120,32,Townsend,3,5,Crystal Palace,31,57,14
295,143,32,Lukaku,4,6,Everton,11,101,13
275,127,32,Jagielka,2,6,Everton,11,49,12
609,272,32,Ibrahimovic,4,11,Man Utd,1,114,12
245,111,32,Zaha,3,5,Crystal Palace,31,58,11
689,309,32,Clasie,3,13,Southampton,20,46,11
844,387,32,Trippier,2,17,Spurs,6,47,11
185,82,32,Hazard,3,4,Chelsea,8,105,10
534,247,32,Shaw,2,11,Man Utd,1,52,10
115,48,32,King,3,2,Bournemouth,91,62,9
494,228,32,Sterling,3,10,Man City,43,75,9
524,239,32,Agüero,4,10,Man City,43,127,9
659,298,32,Yoshida,2,13,Southampton,20,45,9
724,330,32,Walters,3,14,Stoke,110,53,9
849,390,32,Dier,3,17,Spurs,6,50,9
1020,504,32,Stephens,2,13,Southampton,20,42,9
1025,505,32,Masuaku,2,20,West Ham,21,47,9
1155,646,32,Milivojevic,3,5,Crystal Palace,31,50,9
135,57,32,Ward,2,3,Burnley,90,45,8
220,97,32,Costa,4,4,Chelsea,8,104,8
255,118,32,Cabaye,3,5,Crystal Palace,31,56,8
280,133,32,Mirallas,3,6,Everton,11,59,8
429,203,32,Coutinho,3,9,Liverpool,14,87,8
509,232,32,Navas,3,10,Man City,43,61,8
594,268,32,Mkhitaryan,3,11,Man Utd,1,87,8
619,278,32,Gibson,2,12,Middlesbrough,25,49,8
869,398,32,Alli,3,17,Spurs,6,91,8
955,457,32,Byram,2,20,West Ham,21,42,8
1090,561,32,Alonso,2,4,Chelsea,8,69,8
125,54,32,Heaton,1,3,Burnley,90,51,7
225,100,32,Hennessey,1,5,Crystal Palace,31,43,7
369,177,32,Albrighton,3,8,Leicester,13,50,7
539,248,32,Rojo,2,11,Man Utd,1,52,7
644,294,32,Forster,1,13,Southampton,20,50,7
940,452,32,Collins,2,20,West Ham,21,42,7
960,459,32,Kouyaté,3,20,West Ham,21,50,7
1030,512,32,Davies,3,6,Everton,11,44,7
1130,638,32,Ranocchia,2,7,Hull,88,45,7
130,55,32,Lowton,2,3,Burnley,90,45,6
230,105,32,Ward,2,5,Crystal Palace,31,48,6
235,106,32,Kelly,2,5,Crystal Palace,31,42,6
315,155,32,Snodgrass,3,20,West Ham,21,55,6
344,169,32,Schlupp,2,5,Crystal Palace,31,47,6
399,190,32,Sakho,2,5,Crystal Palace,31,47,6
549,251,32,Darmian,2,11,Man Utd,1,50,6
559,255,32,Bailly,2,11,Man Utd,1,55,6
579,262,32,Herrera,3,11,Man Utd,1,62,6
649,296,32,Bertrand,2,13,Southampton,20,56,6
654,297,32,Fonte,2,20,West Ham,21,53,6
684,308,32,Tadic,3,13,Southampton,20,69,6
819,380,32,Lloris,1,17,Spurs,6,55,6
824,382,32,Alderweireld,2,17,Spurs,6,64,6
834,385,32,Vertonghen,2,17,Spurs,6,58,6
839,386,32,Davies,2,17,Spurs,6,50,6
859,394,32,Eriksen,3,17,Spurs,6,89,6
120,52,32,Afobe,4,2,Bournemouth,91,53,5
140,58,32,Keane,2,3,Burnley,90,50,5
285,134,32,Barkley,3,6,Everton,11,70,5
379,181,32,Gray,3,8,Leicester,13,48,5
384,184,32,Vardy,4,8,Leicester,13,99,5
409,193,32,Clyne,2,9,Liverpool,14,59,5
449,209,32,Firmino,3,9,Liverpool,14,85,5
604,271,32,Rashford,4,11,Man Utd,1,64,5
664,301,32,Cédric,2,13,Southampton,20,49,5
734,333,32,Shaqiri,3,14,Stoke,110,60,5
990,485,32,Wijnaldum,3,9,Liverpool,14,75,5
215,95,32,Kanté,3,4,Chelsea,8,47,4
150,62,32,Boyd,3,3,Burnley,90,51,3
175,77,32,Azpilicueta,2,4,Chelsea,8,64,3
240,110,32,Puncheon,3,5,Crystal Palace,31,51,3
300,147,32,Jakupovic,1,7,Hull,88,41,3
394,188,32,Mignolet,1,9,Liverpool,14,48,3
499,230,32,Silva,3,10,Man City,43,86,3
504,231,32,Yaya Touré,3,10,Man City,43,72,3
624,282,32,Downing,3,12,Middlesbrough,25,48,3
629,283,32,Clayton,3,12,Middlesbrough,25,43,3
634,286,32,Forshaw,3,12,Middlesbrough,25,45,3
669,304,32,Redmond,3,13,Southampton,20,59,3
679,306,32,Ward-Prowse,3,13,Southampton,20,50,3
744,340,32,Pickford,1,15,Sunderland,56,42,3
779,356,32,Fabianski,1,16,Swansea,80,48,3
854,391,32,Dembélé,3,17,Spurs,6,54,3
995,489,32,Sané,3,10,Man City,43,77,3
1015,503,32,Pogba,3,11,Man Utd,1,82,3
1085,560,32,Hendrick,3,3,Burnley,90,53,3
1135,640,32,Brady,3,3,Burnley,90,55,3
35,12,32,Sánchez,3,1,Arsenal,3,117,2
40,14,32,Özil,3,1,Arsenal,3,95,2
55,24,32,Xhaka,3,1,Arsenal,3,52,2
70,29,32,Boruc,1,2,Bournemouth,91,45,2
100,38,32,Pugh,3,2,Bournemouth,91,46,2
160,68,32,Gray,4,3,Burnley,90,60,2
170,73,32,Courtois,1,4,Chelsea,8,59,2
180,78,32,Cahill,2,4,Chelsea,8,67,2
200,87,32,Matic,3,4,Chelsea,8,48,2
290,135,32,Cleverley,3,18,Watford,57,51,2
325,157,32,Livermore,3,19,West Brom,35,47,2
374,179,32,Drinkwater,3,8,Leicester,13,53,2
404,191,32,Lovren,2,9,Liverpool,14,49,2
