,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
217,12,231,Yaya Touré,3,10,Man City,43,72,15
439,12,36,Aké,2,4,Chelsea,8,39,15
407,12,446,Phillips,3,19,West Brom,35,53,14
229,12,403,Kane,4,17,Spurs,6,119,13
572,12,575,Anichebe,4,15,Sunderland,56,43,13
37,12,412,Nyom,2,19,West Brom,35,44,11
280,12,355,Defoe,4,15,Sunderland,56,74,11
185,12,416,Capoue,3,18,Watford,57,45,10
325,12,256,Mata,3,11,Man Utd,1,72,10
465,12,344,van Aanholt,2,5,Crystal Palace,31,49,10
161,12,97,Costa,4,4,Chelsea,8,104,9
223,12,368,Sigurdsson,3,16,Swansea,80,74,9
438,12,193,Clyne,2,9,Liverpool,14,59,9
494,12,539,Pereyra,3,18,Watford,57,58,9
510,12,449,Rondón,4,19,West Brom,35,63,9
520,12,126,Coleman,2,6,Everton,11,56,9
143,12,439,Fletcher,3,19,West Brom,35,44,8
204,12,78,Cahill,2,4,Chelsea,8,67,8
260,12,441,Morrison,3,19,West Brom,35,43,8
315,12,297,Fonte,2,20,West Ham,21,53,8
378,12,462,Lanzini,3,20,West Ham,21,59,8
491,12,176,Mahrez,3,8,Leicester,13,89,8
545,12,32,Steve Cook,2,2,Bournemouth,91,48,8
9,12,30,Federici,1,2,Bournemouth,91,44,7
103,12,33,Daniels,2,2,Bournemouth,91,52,7
109,12,438,Brunt,2,19,West Brom,35,48,7
231,12,513,Winks,3,17,Spurs,6,45,7
233,12,402,Son,3,17,Spurs,6,72,7
306,12,340,Pickford,1,15,Sunderland,56,42,7
336,12,235,De Bruyne,3,10,Man City,43,105,7
452,12,25,Giroud,4,1,Arsenal,3,81,7
578,12,303,van Dijk,2,13,Southampton,20,56,7
40,12,262,Herrera,3,11,Man Utd,1,62,6
71,12,430,Foster,1,19,West Brom,35,47,6
121,12,433,Dawson,2,19,West Brom,35,49,6
157,12,191,Lovren,2,9,Liverpool,14,49,6
170,12,353,Watmore,3,15,Sunderland,56,47,6
199,12,294,Forster,1,13,Southampton,20,50,6
203,12,436,McAuley,2,19,West Brom,35,50,6
270,12,476,Denayer,2,15,Sunderland,56,47,6
286,12,199,Matip,2,9,Liverpool,14,54,6
303,12,431,Evans,2,19,West Brom,35,44,6
330,12,42,Stanislas,3,2,Bournemouth,91,46,6
347,12,346,Koné,2,15,Sunderland,56,42,6
361,12,189,Karius,1,9,Liverpool,14,43,6
380,12,561,Alonso,2,4,Chelsea,8,69,6
418,12,464,Antonio,3,20,West Ham,21,67,6
504,12,296,Bertrand,2,13,Southampton,20,56,6
533,12,31,Francis,2,2,Bournemouth,91,45,6
556,12,73,Courtois,1,4,Chelsea,8,59,6
