Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
G,1,Raya,6.1,6.1,Arsenal,89.10,89.10,89.10,3.49,4.12,3.90
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,0.04,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,85.05,85.05,85.05,4.68,5.83,5.24
D,6,Saliba,6.2,6.2,Arsenal,85.05,85.05,85.05,3.70,4.61,4.25
D,7,Calafiori,5.6,5.6,Arsenal,63.15,63.15,63.15,3.28,4.23,3.57
D,8,J.Timber,6.0,6.0,Arsenal,0.00,4.95,4.95,0.00,0.33,0.27
D,10,Lewis-Skelly,5.0,5.0,Arsenal,66.60,66.60,66.60,3.11,4.00,3.40
D,11,White,5.1,5.1,Arsenal,76.80,73.20,73.20,3.85,4.63,4.10
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.9,9.9,Arsenal,70.35,70.35,70.35,4.77,6.41,4.65
M,17,Ødegaard,7.8,7.8,Arsenal,63.30,63.30,63.30,3.14,4.01,3.10
M,18,Madueke,6.8,6.8,Arsenal,28.80,28.80,28.80,1.66,2.11,1.61
M,19,Martinelli,6.8,6.8,Arsenal,22.95,22.95,22.95,1.34,1.75,1.32
M,20,Trossard,6.5,6.5,Arsenal,27.00,27.00,27.00,1.57,2.05,1.52
M,21,Rice,7.2,7.2,Arsenal,78.15,78.15,78.15,4.21,5.32,4.20
M,22,Merino,5.3,5.3,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,6.00,6.00,6.00,0.23,0.25,0.23
M,26,Zubimendi,5.0,5.0,Arsenal,26.40,26.40,26.40,1.05,1.22,1.05
M,27,Nelson,4.8,4.8,Brentford,7.50,7.50,7.50,0.35,0.43,0.37
F,30,Havertz,7.3,7.3,Arsenal,37.80,45.15,45.15,1.96,3.05,2.14
F,31,G.Jesus,6.4,6.4,Arsenal,9.75,9.75,9.75,0.55,0.72,0.51
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,3.76,2.33,2.45
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.04,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,82.50,82.50,82.50,4.18,2.53,1.96
D,37,Digne,4.5,4.5,Aston Villa,44.25,44.25,44.25,2.47,1.61,1.31
D,38,Konsa,4.4,4.4,Aston Villa,80.55,80.55,80.55,3.50,2.11,1.67
D,39,Maatsen,4.2,4.2,Aston Villa,53.70,53.70,53.70,2.91,1.89,1.51
D,40,Mings,4.3,4.3,Aston Villa,54.00,54.00,54.00,2.46,1.57,1.27
D,41,Pau,4.3,4.3,Aston Villa,37.50,37.50,37.50,1.69,1.10,0.92
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,15.60,15.60,15.60,0.63,0.51,0.45
M,47,Rogers,7.5,7.5,Aston Villa,87.00,87.00,87.00,4.74,3.80,3.11
M,48,Tielemans,5.9,5.9,Aston Villa,79.80,79.80,79.80,4.10,3.45,3.11
M,49,Bailey,5.5,5.5,Aston Villa,3.75,3.75,3.75,0.23,0.19,0.16
M,50,Buendía,5.3,5.3,Aston Villa,45.00,45.00,45.00,2.98,2.50,2.09
M,52,J.Ramsey,5.3,5.3,Newcastle,21.90,21.90,21.90,0.97,1.03,0.94
M,54,McGinn,5.3,5.3,Aston Villa,75.45,75.45,75.45,3.74,3.09,2.62
M,55,Barkley,4.8,4.8,Aston Villa,54.90,54.90,54.90,2.80,2.35,2.04
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,70.80,70.80,70.80,3.17,2.74,2.62
F,64,Watkins,8.8,8.8,Aston Villa,76.50,76.50,76.50,4.73,3.97,3.23
G,67,Petrović,4.6,4.6,Bournemouth,89.10,89.10,89.10,2.94,2.59,3.39
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.2,5.2,Bournemouth,87.45,87.45,87.45,3.96,3.05,4.15
D,73,Smith,4.4,4.4,Bournemouth,80.40,15.45,15.45,2.63,0.47,0.55
D,74,Truffert,4.7,4.7,Bournemouth,87.45,87.45,87.45,3.42,2.59,3.65
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,87.45,87.45,87.45,3.98,3.12,4.15
D,80,Soler,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,18.00,18.00,18.00,1.10,0.92,1.00
M,82,Semenyo,8.1,8.1,Man City,148.80,74.40,74.40,9.92,4.21,4.66
M,83,O.Dango,5.7,5.7,Brentford,75.45,75.45,75.45,3.18,4.44,3.40
M,84,Tavernier,5.4,5.4,Bournemouth,80.40,80.40,80.40,4.24,3.68,4.07
M,85,Adams,4.9,4.9,Bournemouth,70.80,67.20,67.20,2.60,2.42,2.62
M,86,Brooks,5.0,5.0,Bournemouth,21.45,21.45,21.45,1.11,0.98,1.06
M,87,Christie,4.9,4.9,Bournemouth,34.80,28.20,28.20,1.67,1.25,1.33
M,88,Cook,4.9,4.9,Bournemouth,0.00,9.90,9.90,0.00,0.42,0.44
M,90,Scott,5.0,5.0,Bournemouth,83.25,83.25,83.25,4.01,3.81,4.12
F,97,Evanilson,6.7,6.7,Bournemouth,75.75,75.75,75.75,3.63,3.16,3.38
F,98,Enes Ünal,5.4,5.4,Bournemouth,12.00,12.00,12.00,0.62,0.59,0.63
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,68.40,68.40,68.40,3.70,3.19,3.44
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,89.10,2.25,3.60,2.51
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.8,3.8,Brentford,0.90,0.90,0.90,0.02,0.03,0.03
D,106,Collins,4.9,4.9,Brentford,85.05,85.05,85.05,2.24,4.33,3.04
D,107,Lewis-Potter,4.8,4.8,Brentford,77.10,77.10,77.10,2.09,4.38,2.59
D,108,Ajer,4.4,4.4,Brentford,15.45,15.45,15.45,0.48,0.71,0.56
D,109,Henry,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
D,110,Kayode,4.6,4.6,Brentford,85.35,85.35,85.35,1.75,3.99,2.37
D,111,Pinnock,4.2,4.2,Brentford,2.40,2.40,2.40,0.09,0.11,0.10
D,113,Van den Berg,4.5,4.5,Brentford,85.05,85.05,85.05,2.18,4.25,2.97
D,116,Hickey,4.0,4.0,Brentford,9.75,9.75,9.75,0.30,0.42,0.33
M,119,Mbeumo,8.3,8.3,Man Utd,68.10,68.10,68.10,3.93,4.36,3.50
M,120,Schade,6.8,6.8,Brentford,78.45,78.45,78.45,3.22,4.65,3.48
M,121,Damsgaard,5.6,5.6,Brentford,82.20,69.60,69.60,3.50,3.83,3.14
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.6,4.6,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,31.05,56.85,56.85,1.05,2.23,1.97
M,125,Janelt,4.9,4.9,Brentford,38.25,48.45,48.45,1.53,2.31,2.01
M,126,Jensen,4.9,4.9,Brentford,83.25,80.55,80.55,3.03,3.69,3.07
M,129,Yarmoliuk,5.0,5.0,Brentford,83.55,63.30,63.30,3.00,2.56,2.38
M,130,Donovan,4.4,4.4,Brentford,6.00,6.00,6.00,0.26,0.33,0.27
F,135,Wissa,7.3,7.3,Newcastle,16.20,16.20,16.20,0.93,1.04,0.93
F,136,Thiago,7.3,7.3,Brentford,84.15,84.15,84.15,3.76,5.44,4.01
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.04,0.03,0.03
G,139,Verbruggen,4.6,4.6,Brighton,89.10,89.10,89.10,4.01,3.24,3.43
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,14.55,14.55,14.55,0.79,0.67,0.61
D,145,De Cuyper,4.3,4.3,Brighton,37.80,15.75,15.75,2.57,0.77,0.75
D,146,Dunk,4.5,4.5,Brighton,76.80,76.80,76.80,3.96,3.05,2.85
D,148,F.Kadıoğlu,4.4,4.4,Brighton,85.35,85.35,85.35,4.69,3.26,3.18
D,149,Igor,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.6,4.6,Brighton,87.45,87.45,87.45,4.96,3.98,3.67
D,152,Veltman,4.3,4.3,Brighton,31.95,16.65,16.65,1.70,0.71,0.68
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,80.40,43.80,43.80,5.16,2.21,2.17
M,158,Georginio,5.6,5.6,Brighton,34.95,21.60,21.60,2.19,1.10,1.08
M,159,March,5.8,5.8,Brighton,3.00,3.00,3.00,0.17,0.16,0.15
M,160,Minteh,5.5,5.5,Brighton,80.70,66.30,66.30,4.92,3.32,3.30
M,163,Hinshelwood,5.1,5.1,Brighton,79.80,79.80,79.80,4.72,3.52,3.47
M,164,O'Riley,5.5,5.5,Brighton,1.50,1.50,1.50,0.10,0.08,0.07
M,166,Ayari,4.8,4.8,Brighton,30.30,30.30,30.30,1.54,1.33,1.31
M,167,Baleba,4.5,4.5,Brighton,27.60,27.60,27.60,1.19,1.04,1.05
M,168,Buonanotte,4.6,4.6,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
M,169,Gomez,4.9,4.9,Brighton,12.60,71.70,71.70,0.83,3.73,3.79
